event,time
Parte 1,16:09:45
Parte 2,16:09:49
Parte 3,16:09:52
Checkbox Selected: valor.,16:09:56
Correct Drop Event: edad,16:10:04
Correct Drop Event: 18,16:10:04
Parte 4,16:10:05
Correct Answer Selected: 2028,16:10:11
Parte 5,16:10:12
Checkbox Selected: 24,16:10:20
Parte 6,16:10:21
Checkbox Selected: 12,16:10:28
Parte 7,16:10:30
Checkbox Selected: un_nombre_variable,16:10:35
Parte 8,16:10:37
Checkbox Selected: Balance: € 200,16:10:52
Parte 9,16:10:55

Parte 1,03:40:14
Parte 2,03:40:15
Parte 3,03:40:17
Checkbox Selected: valor.,03:40:19
Correct Drop Event: edad,03:40:23
Correct Drop Event: 18,03:40:23
Parte 4,03:40:23
Correct Answer Selected: 2028,03:40:27
Parte 5,03:40:27
Checkbox Selected: 24,03:40:32
Parte 6,03:40:32
Checkbox Selected: 12,03:40:36
Parte 7,03:40:37
Checkbox Selected: un_nombre_variable,03:40:41
Parte 8,03:40:42
Checkbox Selected: Balance: € 200,03:40:45
Parte 9,03:40:46

Parte 1,03:42:26
Parte 2,03:42:28
Parte 3,03:42:29
Checkbox Selected: valor.,03:42:31
Correct Drop Event: edad,03:42:33
Correct Drop Event: 18,03:42:33
Parte 4,03:42:34
Correct Answer Selected: 2028,03:42:36
Parte 5,03:42:36
Checkbox Selected: 24,03:42:39
Parte 6,03:42:40
Checkbox Selected: 12,03:42:42
Parte 7,03:42:43
Checkbox Selected: un_nombre_variable,03:42:45
Parte 8,03:42:46
Checkbox Selected: Balance: € 200,03:42:49
Parte 9,03:42:49

Parte 1,03:45:09
Parte 2,03:45:11
Parte 3,03:45:12
Checkbox Selected: valor.,03:45:13
Correct Drop Event: edad,03:45:16
Correct Drop Event: 18,03:45:16
Parte 4,03:45:16
Correct Answer Selected: 2028,03:45:18
Parte 5,03:45:18
Checkbox Selected: 24,03:45:22
Parte 6,03:45:22
Checkbox Selected: 12,03:45:24
Parte 7,03:45:25
Checkbox Selected: un_nombre_variable,03:45:28
Parte 8,03:45:28
Checkbox Selected: Balance: € 200,03:45:30
Parte 9,03:45:31

Parte 1,03:46:33
Parte 2,03:46:36
Parte 3,03:46:37
Checkbox Selected: valor.,03:46:39
Correct Drop Event: edad,03:46:41
Correct Drop Event: 18,03:46:41
Parte 4,03:46:41
Incorrect Answer Selected: ____,03:46:44
Correct Answer Selected: 2028,03:46:45
Parte 5,03:46:45
Checkbox Selected: 24,03:46:49
Parte 6,03:46:49
Checkbox Selected: 12,03:46:51
Parte 7,03:46:52
Checkbox Selected: un_nombre_variable,03:46:56
Parte 8,03:46:57
Checkbox Selected: Balance: € 200,03:46:58
Parte 9,03:46:59

Parte 1,03:48:51
Parte 2,03:48:52
Parte 3,03:48:53
Checkbox Selected: valor.,03:48:55
Correct Drop Event: edad,03:49:01
Correct Drop Event: 18,03:49:01
Parte 4,03:49:01
Correct Answer Selected: 2028,03:49:03
Parte 5,03:49:03
Checkbox Selected: 24,03:49:06
Parte 6,03:49:07
Checkbox Selected: 12,03:49:08
Parte 7,03:49:09
Checkbox Selected: un_nombre_variable,03:49:11
Parte 8,03:49:12
Checkbox Selected: Balance: € 200,03:49:15
Parte 9,03:49:15

Parte 9,03:51:33

Parte 9,03:52:04

Parte 9,03:53:01

Parte 9,03:56:57

Parte 9,03:58:21

Parte 1,22:31:14
Parte 2,22:31:15
Parte 3,22:31:17
Checkbox Selected: valor.,22:31:19
Correct Drop Event: edad,22:31:22
Correct Drop Event: 18,22:31:22
Parte 4,22:31:22
Correct Answer Selected: 2028,22:31:25
Parte 5,22:31:25
Checkbox Selected: 24,22:31:29
Parte 6,22:31:29
Checkbox Selected: 12,22:31:31
Parte 7,22:31:32
Checkbox Selected: un_nombre_variable,22:31:35
Parte 8,22:31:36
Checkbox Selected: Balance: € 200,22:31:38
Parte 9,22:31:39

Parte 1,00:03:11
Parte 2,00:03:18
Parte 3,00:03:19
Checkbox Selected: valor.,00:03:22
Correct Drop Event: edad,00:03:25
Correct Drop Event: 18,00:03:25
Parte 4,00:03:26
Correct Answer Selected: 2028,00:03:28
Parte 5,00:03:28
Checkbox Selected: 24,00:03:32
Parte 6,00:03:32
Checkbox Selected: 12,00:03:34
Parte 7,00:03:35
Checkbox Selected: un_nombre_variable,00:03:38
Parte 8,00:03:39
Checkbox Selected: Balance: € 200,00:03:40
Parte 9,00:03:41

Parte 1,17:28:25
Parte 2,17:28:27
Parte 3,17:28:28
Checkbox Selected: valor.,17:28:30
Correct Drop Event: edad,17:28:34
Correct Drop Event: 18,17:28:34
Parte 4,17:28:34
Correct Answer Selected: 2028,17:28:37
Parte 5,17:28:37
Checkbox Selected: 24,17:28:41
Parte 6,17:28:41
Checkbox Selected: 12,17:28:43
Parte 7,17:28:43
Checkbox Selected: un_nombre_variable,17:28:47
Parte 8,17:28:47
Checkbox Selected: Balance: € 200,17:28:49
Parte 9,17:28:50

Parte 1,22:06:13
Parte 2,22:06:15
Parte 3,22:06:18
Checkbox Selected: valor.,22:06:28
Correct Drop Event: edad,22:06:38
Correct Drop Event: 18,22:06:38
Parte 4,22:06:39
Correct Answer Selected: 2028,22:06:50
Parte 5,22:06:51
Checkbox Selected: 24,22:06:58
Parte 6,22:06:58
Checkbox Selected: 12,22:08:15
Parte 7,22:08:15
Checkbox Selected: un_nombre_variable,22:08:21
Parte 8,22:08:22
Checkbox Selected: Balance: € 200,22:08:29
Parte 9,22:08:30

Parte 1,22:47:36
Parte 2,22:47:38
Parte 3,22:47:39
Checkbox Selected: valor.,22:47:41
Checkbox Selected: valor.,22:47:47
Correct Drop Event: edad,22:47:50
Correct Drop Event: 18,22:47:50
Parte 4,22:47:50
Correct Answer Selected: 2028,22:48:12
Parte 5,22:48:13
Checkbox Selected: 24,22:48:19
Parte 6,22:48:19
Checkbox Selected: 12,22:48:25
Parte 7,22:48:27
Checkbox Selected: un_nombre_variable,22:48:29
Parte 8,22:48:33
Checkbox Selected: Balance: € 200,22:48:41
Parte 9,22:48:41

Parte 1,16:09:15
Parte 2,16:09:17
Parte 3,16:09:18
Parte 2,16:09:20
Parte 3,16:09:21
Checkbox Selected: valor.,16:09:22
Parte 2,16:09:25
Parte 3,16:09:26
Checkbox Selected: valor.,16:09:31
Checkbox Selected: valor.,16:10:53
Checkbox Selected: valor.,16:10:59
Correct Drop Event: edad,16:11:04
Correct Drop Event: 18,16:11:04
Parte 4,16:11:05
Correct Answer Selected: 2028,16:11:22
Parte 5,16:11:22
Checkbox Selected: 24,16:11:30
Parte 6,16:11:30
Parte 5,16:12:24
Checkbox Selected: 24,16:12:26
Parte 6,16:12:27
Parte 5,16:12:29
Checkbox Selected: 24,16:12:30
Parte 6,16:12:31
Checkbox Selected: 12,16:12:35
Parte 7,16:12:36
Parte 6,16:12:40
Parte 7,16:12:41
Checkbox Selected: un_nombre_variable,16:12:42
Parte 8,16:12:43
Parte 7,16:12:46
Parte 8,16:12:46
Checkbox Selected: Balance: € 200,16:12:55
Parte 9,16:12:56

