event,time
Parte 7,14:01:12
Practica Page Open Time,14:01:12
Practica Page Close Time,14:01:14
Parte 8,14:01:14
Draganddrop Page Open Time,14:01:14
Draganddrop Page Close Time,14:01:27

Parte 1,09:21:17
Pedagogical Page Open Time,09:21:17
Pedagogical Page Close Time,09:24:35
Multiplechoice Page Open Time,09:24:35
Multiplechoice Page Close Time,09:25:46
Parte 2,09:25:46
Pedagogical Page Open Time,09:25:46
Pedagogical Page Close Time,09:25:47
Multiplechoice Page Open Time,09:25:47
Multiplechoice Page Close Time,09:26:13
Pedagogical Page Open Time,09:26:13
Pedagogical Page Close Time,09:26:47
Multiplechoice Page Open Time,09:26:47
Multiplechoice Page Close Time,09:30:11
Parte 3,09:30:11
Pedagogical Page Open Time,09:30:11
Pedagogical Page Close Time,09:30:11
Multiplechoice Page Open Time,09:30:11
Multiplechoice Page Close Time,09:32:25
Parte 4,09:32:25
Pedagogical Page Open Time,09:32:25
Pedagogical Page Close Time,09:32:26
Multiplechoice Page Open Time,09:32:26
Multiplechoice Page Close Time,09:51:02
Parte 5,09:51:02
Pedagogical Page Open Time,09:51:02
Pedagogical Page Close Time,09:51:03
Draganddrop Page Open Time,09:51:03
Draganddrop Page Close Time,09:51:36
Parte 6,09:51:36
Pedagogical Page Open Time,09:51:36
Pedagogical Page Close Time,09:51:39
Draganddrop Page Open Time,09:51:39
Draganddrop Page Close Time,09:51:52
Parte 7,09:51:52
Pedagogical Page Open Time,09:51:52
Pedagogical Page Close Time,09:51:53
Practica Page Open Time,09:51:53
Practica Page Close Time,09:51:58
Parte 8,09:51:58
Draganddrop Page Open Time,09:51:58
Draganddrop Page Close Time,09:57:37

Parte 1,08:10:32
Pedagogical Page Open Time,08:10:32
Pedagogical Page Close Time,08:10:34
Multiplechoice Page Open Time,08:10:34
Multiplechoice Page Close Time,09:07:44
Pedagogical Page Open Time,09:07:44
Pedagogical Page Close Time,09:07:44
Multiplechoice Page Open Time,09:07:44
Multiplechoice Page Close Time,09:07:50
Parte 2,09:07:50
Pedagogical Page Open Time,09:07:50
Pedagogical Page Close Time,09:07:51
Multiplechoice Page Open Time,09:07:51
Multiplechoice Page Close Time,09:08:13
Pedagogical Page Open Time,09:08:13
Pedagogical Page Close Time,09:08:14
Multiplechoice Page Open Time,09:08:14
Multiplechoice Page Close Time,09:08:20
Parte 3,09:08:20
Pedagogical Page Open Time,09:08:20
Pedagogical Page Close Time,09:08:20
Multiplechoice Page Open Time,09:08:20
Multiplechoice Page Close Time,09:08:42
Pedagogical Page Open Time,09:08:42
Pedagogical Page Close Time,09:08:43
Multiplechoice Page Open Time,09:08:43
Multiplechoice Page Close Time,09:08:54
Parte 4,09:08:54
Pedagogical Page Open Time,09:08:54
Pedagogical Page Close Time,09:08:59
Multiplechoice Page Open Time,09:08:59
Multiplechoice Page Close Time,09:16:30
Pedagogical Page Open Time,09:16:30
Pedagogical Page Close Time,09:16:31
Multiplechoice Page Open Time,09:16:31
Multiplechoice Page Close Time,09:16:34
Parte 5,09:16:34
Pedagogical Page Open Time,09:16:34
Pedagogical Page Close Time,09:16:35
Draganddrop Page Open Time,09:16:35
Draganddrop Page Close Time,09:16:42
Pedagogical Page Open Time,09:16:42
Pedagogical Page Close Time,09:16:43
Draganddrop Page Open Time,09:16:43
Draganddrop Page Close Time,09:16:57
Parte 6,09:16:57
Pedagogical Page Open Time,09:16:57
Pedagogical Page Close Time,09:16:58
Draganddrop Page Open Time,09:16:58
Draganddrop Page Close Time,09:17:06
Pedagogical Page Open Time,09:17:06
Pedagogical Page Close Time,09:17:07
Draganddrop Page Open Time,09:17:07
Draganddrop Page Close Time,09:28:42
Pedagogical Page Open Time,09:28:42
Pedagogical Page Close Time,09:28:43
Draganddrop Page Open Time,09:28:43
Draganddrop Page Close Time,09:28:51
Parte 7,09:28:51
Pedagogical Page Open Time,09:28:51
Pedagogical Page Close Time,09:28:51
Practica Page Open Time,09:28:51
Practica Page Close Time,09:28:56
Parte 8,09:28:56
Draganddrop Page Open Time,09:28:56
Draganddrop Page Close Time,09:28:58
Parte 7,09:28:58
Practica Page Open Time,09:28:58
Practica Page Close Time,09:29:02
Parte 8,09:29:02
Draganddrop Page Open Time,09:29:02
Draganddrop Page Close Time,09:29:11
Parte 7,09:29:11
Practica Page Open Time,09:29:11
Practica Page Close Time,09:29:15
Parte 8,09:29:15
Draganddrop Page Open Time,09:29:15
Draganddrop Page Close Time,09:29:27

