event,time
Parte 1,17:23:43
Pedagogical Page Open Time,17:23:43
Pedagogical Page Close Time,17:23:46
Multiplechoice Page Open Time,17:23:46
Multiplechoice Page Close Time,17:23:49
Parte 2,17:23:49
Pedagogical Page Open Time,17:23:49
Pedagogical Page Close Time,17:23:54
Draganddrop Page Open Time,17:23:54
Draganddrop Page Close Time,17:23:56
Parte 3,17:23:56
Pedagogical Page Open Time,17:23:56
Pedagogical Page Close Time,17:23:59
Multiplechoice Page Open Time,17:23:59
Multiplechoice Page Close Time,17:24:20
Parte 4,17:24:20
Pedagogical Page Open Time,17:24:20
Pedagogical Page Close Time,17:24:23
Multiplechoice Page Open Time,17:24:23
Multiplechoice Page Close Time,17:24:24
Parte 5,17:24:24
Pedagogical Page Open Time,17:24:24
Pedagogical Page Close Time,17:24:26
Draganddrop Page Open Time,17:24:26
Draganddrop Page Close Time,17:24:38

Parte 1,15:17:01
Pedagogical Page Open Time,15:17:01
Pedagogical Page Close Time,15:17:04
Multiplechoice Page Open Time,15:17:04
Multiplechoice Page Close Time,15:17:10
Parte 2,15:17:10
Pedagogical Page Open Time,15:17:10
Pedagogical Page Close Time,15:17:10
Draganddrop Page Open Time,15:17:10
Draganddrop Page Close Time,15:17:16
Parte 3,15:17:16
Pedagogical Page Open Time,15:17:16
Pedagogical Page Close Time,15:17:17
Multiplechoice Page Open Time,15:17:17
Multiplechoice Page Close Time,15:17:30
Parte 4,15:17:30
Pedagogical Page Open Time,15:17:30
Pedagogical Page Close Time,15:17:31
Multiplechoice Page Open Time,15:17:31
Multiplechoice Page Close Time,15:17:38
Parte 5,15:17:38
Pedagogical Page Open Time,15:17:38
Pedagogical Page Close Time,15:17:39
Draganddrop Page Open Time,15:17:39
Draganddrop Page Close Time,15:18:04

Parte 1,11:15:52
Pedagogical Page Open Time,11:15:52
Pedagogical Page Close Time,11:15:54
Multiplechoice Page Open Time,11:15:54
Multiplechoice Page Close Time,11:16:01
Parte 2,11:16:01
Pedagogical Page Open Time,11:16:01
Pedagogical Page Close Time,11:16:03
Draganddrop Page Open Time,11:16:03
Draganddrop Page Close Time,11:16:14
Parte 3,11:16:14
Pedagogical Page Open Time,11:16:14
Pedagogical Page Close Time,11:16:16
Multiplechoice Page Open Time,11:16:16
Multiplechoice Page Close Time,11:16:27
Parte 4,11:16:27
Pedagogical Page Open Time,11:16:27
Pedagogical Page Close Time,11:16:28
Multiplechoice Page Open Time,11:16:28
Multiplechoice Page Close Time,11:16:43
Parte 5,11:16:43
Pedagogical Page Open Time,11:16:43
Pedagogical Page Close Time,11:16:44
Draganddrop Page Open Time,11:16:44
Draganddrop Page Close Time,11:17:06

Parte 1,11:36:56
Pedagogical Page Open Time,11:36:56
Pedagogical Page Close Time,11:40:40
Multiplechoice Page Open Time,11:40:40
Multiplechoice Page Close Time,11:40:45
Pedagogical Page Open Time,11:40:45
Pedagogical Page Close Time,11:40:46
Multiplechoice Page Open Time,11:40:46
Multiplechoice Page Close Time,11:47:27
Parte 2,11:47:27
Pedagogical Page Open Time,11:47:27
Pedagogical Page Close Time,11:47:30
Draganddrop Page Open Time,11:47:30
Draganddrop Page Close Time,11:47:45
Pedagogical Page Open Time,11:47:45
Pedagogical Page Close Time,11:47:47
Draganddrop Page Open Time,11:47:47
Draganddrop Page Close Time,11:47:54
Parte 3,11:47:54
Pedagogical Page Open Time,11:47:54
Pedagogical Page Close Time,11:47:55
Multiplechoice Page Open Time,11:47:55
Multiplechoice Page Close Time,11:48:20
Pedagogical Page Open Time,11:48:20
Pedagogical Page Close Time,11:48:21
Multiplechoice Page Open Time,11:48:21
Multiplechoice Page Close Time,11:48:27
Parte 4,11:48:27
Pedagogical Page Open Time,11:48:27
Pedagogical Page Close Time,11:48:27
Multiplechoice Page Open Time,11:48:27
Multiplechoice Page Close Time,11:48:37
Pedagogical Page Open Time,11:48:37
Pedagogical Page Close Time,11:48:38
Multiplechoice Page Open Time,11:48:38
Multiplechoice Page Close Time,11:48:41
Parte 5,11:48:41
Pedagogical Page Open Time,11:48:41
Pedagogical Page Close Time,11:48:42
Draganddrop Page Open Time,11:48:42
Draganddrop Page Close Time,11:48:55
Pedagogical Page Open Time,11:48:55
Pedagogical Page Close Time,11:48:56
Draganddrop Page Open Time,11:48:56
Draganddrop Page Close Time,11:49:00

