event,time
Parte 1,00:12:14
Pedagogical Page Open Time,00:12:14
Pedagogical Page Close Time,00:12:22
Draganddrop Page Open Time,00:12:22
Draganddrop Page Close Time,00:12:53
Parte 2,00:12:53
Pedagogical Page Open Time,00:12:53
Pedagogical Page Close Time,00:12:55
Multiplechoice Page Open Time,00:12:55
Multiplechoice Page Close Time,00:16:27
Parte 3,00:16:27
Pedagogical Page Open Time,00:16:27
Pedagogical Page Close Time,00:16:27
Draganddrop Page Open Time,00:16:27
Draganddrop Page Close Time,00:17:05
Parte 4,00:17:05
Pedagogical Page Open Time,00:17:05
Pedagogical Page Close Time,00:17:07
Multiplechoice Page Open Time,00:17:07
Multiplechoice Page Close Time,00:17:23
Parte 5,00:17:23
Pedagogical Page Open Time,00:17:23
Pedagogical Page Close Time,00:17:24
Multiplechoice Page Open Time,00:17:24
Multiplechoice Page Close Time,00:17:59
Parte 6,00:17:59
Pedagogical Page Open Time,00:17:59
Pedagogical Page Close Time,00:18:00
Multiplechoice Page Open Time,00:18:00
Multiplechoice Page Close Time,00:18:26

Parte 1,02:03:27
Pedagogical Page Open Time,02:03:27
Pedagogical Page Close Time,02:03:29
Draganddrop Page Open Time,02:03:29
Draganddrop Page Close Time,02:03:47
Parte 2,02:03:47
Pedagogical Page Open Time,02:03:47
Pedagogical Page Close Time,02:03:47
Multiplechoice Page Open Time,02:03:47
Multiplechoice Page Close Time,02:03:59
Parte 3,02:03:59
Pedagogical Page Open Time,02:03:59
Pedagogical Page Close Time,02:03:59
Draganddrop Page Open Time,02:03:59
Draganddrop Page Close Time,02:04:14
Parte 4,02:04:14
Pedagogical Page Open Time,02:04:14
Pedagogical Page Close Time,02:04:14
Multiplechoice Page Open Time,02:04:14
Multiplechoice Page Close Time,02:04:19
Parte 5,02:04:19
Pedagogical Page Open Time,02:04:19
Pedagogical Page Close Time,02:04:20
Multiplechoice Page Open Time,02:04:20
Multiplechoice Page Close Time,02:04:25
Parte 6,02:04:25
Pedagogical Page Open Time,02:04:25
Pedagogical Page Close Time,02:04:26
Multiplechoice Page Open Time,02:04:26
Multiplechoice Page Close Time,02:04:37

Parte 1,14:37:18
Pedagogical Page Open Time,14:37:18
Pedagogical Page Close Time,14:38:25
Draganddrop Page Open Time,14:38:25
Draganddrop Page Close Time,14:39:11
Parte 2,14:39:11
Pedagogical Page Open Time,14:39:11
Pedagogical Page Close Time,14:40:09
Multiplechoice Page Open Time,14:40:09
Multiplechoice Page Close Time,14:41:21
Parte 3,14:41:21
Pedagogical Page Open Time,14:41:21
