event,time
Parte 2,11:25:54
Correct Answer Selected: +,11:25:54
Parte 3,11:26:00
Correct Answer Selected: print(42 * 3),11:26:00
Parte 4,11:26:02
Correct Answer Selected: 4.0,11:26:02
Parte 5,11:26:05
Correct Answer Selected: Entero:2,11:26:05
Correct Answer Selected: Flotante:3.14,11:26:05

Parte 2,14:56:50
Correct Answer Selected: +,14:56:50
Parte 3,14:56:51
Correct Answer Selected: print(42 * 3),14:56:54
Parte 4,14:56:56
Correct Answer Selected: 4.0,14:56:56
Parte 5,14:57:02
Correct Answer Selected: Entero:2,14:57:02
Correct Answer Selected: Flotante:3.14,14:57:02

Parte 2,15:01:23
Blank Space Selected,15:01:23
Correct Answer Selected: +,15:01:24
Parte 3,15:01:27
Correct Answer Selected: print(42 * 3),15:01:27
Parte 4,15:01:29
Correct Answer Selected: 4.0,15:01:29
Parte 5,15:01:33
Correct Answer Selected: Entero:2,15:01:33
Correct Answer Selected: Flotante:3.14,15:01:33

Parte 2,15:22:04
Correct Answer Selected: +,15:22:04
Parte 3,15:22:07
Correct Answer Selected: print(42 * 3),15:22:07
Parte 4,15:22:09
Correct Answer Selected: 4.0,15:22:09
Parte 5,15:22:12
Correct Answer Selected: Entero:2,15:22:12
Correct Answer Selected: Flotante:3.14,15:22:12

Parte 2,15:25:56
Correct Answer Selected: +,15:25:56
Parte 3,15:25:57
Correct Answer Selected: print(42 * 3),15:25:59
Parte 4,15:26:01
Correct Answer Selected: 4.0,15:26:01
Parte 5,15:26:04
Correct Answer Selected: Entero:2,15:26:04
Correct Answer Selected: Flotante:3.14,15:26:04

Parte 2,15:27:17
Blank Space Selected,15:27:17
Correct Answer Selected: +,15:27:19
Parte 3,15:27:21
Correct Answer Selected: print(42 * 3),15:27:21
Parte 4,15:27:23
Correct Answer Selected: 4.0,15:27:23
Parte 5,15:27:27
Correct Answer Selected: Entero:2,15:27:27
Correct Answer Selected: Flotante:3.14,15:27:27

Parte 2,15:27:38
Correct Answer Selected: +,15:27:38
Parte 3,15:27:41
Correct Answer Selected: print(42 * 3),15:27:41
Parte 4,15:27:42
Correct Answer Selected: 4.0,15:27:43
Parte 5,15:27:46
Correct Answer Selected: Entero:2,15:27:46
Correct Answer Selected: Flotante:3.14,15:27:46

Parte 2,15:31:28
Correct Answer Selected: +,15:31:28
Parte 3,15:31:31
Correct Answer Selected: print(42 * 3),15:31:31
Parte 4,15:31:33
Correct Answer Selected: 4.0,15:31:33
Parte 5,15:31:38
Correct Answer Selected: Entero:2,15:31:38
Correct Answer Selected: Flotante:3.14,15:31:38

Parte 2,15:48:37
Blank Space Selected,15:48:37
Correct Answer Selected: +,15:48:39
Parte 3,15:48:39
Correct Answer Selected: print(42 * 3),15:48:41
Parte 4,15:48:42
Correct Answer Selected: 4.0,15:48:44
Parte 5,15:48:47
Correct Answer Selected: Entero:2,15:48:47
Correct Answer Selected: Flotante:3.14,15:48:47

Parte 2,15:52:11
Blank Space Selected,15:52:11
Correct Answer Selected: +,15:52:13
Parte 3,15:52:15
Correct Answer Selected: print(42 * 3),15:52:15
Parte 4,15:52:17
Correct Answer Selected: 4.0,15:52:17
Parte 5,15:52:20
Correct Answer Selected: Entero:2,15:52:20
Correct Answer Selected: Flotante:3.14,15:52:20

Parte 2,16:00:51
Correct Answer Selected: +,16:00:51
Parte 3,16:00:54
Correct Answer Selected: print(42 * 3),16:00:54
Parte 4,16:00:57
Correct Answer Selected: 4.0,16:00:57
Parte 5,16:01:01
Correct Answer Selected: Entero:2,16:01:01
Correct Answer Selected: Flotante:3.14,16:01:01

Parte 2,23:10:18
Blank Space Selected,23:10:18
Correct Answer Selected: +,23:10:20
Parte 3,23:10:21
Correct Answer Selected: print(42 * 3),23:10:23
Parte 4,23:10:24
Correct Answer Selected: 4.0,23:10:26
Parte 5,23:10:26
Correct Answer Selected: Entero:2,23:10:29
Correct Answer Selected: Flotante:3.14,23:10:29

Parte 2,23:10:40
Correct Answer Selected: +,23:10:40
Parte 3,23:10:43
Correct Answer Selected: print(42 * 3),23:10:43
Parte 4,23:10:45
Correct Answer Selected: 4.0,23:10:45
Parte 5,23:10:48
Correct Answer Selected: Entero:2,23:10:48
Correct Answer Selected: Flotante:3.14,23:10:48

Parte 2,23:27:00
Correct Answer Selected: +,23:27:00
Parte 3,23:27:03
Correct Answer Selected: print(42 * 3),23:27:03
Parte 4,23:27:07
Correct Answer Selected: 4.0,23:27:07
Parte 5,23:27:13
Correct Answer Selected: Entero:2,23:27:13
Correct Answer Selected: Flotante:3.14,23:27:13






















