event,time
Parte 1,17:03:17
Pedagogical Page Open Time,17:03:17
Pedagogical Page Close Time,17:03:20
Pedagogical2 Page Open Time,17:03:20
Pedagogical2 Page Close Time,17:03:20
Parte 2,17:03:20
Multiplechoice Page Open Time,17:03:20
Multiplechoice Page Close Time,17:03:26
Pedagogical Page Open Time,17:03:26
Pedagogical Page Close Time,17:03:26
Parte 3,17:03:26
Draganddrop Page Open Time,17:03:26
Draganddrop Page Close Time,17:03:34
Pedagogical Page Open Time,17:03:34
Pedagogical Page Close Time,17:03:34
Parte 4,17:03:34
Multiplechoice Page Open Time,17:03:34
Multiplechoice Page Close Time,17:03:40
Draganddrop Page Open Time,17:03:40
Draganddrop Page Close Time,17:03:49
Parte 5,17:03:49
Pedagogical Page Open Time,17:03:49
Pedagogical Page Close Time,17:03:49
Pedagogical2 Page Open Time,17:03:49
Pedagogical2 Page Close Time,17:03:50
Parte 6,17:03:50
Pedagogical Page Open Time,17:03:50
Pedagogical Page Close Time,17:03:50

Parte 1,18:02:42
Pedagogical Page Open Time,18:02:42
Pedagogical Page Close Time,18:02:44
Multiplechoice Page Open Time,18:02:44
Multiplechoice Page Close Time,18:02:47
Parte 2,18:02:47
Pedagogical Page Open Time,18:02:47
Pedagogical Page Close Time,18:02:48
Pedagogical2 Page Open Time,18:02:48
Pedagogical2 Page Close Time,18:02:48
Parte 3,18:02:48
Pedagogical Page Open Time,18:02:48
Pedagogical Page Close Time,18:02:49
Multiplechoice Page Open Time,18:02:49
Multiplechoice Page Close Time,18:02:53
Parte 4,18:02:53
Draganddrop Page Open Time,18:02:53
Draganddrop Page Close Time,18:02:59
Pedagogical Page Open Time,18:02:59
Pedagogical Page Close Time,18:03:00
Parte 5,18:03:00
Multiplechoice Page Open Time,18:03:00
Multiplechoice Page Close Time,18:03:05
Pedagogical Page Open Time,18:03:05
Pedagogical Page Close Time,18:03:06
Parte 6,18:03:06
Pedagogical Page Open Time,18:03:06
Pedagogical Page Close Time,18:03:06

Parte 1,18:03:45
Pedagogical Page Open Time,18:03:45
Pedagogical Page Close Time,18:03:47
Multiplechoice Page Open Time,18:03:47
Multiplechoice Page Close Time,18:03:50
Parte 2,18:03:50
Pedagogical Page Open Time,18:03:50
Pedagogical Page Close Time,18:03:51
Pedagogical2 Page Open Time,18:03:51
Pedagogical2 Page Close Time,18:03:52
Parte 3,18:03:52
Pedagogical Page Open Time,18:03:52
Pedagogical Page Close Time,18:03:52
Multiplechoice Page Open Time,18:03:52
Multiplechoice Page Close Time,18:03:56
Parte 4,18:03:56
Draganddrop Page Open Time,18:03:56
Draganddrop Page Close Time,18:04:00
Pedagogical Page Open Time,18:04:00
Pedagogical Page Close Time,18:04:00
Parte 5,18:04:00
Multiplechoice Page Open Time,18:04:00
Multiplechoice Page Close Time,18:04:05
Pedagogical Page Open Time,18:04:05
Pedagogical Page Close Time,18:04:05
Parte 6,18:04:05
Pedagogical Page Open Time,18:04:05
Pedagogical Page Close Time,18:04:06

Parte 1,18:06:53
Pedagogical Page Open Time,18:06:53
Pedagogical Page Close Time,18:06:57
