event,time
Parte 1,14:26:49
Pedagogical Page Open Time,14:26:49
Pedagogical Page Close Time,14:26:50
Multiplechoice Page Open Time,14:26:50
Multiplechoice Page Close Time,14:26:54
Parte 2,14:26:54
Pedagogical Page Open Time,14:26:54
Pedagogical Page Close Time,14:26:55
Draganddrop Page Open Time,14:26:55
Draganddrop Page Close Time,14:26:58
Parte 3,14:26:58
Pedagogical Page Open Time,14:26:58
Pedagogical Page Close Time,14:26:58
Completeblankspace Page Open Time,14:26:58
Completeblankspace Page Close Time,14:27:02
Parte 4,14:27:02
Pedagogical Page Open Time,14:27:02
Pedagogical Page Close Time,14:27:12
Multiplechoice Page Open Time,14:27:12
Multiplechoice Page Close Time,14:27:18
Parte 5,14:27:18
Pedagogical Page Open Time,14:27:18
Pedagogical Page Close Time,14:27:18
Pedagogical2 Page Open Time,14:27:18
Pedagogical2 Page Close Time,14:27:19
Parte 6,14:27:19
Multiplechoice Page Open Time,14:27:19
Multiplechoice Page Close Time,14:27:22

