event,time
Parte 1,14:30:31
Pedagogical Page Open Time,14:30:31
Pedagogical Page Close Time,14:30:33
Multiplechoice Page Open Time,14:30:33
Multiplechoice Page Close Time,14:30:36
Parte 2,14:30:36
Pedagogical Page Open Time,14:30:36
Pedagogical Page Close Time,14:30:36
Draganddrop Page Open Time,14:30:36
Draganddrop Page Close Time,14:30:40
Parte 3,14:30:40
Pedagogical Page Open Time,14:30:40
Pedagogical Page Close Time,14:30:40
Completeblankspace Page Open Time,14:30:40
Completeblankspace Page Close Time,14:30:48
Parte 4,14:30:48
Pedagogical Page Open Time,14:30:48
Pedagogical Page Close Time,14:30:49
Multiplechoice Page Open Time,14:30:49
Multiplechoice Page Close Time,14:30:52
Parte 5,14:30:52
Pedagogical Page Open Time,14:30:52
Pedagogical Page Close Time,14:30:53
Pedagogical2 Page Open Time,14:30:53
Pedagogical2 Page Close Time,14:30:53
Parte 6,14:30:53
Multiplechoice Page Open Time,14:30:53
Multiplechoice Page Close Time,14:30:56

Parte 1,21:51:21
Pedagogical Page Open Time,21:51:21
Pedagogical Page Close Time,22:02:52
Multiplechoice Page Open Time,22:02:52
Multiplechoice Page Close Time,22:03:04
Parte 2,22:03:04
Pedagogical Page Open Time,22:03:04
Pedagogical Page Close Time,22:03:05
Draganddrop Page Open Time,22:03:05
Draganddrop Page Close Time,22:03:20
Parte 3,22:03:20
Pedagogical Page Open Time,22:03:20
Pedagogical Page Close Time,22:03:23
Completeblankspace Page Open Time,22:03:23
Completeblankspace Page Close Time,22:03:33
Parte 4,22:03:33
Pedagogical Page Open Time,22:03:33
Pedagogical Page Close Time,22:03:51
Multiplechoice Page Open Time,22:03:51
Multiplechoice Page Close Time,22:03:59
Parte 5,22:03:59
Pedagogical Page Open Time,22:03:59
Pedagogical Page Close Time,22:03:59
Pedagogical2 Page Open Time,22:03:59
Pedagogical2 Page Close Time,22:04:00
Parte 6,22:04:00
Multiplechoice Page Open Time,22:04:00
Multiplechoice Page Close Time,22:04:10

