event,time
Parte 1,23:32:38
Checkbox Selected: 4,23:32:56
Parte 2,23:32:57
Checkbox Selected: 3,23:33:13
Parte 3,23:33:16
Correct Drop Event: [,23:33:51
Correct Drop Event: ],23:33:51
Parte 4,23:33:51
Incorrect Drop Event: 2,23:34:13
Incorrect Drop Event: 2,23:34:13
Correct Drop Event: [,23:35:08
Correct Drop Event: 2,23:35:08
Parte 5,23:35:11
Checkbox Selected: 8,23:35:20
Parte 6,23:35:22
Checkbox Selected: yo,23:35:40
Parte 7,23:35:41
Parte 8,23:35:44
Checkbox Selected: o,23:35:58

Parte 1,18:22:43
Checkbox Selected: 4,18:23:02
Parte 2,18:23:03
Checkbox Selected: 3,18:23:13
Parte 3,18:23:13
Correct Drop Event: [,18:23:28
Correct Drop Event: ],18:23:28
Parte 4,18:23:29
Correct Drop Event: [,18:23:47
Correct Drop Event: 2,18:23:47
Parte 5,18:23:47
Checkbox Selected: 8,18:23:53
Parte 6,18:23:55
Checkbox Selected: yo,18:24:01
Parte 7,18:24:02
Parte 8,18:24:04
Checkbox Selected: o,18:24:13

