event,time
Parte 1,19:29:28
Checkbox Selected: 6,19:29:55
Checkbox Selected: 5,19:29:58
Parte 2,19:30:00
Checkbox Selected: 4,19:33:06
Parte 3,19:33:06
Checkbox Selected: True,19:34:23
Parte 4,19:34:23
Checkbox Selected: 9,19:35:21
Parte 5,19:35:21
Checkbox Selected: 3,19:37:41
Parte 6,19:37:41
Correct Drop Event: for,19:40:19
Correct Drop Event: 2,19:40:19
Correct Drop Event: i,19:40:19
Parte 7,19:40:24
Correct Drop Event: list,19:40:44
Correct Drop Event: range,19:40:44
Correct Drop Event: x,19:40:44

Parte 1,19:40:48
"Checkbox Selected: [16, 25, 36]",19:42:45
Parte 2,19:42:45
Correct Drop Event: :,19:43:12
Correct Drop Event: 2,19:43:12
Parte 3,19:43:13
Checkbox Selected: 5,19:43:31
Parte 4,19:43:32
"Checkbox Selected: [1, 25, 81]",19:44:35
Parte 5,19:44:36
"Checkbox Selected: [49, 36]",19:45:11
Parte 6,19:45:11
Checkbox Selected: 4,19:45:29
Parte 7,19:45:29
Parte 8,19:45:33
Checkbox Selected: 3,19:48:06

Parte 1,19:48:12
Checkbox Selected: 5,19:48:26
Parte 2,19:48:26
Checkbox Selected: 4,19:48:43
Parte 3,19:48:43
Checkbox Selected: True,19:48:47
Parte 4,19:48:48
Checkbox Selected: 9,19:48:53
Parte 5,19:48:53
Checkbox Selected: 3,19:49:09
Parte 6,19:49:10
Correct Drop Event: for,19:49:24
Correct Drop Event: 2,19:49:24
Correct Drop Event: i,19:49:24
Parte 7,19:49:24
Correct Drop Event: list,19:49:33
Correct Drop Event: range,19:49:33
Correct Drop Event: x,19:49:33

Parte 1,19:49:39
"Checkbox Selected: [16, 25, 36]",19:49:49
Parte 2,19:49:49
Correct Drop Event: :,19:49:59
Correct Drop Event: 2,19:49:59
Parte 3,19:49:59
Checkbox Selected: 5,19:51:34
Parte 4,19:51:34
"Checkbox Selected: [1, 25, 81]",19:54:39
Parte 5,19:54:40
"Checkbox Selected: [49, 36]",19:55:05
Parte 6,19:55:05
Checkbox Selected: 4,19:55:22
Parte 7,19:55:22
Parte 8,19:55:30
Checkbox Selected: 3,19:55:41
Checkbox Selected: 3,19:58:01

Parte 1,21:42:16
Checkbox Selected: 5,21:42:29
Parte 2,21:42:29
Checkbox Selected: 4,21:43:06
Parte 3,21:43:07
Checkbox Selected: True,21:43:19
Parte 4,21:43:20
Checkbox Selected: 9,21:43:40
Parte 5,21:43:44
Checkbox Selected: 3,21:44:05
Parte 6,21:44:06
Correct Drop Event: for,21:44:25
Correct Drop Event: 2,21:44:25
Correct Drop Event: i,21:44:25
Parte 7,21:44:25
Correct Drop Event: list,21:45:14
Correct Drop Event: range,21:45:14
Correct Drop Event: x,21:45:14

