event,time
Parte 1,20:30:01
Checkbox Selected: 4,20:30:25
Checkbox Selected: 6,20:30:28
Checkbox Selected: 5,20:30:32
Parte 2,20:30:32
Checkbox Selected: 8,20:30:40
Checkbox Selected: 2,20:30:42
Checkbox Selected: 4,20:30:45
Parte 3,20:30:46
Checkbox Selected: False,20:30:50
Checkbox Selected: True,20:30:54
Parte 4,20:30:55
Checkbox Selected: 3,20:30:59
Checkbox Selected: 3,20:31:00
Checkbox Selected: 12,20:31:02
Checkbox Selected: 0,20:31:05
Checkbox Selected: 9,20:31:08
Parte 5,20:31:09
Checkbox Selected: 2,20:31:15
Checkbox Selected: 3,20:31:19
Parte 6,20:31:20
Incorrect Drop Event: 2,20:32:18
Incorrect Drop Event: i,20:32:18
Incorrect Drop Event: 2,20:32:18
Incorrect Drop Event: i,20:32:18
Correct Drop Event: for,20:32:54
Correct Drop Event: 2,20:32:54
Correct Drop Event: i,20:32:54
Parte 7,20:32:54
Correct Drop Event: list,20:35:13
Correct Drop Event: range,20:35:13
Correct Drop Event: x,20:35:13

