event,time
Parte 1,17:41:59
Pedagogical Page Open Time,17:41:59
Pedagogical Page Close Time,17:42:02
Multiplechoice Page Open Time,17:42:02
Multiplechoice Page Close Time,17:42:10
Parte 2,17:42:10
Pedagogical Page Open Time,17:42:10
Pedagogical Page Close Time,17:42:11
Draganddrop Page Open Time,17:42:11
Draganddrop Page Close Time,17:42:42
Parte 3,17:42:42
Pedagogical Page Open Time,17:42:42
Pedagogical Page Close Time,17:42:43
Multiplechoice Page Open Time,17:42:43
Multiplechoice Page Close Time,17:42:51
Parte 4,17:42:51
Pedagogical Page Open Time,17:42:51
Pedagogical Page Close Time,17:42:51
Multiplechoice Page Open Time,17:42:51
Multiplechoice Page Close Time,17:42:57
Parte 5,17:42:57
Pedagogical Page Open Time,17:42:57
Pedagogical Page Close Time,17:42:58
Multiplechoice Page Open Time,17:42:58
Multiplechoice Page Close Time,17:43:20
Parte 6,17:43:20
Pedagogical Page Open Time,17:43:20
Pedagogical Page Close Time,17:43:20
Multiplechoice Page Open Time,17:43:20
Multiplechoice Page Close Time,17:43:26
Parte 7,17:43:26
Pedagogical Page Open Time,17:43:26
Pedagogical Page Close Time,17:43:26
Practica Page Open Time,17:43:26
Practica Page Close Time,17:43:29
Parte 8,17:43:29
Multiplechoice Page Open Time,17:43:29
Multiplechoice Page Close Time,17:43:53

