event,time
Parte 1,17:41:59
"Checkbox Selected: [16, 25, 36, 49]",17:42:07
"Checkbox Selected: [16, 25, 36]",17:42:09
Parte 2,17:42:10
Incorrect Drop Event: 2,17:42:25
Correct Drop Event: :,17:42:40
Correct Drop Event: 2,17:42:40
Parte 3,17:42:42
Checkbox Selected: 2,17:42:46
Checkbox Selected: 8,17:42:48
Checkbox Selected: 5,17:42:50
Parte 4,17:42:51
"Checkbox Selected: [1, 25]",17:42:54
"Checkbox Selected: [1, 25, 81]",17:42:56
Parte 5,17:42:57
Checkbox Selected: [49],17:43:17
"Checkbox Selected: [49, 36]",17:43:19
Parte 6,17:43:20
Checkbox Selected: 4,17:43:23
Parte 7,17:43:26
Parte 8,17:43:29
Checkbox Selected: 7,17:43:44
Checkbox Selected: 3,17:43:46
Checkbox Selected: 3,17:43:48

