event,time
Parte 1,13:26:34
Checkbox Selected: 4,13:26:37
Parte 2,13:26:37
Checkbox Selected: 6,13:26:40
Parte 3,13:26:40
Correct Drop Event: append,13:26:45
Correct Drop Event: len,13:26:45
Parte 4,13:26:46
Checkbox Selected: 7,13:26:52
Parte 5,13:26:53
Checkbox Selected: 1,13:26:58
Parte 6,13:26:59
Checkbox Selected: 6,13:27:02
Parte 7,13:27:02
Checkbox Selected: 4,13:27:05
Parte 8,13:27:05
Parte 9,13:27:09
Checkbox Selected: 1,13:27:12
Checkbox Selected: 4,13:27:14

Parte 1,12:54:15
Checkbox Selected: 4,12:54:19
Parte 2,12:54:19
Checkbox Selected: 6,12:54:23
Parte 3,12:54:23
Correct Drop Event: append,12:54:30
Correct Drop Event: len,12:54:30
Parte 4,12:54:31
Checkbox Selected: 7,12:54:34
Parte 5,12:54:34
Checkbox Selected: 1,12:54:38
Parte 6,12:54:38
Checkbox Selected: 6,12:54:41
Parte 7,12:54:41
Checkbox Selected: 4,12:54:44
Parte 8,12:54:45
Parte 9,12:54:47
Checkbox Selected: 1,12:54:52
Checkbox Selected: 4,12:54:54

