event,time
Parte 1,13:06:20
Pedagogical Page Open Time,13:06:20
Pedagogical Page Close Time,13:06:22
Draganddrop Page Open Time,13:06:22
Draganddrop Page Close Time,13:06:26
Parte 2,13:06:26
Pedagogical Page Open Time,13:06:26
Pedagogical Page Close Time,13:06:26
Draganddrop Page Open Time,13:06:26
Draganddrop Page Close Time,13:06:37
Parte 3,13:06:37
Pedagogical Page Open Time,13:06:37
Pedagogical Page Close Time,13:06:41
Draganddrop Page Open Time,13:06:41
Draganddrop Page Close Time,13:06:50
Parte 4,13:06:50
Pedagogical Page Open Time,13:06:50
Pedagogical Page Close Time,13:06:51
Multiplechoice Page Open Time,13:06:51
Multiplechoice Page Close Time,13:06:54
Parte 5,13:06:54
Pedagogical Page Open Time,13:06:54
Pedagogical Page Close Time,13:06:57
Practica Page Open Time,13:06:57
Practica Page Close Time,13:07:02
Parte 6,13:07:02
Multiplechoice Page Open Time,13:07:02
Multiplechoice Page Close Time,13:07:06

