event,time
Parte 1,13:06:20
Correct Drop Event: def,13:06:25
Correct Drop Event: :,13:06:25
Parte 2,13:06:26
Correct Drop Event: def test():,13:06:35
Correct Drop Event:   print('A'),13:06:35
Correct Drop Event:   print('B'),13:06:35
Correct Drop Event:   print('C'),13:06:35
Parte 3,13:06:37
Correct Drop Event: def sayHi():,13:06:49
Correct Drop Event:   print('Hi!'),13:06:49
Correct Drop Event: sayHi(),13:06:49
Parte 4,13:06:50
Checkbox Selected: 4,13:06:53
Parte 5,13:06:54
Parte 6,13:07:02
Checkbox Selected: True,13:07:05

