event,time
Parte 1,13:09:46
Pedagogical Page Open Time,13:09:46
Pedagogical Page Close Time,13:09:48
Multiplechoice Page Open Time,13:09:48
Multiplechoice Page Close Time,13:09:51
Parte 2,13:09:51
Pedagogical Page Open Time,13:09:51
Pedagogical Page Close Time,13:09:51
Multiplechoice Page Open Time,13:09:51
Multiplechoice Page Close Time,13:09:54
Parte 3,13:09:54
Pedagogical Page Open Time,13:09:54
Pedagogical Page Close Time,13:09:55
Draganddrop Page Open Time,13:09:55
Draganddrop Page Close Time,13:10:01
Parte 4,13:10:01
Pedagogical Page Open Time,13:10:01
Pedagogical Page Close Time,13:10:02
Draganddrop Page Open Time,13:10:02
Draganddrop Page Close Time,13:10:19
Parte 5,13:10:19
Pedagogical Page Open Time,13:10:19
Pedagogical Page Close Time,13:10:21
Multiplechoice Page Open Time,13:10:21
Multiplechoice Page Close Time,13:10:25

