event,time
Parte 1,20:54:08
Correct Answer Selected: Entero,20:54:15
Correct Answer Selected: Flotante,20:54:15
Correct Answer Selected: Cadena,20:54:15
Parte 2,20:54:15
Correct Drop Event: print('Nosotros somos los campeones amigos'),20:54:19
Correct Drop Event: print('Y seguiremos luchando hasta el final'),20:54:19
Correct Drop Event: print('Somos los campeones'),20:54:19
Parte 3,20:54:19
Correct Answer Selected: print,20:54:21
Parte 4,20:54:21
Correct Answer Selected: sep,20:54:26
Correct Answer Selected: '-',20:54:26
Parte 5,20:54:26
"Correct Answer Selected: #Outputs a message 
print('Have a good day!')",20:54:29
Parte 6,20:54:29
Parte 7,20:54:37

Parte 1,22:00:42
Correct Answer Selected: Entero,22:00:53
Correct Answer Selected: Flotante,22:00:53
Correct Answer Selected: Cadena,22:00:53
Parte 2,22:00:53
Correct Drop Event: print('Nosotros somos los campeones amigos'),22:01:01
Correct Drop Event: print('Y seguiremos luchando hasta el final'),22:01:01
Correct Drop Event: print('Somos los campeones'),22:01:01
Parte 3,22:01:01
Correct Answer Selected: print,22:01:05
Parte 4,22:01:06
Correct Answer Selected: sep,22:01:13
Correct Answer Selected: '-',22:01:13
Parte 5,22:01:13
"Correct Answer Selected: #Outputs a message 
print('Have a good day!')",22:01:17
Parte 6,22:01:18
Parte 7,22:01:22

