event,time
Parte 1,18:08:20
Pedagogical Page Open Time,18:08:20
Pedagogical Page Close Time,18:08:22
Multiplechoice Page Open Time,18:08:22
Multiplechoice Page Close Time,18:08:27
Parte 2,18:08:27
Pedagogical Page Open Time,18:08:27
Pedagogical Page Close Time,18:08:35
Multiplechoice Page Open Time,18:08:35
Multiplechoice Page Close Time,18:08:40
Parte 3,18:08:40
Pedagogical Page Open Time,18:08:40
Pedagogical Page Close Time,18:08:46
Multiplechoice Page Open Time,18:08:46
Multiplechoice Page Close Time,18:08:58
Parte 4,18:08:58
Pedagogical Page Open Time,18:08:58
Pedagogical Page Close Time,18:09:01
Multiplechoice Page Open Time,18:09:01
Multiplechoice Page Close Time,18:09:09
Parte 5,18:09:09
Pedagogical Page Open Time,18:09:09
Pedagogical Page Close Time,18:10:53
Multiplechoice Page Open Time,18:10:53
Multiplechoice Page Close Time,18:11:16
Parte 6,18:11:16
Pedagogical Page Open Time,18:11:16
Pedagogical Page Close Time,18:11:32
Practica Page Open Time,18:11:32
Practica Page Close Time,18:11:36
Parte 7,18:11:36
Multiplechoice Page Open Time,18:11:36
Multiplechoice Page Close Time,18:11:58

