"Modulo Modulo1, Leccion 1",
Parte 1,23:43:42
Pedagogical Page Open Time,23:43:42
Pedagogical Page Close Time,23:43:43
Multiplechoice Page Open Time,23:43:43
Checkbox Selected: Un lenguaje utilizado por las maquinas para comunicarse con los extraterrestres.,23:43:45
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,23:43:48
Multiplechoice Page Close Time,23:43:50
Parte 2,23:43:50
Pedagogical Page Open Time,23:43:50
Pedagogical Page Close Time,23:43:53
Pedagogical2 Page Open Time,23:43:53
Pedagogical2 Page Close Time,23:43:54
Parte 3,23:43:54
Pedagogical Page Open Time,23:43:54
Pedagogical Page Close Time,23:43:55
Multiplechoice Page Open Time,23:43:55
Checkbox Selected: Verdadero,23:44:05
Multiplechoice Page Close Time,23:44:07
Parte 4,23:44:08
Draganddrop Page Open Time,23:44:08
Correct Answer Selected: print(729),23:44:09
Draganddrop Page Close Time,23:44:11
Pedagogical Page Open Time,23:44:11
Pedagogical Page Close Time,23:44:13
Parte 5,23:44:13
Multiplechoice Page Open Time,23:44:13
Checkbox Selected: comillas '' ,23:44:16
Multiplechoice Page Close Time,23:44:19
Pedagogical Page Open Time,23:44:19
Pedagogical Page Close Time,23:44:21
Parte 6,23:44:21
Pedagogical Page Open Time,23:44:21
Pedagogical Page Close Time,23:44:22

