"Modulo 1, Leccion 1",
Parte 1,01:53:24
Pedagogical Page Open Time,01:53:24
Pedagogical Page Close Time,01:53:31
Multiplechoice Page Open Time,01:53:31
Checkbox Selected: Un lenguaje utilizado por las maquinas para comunicarse con los extraterrestres.,01:53:33
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,01:53:39
Multiplechoice Page Close Time,01:53:41
Parte 2,01:53:41
Pedagogical Page Open Time,01:53:41
Pedagogical Page Close Time,01:53:59
Pedagogical2 Page Open Time,01:53:59
Pedagogical2 Page Close Time,01:54:01
Parte 3,01:54:01
Pedagogical Page Open Time,01:54:01
Pedagogical Page Close Time,01:54:02
Multiplechoice Page Open Time,01:54:02
Checkbox Selected: Verdadero,01:54:07
Multiplechoice Page Close Time,01:54:11
Parte 4,01:54:11
Draganddrop Page Open Time,01:54:11
Incorrect Answer Selected: run(729),01:54:15
Incorrect Answer Selected: run(729),01:54:16
Correct Answer Selected: print(729),01:54:24
Draganddrop Page Close Time,01:54:25
Pedagogical Page Open Time,01:54:25
Pedagogical Page Close Time,01:54:31
Parte 5,01:54:31
Multiplechoice Page Open Time,01:54:31
Checkbox Selected: comillas '' ,01:54:37
Multiplechoice Page Close Time,01:54:38
Pedagogical Page Open Time,01:54:38
Pedagogical Page Close Time,01:54:40
Parte 6,01:54:40
Pedagogical Page Open Time,01:54:40
Pedagogical Page Close Time,01:54:41

"Modulo 1, Leccion 1",
Parte 1,02:13:43
Pedagogical Page Open Time,02:13:43
Pedagogical Page Close Time,02:13:46
Multiplechoice Page Open Time,02:13:46
Checkbox Selected: Un lenguaje utilizado por las maquinas para comunicarse con los extraterrestres.,02:13:48
Checkbox Selected: Un lenguaje utilizado por las maquinas para comunicarse con los extraterrestres.,02:13:49
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,02:13:54
Multiplechoice Page Close Time,02:13:56
Parte 2,02:13:56
Pedagogical Page Open Time,02:13:56
Pedagogical Page Close Time,02:13:57
Pedagogical2 Page Open Time,02:13:57
Pedagogical2 Page Close Time,02:13:58
Parte 3,02:13:58
Pedagogical Page Open Time,02:13:58
Pedagogical Page Close Time,02:13:59
Multiplechoice Page Open Time,02:13:59
Checkbox Selected: Falso,02:14:01
Checkbox Selected: Verdadero,02:14:04
Multiplechoice Page Close Time,02:14:05
Parte 4,02:14:05
Draganddrop Page Open Time,02:14:05
Correct Answer Selected: print(729),02:14:07
Draganddrop Page Close Time,02:14:09
Pedagogical Page Open Time,02:14:09
Pedagogical Page Close Time,02:14:10
Parte 5,02:14:10
Multiplechoice Page Open Time,02:14:10
Checkbox Selected: comillas '' ,02:14:12
Multiplechoice Page Close Time,02:14:13
Pedagogical Page Open Time,02:14:13
Pedagogical Page Close Time,02:14:15
Parte 6,02:14:15
Pedagogical Page Open Time,02:14:15
Pedagogical Page Close Time,02:14:24

"Modulo 1, Leccion 2",
Parte 1,02:43:31
Pedagogical Page Open Time,02:43:31
Pedagogical Page Close Time,02:43:33
Pedagogical2 Page Open Time,02:43:33
Pedagogical2 Page Close Time,02:43:34
Parte 2,02:43:34
Completeblankspace Page Open Time,02:43:34
Correct Answer Selected: +,02:43:43
Completeblankspace Page Close Time,02:43:45
Pedagogical Page Open Time,02:43:45
Pedagogical Page Close Time,02:43:46
Parte 3,02:43:46
Draganddrop Page Open Time,02:43:46
Draganddrop Page Close Time,02:43:52
Pedagogical Page Open Time,02:43:52
Correct Answer Selected: print(42 * 3),02:43:52
Pedagogical Page Close Time,02:43:55
Parte 4,02:43:55
Multiplechoice Page Open Time,02:43:55
Multiplechoice Page Close Time,02:44:02
Pedagogical Page Open Time,02:44:02
Correct Answer Selected: 4.0,02:44:02
Pedagogical Page Close Time,02:44:04
Parte 5,02:44:04
Draganddrop Page Open Time,02:44:04
Correct Answer Selected: Entero:2,02:44:13
Correct Answer Selected: Flotante:3.14,02:44:13
Draganddrop Page Close Time,02:44:15
Pedagogical Page Open Time,02:44:15
Pedagogical Page Close Time,02:44:16
Parte 6,02:44:16
Pedagogical Page Open Time,02:44:16
Pedagogical Page Close Time,02:44:18
Pedagogical2 Page Open Time,02:44:18
Pedagogical2 Page Close Time,02:44:20
Parte 7,02:44:20
Pedagogical Page Open Time,02:44:20
Pedagogical Page Close Time,02:44:22

