"Modulo modulo_1, Leccion 1",
Parte 1,17:11:17
Pedagogical Page Open Time,17:11:17
Pedagogical Page Close Time,17:11:20
Multiplechoice Page Open Time,17:11:20
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,17:11:21
Multiplechoice Page Close Time,17:11:23
Parte 2,17:11:23
Pedagogical Page Open Time,17:11:23
Pedagogical Page Close Time,17:11:26
Pedagogical2 Page Open Time,17:11:26
Pedagogical2 Page Close Time,17:11:26
Parte 3,17:11:26
Pedagogical Page Open Time,17:11:26
Pedagogical Page Close Time,17:11:27
Multiplechoice Page Open Time,17:11:27
Checkbox Selected: Verdadero,17:11:30
Multiplechoice Page Close Time,17:11:32
Parte 4,17:11:32
Draganddrop Page Open Time,17:11:32
Correct Answer Selected: print(729),17:11:34
Draganddrop Page Close Time,17:11:36
Pedagogical Page Open Time,17:11:36
Pedagogical Page Close Time,17:11:37
Parte 5,17:11:37
Multiplechoice Page Open Time,17:11:37
Checkbox Selected: comillas '' ,17:11:39
Multiplechoice Page Close Time,17:11:41
Pedagogical Page Open Time,17:11:41
Pedagogical Page Close Time,17:11:41
Parte 6,17:11:41
Pedagogical Page Open Time,17:11:41
Pedagogical Page Close Time,17:11:42

"Modulo modulo_2, Leccion Leccion2",
Parte 1,17:13:39
Pedagogical Page Open Time,17:13:39
Pedagogical Page Close Time,17:13:41
Pedagogical2 Page Open Time,17:13:41
Pedagogical2 Page Close Time,17:13:42
Parte 2,17:13:42
Completeblankspace Page Open Time,17:13:42
Completeblankspace Page Close Time,17:13:48
Pedagogical Page Open Time,17:13:48
Correct Answer Selected: +,17:13:48
Pedagogical Page Close Time,17:13:49
Parte 3,17:13:49
Draganddrop Page Open Time,17:13:49
Correct Answer Selected: print(42 * 3),17:13:54
Draganddrop Page Close Time,17:13:56
Pedagogical Page Open Time,17:13:56
Pedagogical Page Close Time,17:13:56
Parte 4,17:13:56
Multiplechoice Page Open Time,17:13:56
Multiplechoice Page Close Time,17:14:02
Pedagogical Page Open Time,17:14:02
Correct Answer Selected: 4.0,17:14:02
Pedagogical Page Close Time,17:14:03
Parte 5,17:14:03
Draganddrop Page Open Time,17:14:03
Correct Answer Selected: Entero:2,17:14:08
Correct Answer Selected: Flotante:3.14,17:14:08
Draganddrop Page Close Time,17:14:10
Pedagogical Page Open Time,17:14:10
Pedagogical Page Close Time,17:14:11
Parte 6,17:14:11
Pedagogical Page Open Time,17:14:11
Pedagogical Page Close Time,17:14:34
Pedagogical2 Page Open Time,17:14:34
Pedagogical2 Page Close Time,17:14:35
Parte 7,17:14:35
Pedagogical Page Open Time,17:14:35
Pedagogical Page Close Time,17:14:36

