"Modulo 1, Leccion 1",
Parte 1,15:16:46
Pedagogical Page Open Time,15:16:46
Pedagogical Page Close Time,15:16:48
Multiplechoice Page Open Time,15:16:48
Checkbox Selected: Un lenguaje utilizado por las maquinas para comunicarse con los extraterrestres.,15:16:50
Checkbox Selected: Un lenguaje utilizado por las maquinas para comunicarse con los extraterrestres.,15:16:51
Multiplechoice Page Close Time,15:16:53
Parte 2,15:16:53
Pedagogical Page Open Time,15:16:53
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,15:16:53
Pedagogical Page Close Time,15:16:57
Pedagogical2 Page Open Time,15:16:57
Pedagogical2 Page Close Time,15:16:57
Parte 3,15:16:57
Pedagogical Page Open Time,15:16:57
Pedagogical Page Close Time,15:16:57
Multiplechoice Page Open Time,15:16:57
Multiplechoice Page Close Time,15:17:01
Parte 4,15:17:01
Draganddrop Page Open Time,15:17:01
Checkbox Selected: Verdadero,15:17:01
Incorrect Answer Selected: <Espacio para respuesta>(729),15:17:02
Correct Answer Selected: print(729),15:17:05
Draganddrop Page Close Time,15:17:06
Pedagogical Page Open Time,15:17:06
Pedagogical Page Close Time,15:17:06
Parte 5,15:17:06
Multiplechoice Page Open Time,15:17:06
Multiplechoice Page Close Time,15:17:11
Pedagogical Page Open Time,15:17:11
Checkbox Selected: comillas '' ,15:17:11
Pedagogical Page Close Time,15:17:12
Parte 6,15:17:12
Pedagogical Page Open Time,15:17:12
Pedagogical Page Close Time,15:17:14

"Modulo 1, Leccion 5",
Parte 1,15:19:15
Pedagogical2 Page Open Time,15:19:15
Pedagogical2 Page Close Time,15:19:16
Parte 2,15:19:16
Pedagogical Page Open Time,15:19:16
Pedagogical Page Close Time,15:19:17
Pedagogical2 Page Open Time,15:19:17
Pedagogical2 Page Close Time,15:19:17
Parte 3,15:19:17
Multiplechoice Page Open Time,15:19:17
Checkbox Selected: valor.,15:19:20
Multiplechoice Page Close Time,15:19:21
Draganddrop Page Open Time,15:19:21
Correct Drop Event: edad,15:19:24
Correct Drop Event: 18,15:19:24
Draganddrop Page Close Time,15:19:25
Parte 4,15:19:25
Pedagogical Page Open Time,15:19:25
Pedagogical Page Close Time,15:19:25
Completeblankspace Page Open Time,15:19:25
Correct Answer Selected: 2028,15:19:33
Completeblankspace Page Close Time,15:19:34
Parte 5,15:19:34
Pedagogical Page Open Time,15:19:34
Pedagogical Page Close Time,15:19:34
Multiplechoice Page Open Time,15:19:34
Checkbox Selected: 0,15:19:38
Checkbox Selected: 42,15:19:41
Checkbox Selected: 42,15:19:41
Multiplechoice Page Close Time,15:19:44
Parte 6,15:19:44
Multiplechoice Page Open Time,15:19:44
Checkbox Selected: 24,15:19:44
Checkbox Selected: 8,15:19:49
Checkbox Selected: 8,15:19:49
Checkbox Selected: 12,15:19:50
Multiplechoice Page Close Time,15:19:51
Pedagogical Page Open Time,15:19:51
Pedagogical Page Close Time,15:19:53
Parte 7,15:19:53
Multiplechoice Page Open Time,15:19:53
Checkbox Selected: % de humedad ambiental,15:19:55
Checkbox Selected: % de humedad ambiental,15:19:55
Multiplechoice Page Close Time,15:19:57
Pedagogical Page Open Time,15:19:57
Checkbox Selected: un_nombre_variable,15:19:57
Pedagogical Page Close Time,15:19:58
Parte 8,15:19:58
Multiplechoice Page Open Time,15:19:58
Checkbox Selected: Balance: 200€,15:20:00
Checkbox Selected: Balance: 200€,15:20:00
Checkbox Selected: Balance: € 200,15:20:01
Multiplechoice Page Close Time,15:20:02
Pedagogical Page Open Time,15:20:02
Pedagogical Page Close Time,15:20:04
Parte 9,15:20:04
Pedagogical Page Open Time,15:20:04
Pedagogical Page Close Time,15:20:05
Pedagogical2 Page Open Time,15:20:05
Pedagogical2 Page Close Time,15:20:07

"Modulo 1, Leccion 5",
Parte 1,13:56:54
Pedagogical2 Page Open Time,13:56:54
Pedagogical2 Page Close Time,13:56:56
Parte 2,13:56:56
Pedagogical Page Open Time,13:56:56
Pedagogical Page Close Time,13:56:57
Pedagogical2 Page Open Time,13:56:57
Pedagogical2 Page Close Time,13:56:57
Parte 3,13:56:57
Multiplechoice Page Open Time,13:56:57
Checkbox Selected: valor.,13:56:59
Multiplechoice Page Close Time,13:57:00
Draganddrop Page Open Time,13:57:00
Correct Drop Event: edad,13:57:03
Correct Drop Event: 18,13:57:03
Draganddrop Page Close Time,13:57:04
Parte 4,13:57:04
Pedagogical Page Open Time,13:57:04
Pedagogical Page Close Time,13:57:04
