"Modulo 1, Leccion 1",
Parte 1,01:04:58
Pedagogical Page Open Time,01:04:58
Pedagogical Page Close Time,01:04:59
Multiplechoice Page Open Time,01:04:59
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,01:05:02
Multiplechoice Page Close Time,01:05:04
Parte 2,01:05:04
Pedagogical Page Open Time,01:05:04
Pedagogical Page Close Time,01:05:06
Pedagogical2 Page Open Time,01:05:06
Pedagogical2 Page Close Time,01:05:06
Parte 3,01:05:06
Pedagogical Page Open Time,01:05:06
Pedagogical Page Close Time,01:05:07
Multiplechoice Page Open Time,01:05:07
Multiplechoice Page Close Time,01:05:09
Parte 4,01:05:09
Draganddrop Page Open Time,01:05:09
Parte 3,01:05:09
Checkbox Selected: Verdadero,01:05:09
Parte 4,01:05:11
Correct Answer Selected: print(729),01:05:11
Draganddrop Page Close Time,01:05:13
Pedagogical Page Open Time,01:05:13
Pedagogical Page Close Time,01:05:14
Parte 5,01:05:14
Multiplechoice Page Open Time,01:05:14
Checkbox Selected: comillas '' ,01:05:15
Multiplechoice Page Close Time,01:05:17
Pedagogical Page Open Time,01:05:17
Pedagogical Page Close Time,01:05:18
Parte 6,01:05:18
Pedagogical Page Open Time,01:05:18
Pedagogical Page Close Time,01:05:18

