"Modulo modulo_1, Leccion 1",
Parte 1,17:16:45
Pedagogical Page Open Time,17:16:45
Pedagogical Page Close Time,17:16:46
Multiplechoice Page Open Time,17:16:46
Checkbox Selected: Un lenguaje utilizado por las maquinas para comunicarse con los extraterrestres.,17:16:49
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,17:16:52
Multiplechoice Page Close Time,17:16:54
Parte 2,17:16:54
Pedagogical Page Open Time,17:16:54
Pedagogical Page Close Time,17:16:56
Pedagogical2 Page Open Time,17:16:56
Pedagogical2 Page Close Time,17:16:56
Parte 3,17:16:56
Pedagogical Page Open Time,17:16:56
Pedagogical Page Close Time,17:16:56
Multiplechoice Page Open Time,17:16:56
Checkbox Selected: Verdadero,17:16:59
Multiplechoice Page Close Time,17:17:01
Parte 4,17:17:01
Draganddrop Page Open Time,17:17:01
Correct Answer Selected: print(729),17:17:03
Draganddrop Page Close Time,17:17:05
Pedagogical Page Open Time,17:17:05
Pedagogical Page Close Time,17:17:05
Parte 5,17:17:05
Multiplechoice Page Open Time,17:17:05
Checkbox Selected: comillas '' ,17:17:07
Multiplechoice Page Close Time,17:17:09
Pedagogical Page Open Time,17:17:09
Pedagogical Page Close Time,17:17:10
Parte 6,17:17:10
Pedagogical Page Open Time,17:17:10
Pedagogical Page Close Time,17:17:11

"Modulo modulo_2, Leccion Leccion2",
Parte 1,17:26:38
Pedagogical Page Open Time,17:26:38
Pedagogical Page Close Time,17:26:39
Pedagogical2 Page Open Time,17:26:39
Pedagogical2 Page Close Time,17:26:40
Parte 2,17:26:40
Completeblankspace Page Open Time,17:26:40
Correct Answer Selected: +,17:26:45
Completeblankspace Page Close Time,17:26:46
Pedagogical Page Open Time,17:26:47
Pedagogical Page Close Time,17:26:47
Parte 3,17:26:47
Draganddrop Page Open Time,17:26:47
Correct Answer Selected: print(42 * 3),17:26:51
Draganddrop Page Close Time,17:26:53
Pedagogical Page Open Time,17:26:53
Pedagogical Page Close Time,17:27:06
Parte 4,17:27:06
Multiplechoice Page Open Time,17:27:06
Correct Answer Selected: 4.0,17:27:10
Multiplechoice Page Close Time,17:27:11
Pedagogical Page Open Time,17:27:11
Pedagogical Page Close Time,17:27:13
Parte 5,17:27:13
Draganddrop Page Open Time,17:27:13
Correct Answer Selected: Entero:2,17:27:17
Correct Answer Selected: Flotante:3.14,17:27:17
Draganddrop Page Close Time,17:27:21
Pedagogical Page Open Time,17:27:21
Pedagogical Page Close Time,17:27:22
Parte 6,17:27:22
Pedagogical Page Open Time,17:27:22
Pedagogical Page Close Time,17:27:23
Pedagogical2 Page Open Time,17:27:23
Pedagogical2 Page Close Time,17:27:25
Parte 7,17:27:25
Pedagogical Page Open Time,17:27:25
Pedagogical Page Close Time,17:27:27

"Modulo modulo_1, Leccion Leccion2",
Parte 1,17:29:53
Pedagogical Page Open Time,17:29:53
Pedagogical Page Close Time,17:29:54
Pedagogical2 Page Open Time,17:29:54
Pedagogical2 Page Close Time,17:29:55
Pedagogical Page Open Time,17:29:55
Pedagogical Page Close Time,17:29:55
Pedagogical2 Page Open Time,17:29:55
Pedagogical2 Page Close Time,17:29:56
Parte 2,17:29:56
Completeblankspace Page Open Time,17:29:56
Blank Space Selected,17:29:56
Correct Answer Selected: +,17:30:02
Completeblankspace Page Close Time,17:30:04
