"Modulo 1, Leccion 1",
Parte 1,17:22:30
Pedagogical Page Open Time,17:22:30
Pedagogical Page Close Time,17:22:51
Multiplechoice Page Open Time,17:22:51
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,17:22:54
Multiplechoice Page Close Time,17:22:56
Parte 2,17:22:56
Pedagogical Page Open Time,17:22:56
Pedagogical Page Close Time,17:22:58
Pedagogical2 Page Open Time,17:22:58
Pedagogical2 Page Close Time,17:23:01
Parte 3,17:23:01
Pedagogical Page Open Time,17:23:01
Pedagogical Page Close Time,17:23:03
Multiplechoice Page Open Time,17:23:03
Multiplechoice Page Close Time,17:23:08
Parte 4,17:23:08
Draganddrop Page Open Time,17:23:08
Parte 3,17:23:08
Checkbox Selected: Verdadero,17:23:08
Parte 4,17:23:16
Incorrect Answer Selected: <Espacio para respuesta>(729),17:23:16
Correct Answer Selected: print(729),17:23:19
Draganddrop Page Close Time,17:23:20
Pedagogical Page Open Time,17:23:20
Pedagogical Page Close Time,17:23:26
Parte 5,17:23:26
Multiplechoice Page Open Time,17:23:26
Checkbox Selected: comillas '' ,17:23:30
Multiplechoice Page Close Time,17:23:31
Pedagogical Page Open Time,17:23:31
Pedagogical Page Close Time,17:23:32
Parte 6,17:23:32
Pedagogical Page Open Time,17:23:32
Pedagogical Page Close Time,17:23:33

"Modulo 1, Leccion 1",
Parte 1,17:25:11
Pedagogical Page Open Time,17:25:11
Pedagogical Page Close Time,17:25:12
Multiplechoice Page Open Time,17:25:12
Multiplechoice Page Close Time,17:25:15
Parte 2,17:25:15
Pedagogical Page Open Time,17:25:15
Parte 1,17:25:15
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,17:25:15
Pedagogical Page Close Time,17:25:17
Pedagogical2 Page Open Time,17:25:17
Pedagogical2 Page Close Time,17:25:18
Parte 3,17:25:18
Pedagogical Page Open Time,17:25:18
Pedagogical Page Close Time,17:25:19
Multiplechoice Page Open Time,17:25:19
Multiplechoice Page Close Time,17:25:23
Parte 4,17:25:23
Draganddrop Page Open Time,17:25:23
Parte 3,17:25:23
Checkbox Selected: Verdadero,17:25:23
Parte 4,17:25:26
Correct Answer Selected: print(729),17:25:26
Draganddrop Page Close Time,17:25:27
Pedagogical Page Open Time,17:25:27
Pedagogical Page Close Time,17:25:27
Parte 5,17:25:27
Multiplechoice Page Open Time,17:25:27
Checkbox Selected: comillas '' ,17:25:31
Multiplechoice Page Close Time,17:25:32
Pedagogical Page Open Time,17:25:32
Pedagogical Page Close Time,17:25:36
Parte 6,17:25:36
Pedagogical Page Open Time,17:25:36
Pedagogical Page Close Time,17:25:37

"Modulo 1, Leccion 1",
Parte 1,09:58:57
Pedagogical Page Open Time,09:58:57
Pedagogical Page Close Time,09:58:59
Multiplechoice Page Open Time,09:58:59
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,09:59:01
Multiplechoice Page Close Time,09:59:02
Parte 2,09:59:02
Pedagogical Page Open Time,09:59:02
Pedagogical Page Close Time,09:59:03
Pedagogical2 Page Open Time,09:59:03
Pedagogical2 Page Close Time,09:59:04
Parte 3,09:59:04
Pedagogical Page Open Time,09:59:04
Pedagogical Page Close Time,09:59:06
Multiplechoice Page Open Time,09:59:06
Multiplechoice Page Close Time,09:59:10
Parte 4,09:59:10
Draganddrop Page Open Time,09:59:10
Parte 3,09:59:10
Checkbox Selected: Verdadero,09:59:10
Parte 4,09:59:17
Correct Answer Selected: print(729),09:59:17
Draganddrop Page Close Time,09:59:18
Pedagogical Page Open Time,09:59:18
Pedagogical Page Close Time,09:59:19
Parte 5,09:59:19
Multiplechoice Page Open Time,09:59:19
Checkbox Selected: comillas '' ,09:59:22
Multiplechoice Page Close Time,09:59:23
Pedagogical Page Open Time,09:59:23
Pedagogical Page Close Time,09:59:23
Parte 6,09:59:23
Pedagogical Page Open Time,09:59:23
Pedagogical Page Close Time,09:59:24

"Modulo 1, Leccion 1",
Parte 1,22:19:14
Pedagogical Page Open Time,22:19:14
Pedagogical Page Close Time,22:19:17
Multiplechoice Page Open Time,22:19:17
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,22:19:19
Multiplechoice Page Close Time,22:19:20
Parte 2,22:19:20
Pedagogical Page Open Time,22:19:20
Pedagogical Page Close Time,22:19:20
Pedagogical2 Page Open Time,22:19:20
Pedagogical2 Page Close Time,22:19:21
Parte 3,22:19:21
Pedagogical Page Open Time,22:19:21
Pedagogical Page Close Time,22:19:23
Multiplechoice Page Open Time,22:19:23
Checkbox Selected: Verdadero,22:19:26
Multiplechoice Page Close Time,22:19:27
Parte 4,22:19:27
Draganddrop Page Open Time,22:19:27
Draganddrop Page Close Time,22:19:30
Pedagogical Page Open Time,22:19:30
Correct Answer Selected: print(729),22:19:30
Pedagogical Page Close Time,22:19:31
Parte 5,22:19:31
Multiplechoice Page Open Time,22:19:31
Checkbox Selected: comillas '' ,22:19:36
Multiplechoice Page Close Time,22:19:37
Pedagogical Page Open Time,22:19:37
Pedagogical Page Close Time,22:19:38
Parte 6,22:19:38
Pedagogical Page Open Time,22:19:38
Pedagogical Page Close Time,22:19:39

"Modulo 1, Leccion 1",
Parte 1,19:08:31
Pedagogical Page Open Time,19:08:31
Pedagogical Page Close Time,19:08:33
Multiplechoice Page Open Time,19:08:33
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,19:08:35
Multiplechoice Page Close Time,19:08:36
Parte 2,19:08:36
Pedagogical Page Open Time,19:08:36
Pedagogical Page Close Time,19:08:40
Pedagogical2 Page Open Time,19:08:40
Pedagogical2 Page Close Time,19:08:41
Parte 3,19:08:41
Pedagogical Page Open Time,19:08:41
Pedagogical Page Close Time,19:08:42
Multiplechoice Page Open Time,19:08:42
Multiplechoice Page Close Time,19:08:46
Parte 4,19:08:46
Draganddrop Page Open Time,19:08:46
Parte 3,19:08:46
Checkbox Selected: Verdadero,19:08:46
Parte 4,19:08:50
Correct Answer Selected: print(729),19:08:50
Draganddrop Page Close Time,19:08:51
Pedagogical Page Open Time,19:08:51
Pedagogical Page Close Time,19:08:57
Parte 5,19:08:57
Multiplechoice Page Open Time,19:08:57
Checkbox Selected: comillas '' ,19:09:04
Multiplechoice Page Close Time,19:09:05
Pedagogical Page Open Time,19:09:05
Pedagogical Page Close Time,19:09:06
Parte 6,19:09:06
Pedagogical Page Open Time,19:09:06
Pedagogical Page Close Time,19:09:19

"Modulo 1, Leccion 2",
Parte 1,19:09:29
Pedagogical Page Open Time,19:09:29
Pedagogical Page Close Time,19:09:31
Pedagogical2 Page Open Time,19:09:31
Pedagogical2 Page Close Time,19:09:32
Parte 2,19:09:32
Completeblankspace Page Open Time,19:09:32
Correct Answer Selected: +,19:10:15
Completeblankspace Page Close Time,19:10:16
Pedagogical Page Open Time,19:10:16
Pedagogical Page Close Time,19:10:17
Parte 3,19:10:17
Draganddrop Page Open Time,19:10:17
Correct Answer Selected: print(42 * 3),19:10:25
Draganddrop Page Close Time,19:10:26
