event,time
Parte 1,10:43:43
Pedagogical Page Open Time,10:43:43
Pedagogical Page Close Time,10:43:44
Pedagogical2 Page Open Time,10:43:44
Pedagogical2 Page Close Time,10:43:46
Parte 2,10:43:46
Completeblankspace Page Open Time,10:43:46
Completeblankspace Page Close Time,10:43:48
Pedagogical Page Open Time,10:43:48
Pedagogical Page Close Time,10:43:49
Parte 3,10:43:49
Multiplechoice Page Open Time,10:43:49
Multiplechoice Page Close Time,10:43:55
Pedagogical Page Open Time,10:43:55
Pedagogical Page Close Time,10:43:55
Parte 4,10:43:55
Multiplechoice Page Open Time,10:43:55
Multiplechoice Page Close Time,10:43:59
Pedagogical Page Open Time,10:43:59
Pedagogical Page Close Time,10:43:59
Parte 5,10:43:59
Draganddrop Page Open Time,10:43:59
Draganddrop Page Close Time,10:45:04
Parte 6,10:45:04
Pedagogical Page Open Time,10:45:04
Pedagogical Page Close Time,10:45:05
Multiplechoice Page Open Time,10:45:05
Multiplechoice Page Close Time,10:45:12

