event,time
Parte 1,10:43:43
Parte 2,10:43:46
Correct Answer Selected: 6,10:43:48
Parte 3,10:43:49
Checkbox Selected: 10,10:43:51
Checkbox Selected: 9,10:43:55
Parte 4,10:43:55
Checkbox Selected: '59',10:43:58
Parte 5,10:43:59
Correct Drop Event: x,10:44:58
Correct Drop Event: =,10:44:58
Correct Drop Event: int(,10:44:58
Correct Drop Event: input()),10:44:58
Correct Drop Event: y,10:44:58
Correct Drop Event: =,10:44:58
Correct Drop Event: int(,10:44:58
Correct Drop Event: input()),10:44:58
Correct Drop Event: print(,10:44:58
Correct Drop Event: x,10:44:58
Correct Drop Event: +,10:44:58
Correct Drop Event: y,10:44:58
Correct Drop Event: ),10:44:58
Parte 6,10:45:04
Checkbox Selected: 22,10:45:09
Checkbox Selected: 11,10:45:11

