event,time
Parte 1,21:06:58
Pedagogical Page Open Time,21:06:58
Pedagogical Page Close Time,21:06:59
Multiplechoice Page Open Time,21:06:59
Multiplechoice Page Close Time,21:07:01
Parte 2,21:07:01
Pedagogical Page Open Time,21:07:01
Pedagogical Page Close Time,21:07:02
Pedagogical2 Page Open Time,21:07:02
Pedagogical2 Page Close Time,21:07:44
Parte 3,21:07:44
Pedagogical Page Open Time,21:07:44
Pedagogical Page Close Time,21:07:57
Multiplechoice Page Open Time,21:07:57
Multiplechoice Page Close Time,21:08:03
Parte 4,21:08:04
Draganddrop Page Open Time,21:08:04
Draganddrop Page Close Time,21:08:06
Pedagogical Page Open Time,21:08:06
Pedagogical Page Close Time,21:08:13
Parte 5,21:08:13
Multiplechoice Page Open Time,21:08:13
Multiplechoice Page Close Time,21:08:18
Pedagogical Page Open Time,21:08:18
Pedagogical Page Close Time,21:08:18
Parte 6,21:08:18
Pedagogical Page Open Time,21:08:18
Pedagogical Page Close Time,21:08:19
Parte 5,21:08:19
Pedagogical Page Open Time,21:08:19
Pedagogical Page Close Time,21:11:43
Parte 6,21:11:43
Pedagogical Page Open Time,21:11:43
Pedagogical Page Close Time,21:11:45

Parte 1,20:45:30
Pedagogical Page Open Time,20:45:30
Pedagogical Page Close Time,20:45:32
Multiplechoice Page Open Time,20:45:32
Multiplechoice Page Close Time,20:45:33
Parte 2,20:45:33
Pedagogical Page Open Time,20:45:33
Pedagogical Page Close Time,20:45:34
Pedagogical2 Page Open Time,20:45:34
Pedagogical2 Page Close Time,20:45:34
Parte 3,20:45:34
Pedagogical Page Open Time,20:45:34
Pedagogical Page Close Time,20:45:36
Parte 2,20:45:36
Pedagogical2 Page Open Time,20:45:36
Pedagogical2 Page Close Time,20:45:42
Parte 3,20:45:42
Pedagogical Page Open Time,20:45:42
Pedagogical Page Close Time,20:45:51
Multiplechoice Page Open Time,20:45:51
Multiplechoice Page Close Time,20:45:56
Parte 4,20:45:56
Draganddrop Page Open Time,20:45:56
Draganddrop Page Close Time,20:45:59
Pedagogical Page Open Time,20:45:59
Pedagogical Page Close Time,20:46:01
Parte 5,20:46:01
Multiplechoice Page Open Time,20:46:01
Multiplechoice Page Close Time,20:46:06
Pedagogical Page Open Time,20:46:06
Pedagogical Page Close Time,20:46:07
Parte 6,20:46:07
Pedagogical Page Open Time,20:46:07
Pedagogical Page Close Time,20:46:08

