event,time
Parte 1,21:07:01
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,21:07:01
Parte 3,21:07:58
Checkbox Selected: Falso,21:08:00
Checkbox Selected: Falso,21:08:01
Checkbox Selected: Falso,21:08:01
Checkbox Selected: Verdadero,21:08:03
Parte 4,21:08:06
Correct Answer Selected: print(729),21:08:06
Parte 5,21:08:14
Checkbox Selected: barra inclinada /,21:08:14
Checkbox Selected: barra inclinada /,21:08:15
Checkbox Selected: barra inclinada /,21:08:15
Checkbox Selected: comillas '' ,21:08:18

Parte 1,20:45:32
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,20:45:33
Parte 3,20:45:55
Checkbox Selected: Verdadero,20:45:55
Parte 4,20:45:56
Incorrect Answer Selected: <Espacio para respuesta>(729),20:45:56
Correct Answer Selected: print(729),20:45:58
Parte 5,20:46:02
Checkbox Selected: comillas '' ,20:46:05

