event,time
Parte 1,20:55:49
Pedagogical Page Open Time,20:55:49
Pedagogical Page Close Time,20:55:51
Pedagogical2 Page Open Time,20:55:51
Pedagogical2 Page Close Time,20:55:52
Pedagogical Page Open Time,20:55:52
Pedagogical Page Close Time,20:55:53
Pedagogical2 Page Open Time,20:55:53
Pedagogical2 Page Close Time,20:55:54
Parte 2,20:55:54
Completeblankspace Page Open Time,20:55:54
Completeblankspace Page Close Time,20:56:01
Pedagogical Page Open Time,20:56:01
Pedagogical Page Close Time,20:56:02
Parte 3,20:56:02
Multiplechoice Page Open Time,20:56:02
Multiplechoice Page Close Time,20:56:11
Pedagogical Page Open Time,20:56:11
Pedagogical Page Close Time,20:56:12
Parte 4,20:56:12
Multiplechoice Page Open Time,20:56:12
Multiplechoice Page Close Time,20:56:18
Pedagogical Page Open Time,20:56:18
Pedagogical Page Close Time,20:56:19
Parte 5,20:56:19
Draganddrop Page Open Time,20:56:19
Draganddrop Page Close Time,21:02:24
Parte 6,21:02:24
Pedagogical Page Open Time,21:02:24
Pedagogical Page Close Time,21:02:25
Multiplechoice Page Open Time,21:02:25
Multiplechoice Page Close Time,21:02:36

