event,time
Parte 1,16:25:22
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,16:25:22
Parte 3,16:26:14
Checkbox Selected: Verdadero,16:26:14
Parte 4,16:26:20
Correct Answer Selected: print(729),16:26:20
Parte 5,16:26:25
Checkbox Selected: comillas '' ,16:26:25

Parte 1,17:13:32
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,17:13:32
Parte 3,17:13:36
Checkbox Selected: Verdadero,17:13:36
Parte 4,17:13:51
Correct Answer Selected: print(729),17:13:51
Parte 5,17:13:56
Checkbox Selected: comillas '' ,17:13:56

Parte 1,17:54:43
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,17:54:43
Parte 3,17:54:47
Checkbox Selected: Verdadero,17:54:47
Parte 4,17:55:00
Correct Answer Selected: print(729),17:55:00
Parte 5,17:55:02
Checkbox Selected: comillas '' ,17:55:02

Parte 1,18:08:56
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,18:08:56
Parte 3,18:08:59
Checkbox Selected: Verdadero,18:08:59
Parte 4,18:08:59
Incorrect Answer Selected: <Espacio para respuesta>(729),18:08:59
Incorrect Answer Selected: output(729),18:09:08
Correct Answer Selected: print(729),18:09:11
Parte 5,18:09:11
Checkbox Selected: comillas '' ,18:09:13

Parte 1,18:13:08
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,18:13:08
Parte 3,18:13:11
Checkbox Selected: Verdadero,18:13:11
Parte 4,18:13:11
Incorrect Answer Selected: <Espacio para respuesta>(729),18:13:11
Correct Answer Selected: print(729),18:13:17
Parte 5,18:13:19
Checkbox Selected: comillas '' ,18:13:19

Parte 1,18:13:59
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,18:13:59
Parte 3,18:14:02
Checkbox Selected: Verdadero,18:14:02
Parte 4,18:14:08
Correct Answer Selected: print(729),18:14:08
Parte 5,18:14:12
Checkbox Selected: comillas '' ,18:14:12

Parte 1,20:40:10
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,20:40:10
Parte 3,20:40:14
Checkbox Selected: Verdadero,20:40:14
Parte 4,20:40:20
Correct Answer Selected: print(729),20:40:20
Parte 5,20:40:24
Checkbox Selected: comillas '' ,20:40:24

Parte 1,19:44:24
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,19:44:24
Parte 3,19:44:31
Checkbox Selected: Verdadero,19:44:31
Parte 4,19:44:34
Correct Answer Selected: print(729),19:44:34
Parte 5,19:44:41
Checkbox Selected: comillas '' ,19:44:41

