event,time
Parte 2,17:17:34
Blank Space Selected,17:17:34
Correct Answer Selected: +,17:17:36
Parte 3,17:18:24
Correct Answer Selected: print(42 * 3),17:18:24
Parte 4,17:18:27
Correct Answer Selected: 4.0,17:18:27
Parte 5,17:18:39
Correct Answer Selected: Entero:2,17:18:39
Correct Answer Selected: Flotante:3.14,17:18:39

Parte 2,20:40:39
Correct Answer Selected: +,20:40:39
Parte 3,20:40:50
Correct Answer Selected: print(42 * 3),20:40:50
Parte 4,20:40:51
Correct Answer Selected: 4.0,20:40:53
Parte 5,20:41:01
Correct Answer Selected: Entero:2,20:41:01
Correct Answer Selected: Flotante:3.14,20:41:01

