"Modulo modulo_1, Leccion 1",
Parte 1,23:57:52
Pedagogical Page Open Time,23:57:52
Pedagogical Page Close Time,23:57:58
Multiplechoice Page Open Time,23:57:58
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,23:58:01
Multiplechoice Page Close Time,23:58:03
Parte 2,23:58:03
Pedagogical Page Open Time,23:58:03
Pedagogical Page Close Time,23:58:05
Pedagogical2 Page Open Time,23:58:05
Pedagogical2 Page Close Time,23:58:06
Parte 3,23:58:06
Pedagogical Page Open Time,23:58:06
Pedagogical Page Close Time,23:58:06
Multiplechoice Page Open Time,23:58:06
Checkbox Selected: Verdadero,23:58:08
Multiplechoice Page Close Time,23:58:11
Parte 4,23:58:11
Draganddrop Page Open Time,23:58:11
Correct Answer Selected: print(729),23:58:13
Draganddrop Page Close Time,23:58:15
Pedagogical Page Open Time,23:58:15
Pedagogical Page Close Time,23:58:16
Parte 5,23:58:16
Multiplechoice Page Open Time,23:58:16
Checkbox Selected: comillas '' ,23:58:19
Multiplechoice Page Close Time,23:58:20
Pedagogical Page Open Time,23:58:21
Pedagogical Page Close Time,23:58:21
Parte 6,23:58:21
Pedagogical Page Open Time,23:58:21
Pedagogical Page Close Time,23:58:22

"Modulo 1, Leccion 2",
Correct Answer Selected: print(42 * 3),00:00:06
Draganddrop Page Close Time,00:00:08
Pedagogical Page Open Time,00:00:08
Pedagogical Page Close Time,00:00:10
Parte 4,00:00:10
Multiplechoice Page Open Time,00:00:10
Correct Answer Selected: 4.0,00:00:14
Multiplechoice Page Close Time,00:00:15
Pedagogical Page Open Time,00:00:15
Pedagogical Page Close Time,00:00:16
Parte 5,00:00:16
Draganddrop Page Open Time,00:00:16
Correct Answer Selected: Entero:2,00:00:22
Correct Answer Selected: Flotante:3.14,00:00:22
Draganddrop Page Close Time,00:00:24
Pedagogical Page Open Time,00:00:24
Pedagogical Page Close Time,00:00:25
Parte 6,00:00:25
Pedagogical Page Open Time,00:00:25
Pedagogical Page Close Time,00:00:26
Pedagogical2 Page Open Time,00:00:26
Pedagogical2 Page Close Time,00:00:27
Parte 7,00:00:27
Pedagogical Page Open Time,00:00:27
Pedagogical Page Close Time,00:00:29
Parte 1,23:59:36
Pedagogical Page Open Time,23:59:36
Pedagogical Page Close Time,23:59:40
Pedagogical2 Page Open Time,23:59:40
Pedagogical2 Page Close Time,23:59:41
Parte 2,23:59:41
Completeblankspace Page Open Time,23:59:41
Correct Answer Selected: +,23:59:50
Completeblankspace Page Close Time,23:59:52
Pedagogical Page Open Time,23:59:52
Pedagogical Page Close Time,23:59:53
Parte 3,23:59:53
Draganddrop Page Open Time,23:59:53
Incorrect Answer Selected: print(42 x 3),23:59:58

