"Módulo 1, Leccion 1",
Parte 1,15:18:43
Pedagogical Page Open Time,15:18:43
Pedagogical Page Close Time,15:18:44
Multiplechoice Page Open Time,15:18:44
Multiplechoice Page Close Time,15:18:46
Pedagogical Page Open Time,15:18:46
Pedagogical Page Close Time,15:18:47
Multiplechoice Page Open Time,15:18:47
Multiplechoice Page Close Time,15:18:48
Parte 2,15:18:48
Pedagogical Page Open Time,15:18:48
Pedagogical Page Close Time,15:18:48
Pedagogical2 Page Open Time,15:18:48
Parte 1,15:18:48
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,15:18:48
Pedagogical2 Page Close Time,15:18:49
Parte 3,15:18:49
Pedagogical Page Open Time,15:18:49
Pedagogical Page Close Time,15:18:49
Multiplechoice Page Open Time,15:18:49
Multiplechoice Page Close Time,15:18:51
Parte 4,15:18:51
Draganddrop Page Open Time,15:18:51
Parte 3,15:18:51
Checkbox Selected: Verdadero,15:18:51
Parte 4,15:18:51
Incorrect Answer Selected: <Espacio para respuesta>(729),15:18:51
Draganddrop Page Close Time,15:18:54
Pedagogical Page Open Time,15:18:54
Pedagogical Page Close Time,15:18:54
Parte 5,15:18:54
Multiplechoice Page Open Time,15:18:54
Correct Answer Selected: print(729),15:18:54
Multiplechoice Page Close Time,15:18:56
Pedagogical Page Open Time,15:18:56
Pedagogical Page Close Time,15:18:56
Parte 6,15:18:56
Pedagogical Page Open Time,15:18:56
Parte 5,15:18:56
Checkbox Selected: comillas '' ,15:18:56
Pedagogical Page Close Time,15:18:57

"Modulo 1, Leccion 2",
Parte 1,15:18:59
Pedagogical Page Open Time,15:18:59
Pedagogical Page Close Time,15:19:00
Pedagogical2 Page Open Time,15:19:00
Playground Page Open,15:19:02
Pedagogical2 Page Close Time,15:19:24
Parte 2,15:19:24
Completeblankspace Page Open Time,15:19:24
Completeblankspace Page Close Time,15:19:30
Pedagogical Page Open Time,15:19:30
Correct Answer Selected: +,15:19:30
Pedagogical Page Close Time,15:19:31
Parte 3,15:19:31
Draganddrop Page Open Time,15:19:31
Correct Answer Selected: print(42 * 3),15:19:36
Draganddrop Page Close Time,15:19:37
Pedagogical Page Open Time,15:19:37
Pedagogical Page Close Time,15:19:37
Parte 4,15:19:37
Multiplechoice Page Open Time,15:19:37
Multiplechoice Page Close Time,15:19:39
Pedagogical Page Open Time,15:19:39
Pedagogical Page Close Time,15:19:39
Parte 5,15:19:39
Draganddrop Page Open Time,15:19:39
Parte 4,15:19:39
Correct Answer Selected: 4.0,15:19:39
Draganddrop Page Close Time,15:19:43
Pedagogical Page Open Time,15:19:43
Pedagogical Page Close Time,15:19:43
Parte 6,15:19:43
Pedagogical Page Open Time,15:19:43
Parte 5,15:19:43
Correct Answer Selected: Entero:2,15:19:43
Correct Answer Selected: Flotante:3.14,15:19:43
Pedagogical Page Close Time,15:19:44
Pedagogical2 Page Open Time,15:19:44
Pedagogical2 Page Close Time,15:19:44
Parte 7,15:19:44
Pedagogical Page Open Time,15:19:44
Pedagogical Page Close Time,15:19:45

"Modulo 1, Leccion 3",
Parte 1,15:19:50
Pedagogical Page Open Time,15:19:50
Pedagogical Page Close Time,15:19:50
Pedagogical2 Page Open Time,15:19:50
Playground Page Open,15:19:51
Pedagogical2 Page Close Time,15:19:53
Parte 2,15:19:53
Multiplechoice Page Open Time,15:19:53
Checkbox Selected: 'Viernes',15:19:55
Checkbox Selected: 'The Lord of the Rings',15:19:55
Multiplechoice Page Close Time,15:19:56
Pedagogical Page Open Time,15:19:56
Pedagogical Page Close Time,15:19:56
Parte 3,15:19:56
Draganddrop Page Open Time,15:19:56
Incorrect Drop Event: Park,15:20:00
Incorrect Drop Event: +,15:20:00
Incorrect Drop Event: Water,15:20:00
Incorrect Drop Event: Park,15:20:00
Incorrect Drop Event: +,15:20:00
Incorrect Drop Event: Water,15:20:00
Draganddrop Page Close Time,15:20:06
Pedagogical Page Open Time,15:20:06
Pedagogical Page Close Time,15:20:06
Parte 4,15:20:06
Multiplechoice Page Open Time,15:20:06
Correct Drop Event: Water,15:20:06
Correct Drop Event: +,15:20:06
Correct Drop Event: Park,15:20:06
Multiplechoice Page Close Time,15:20:10
Draganddrop Page Open Time,15:20:10
Checkbox Selected: '100',15:20:10
Checkbox Selected: 'Manzana',15:20:10
Correct Answer Selected: 100,15:20:14
Correct Answer Selected: 100.00,15:20:14
Correct Answer Selected: 'cien',15:20:14
Draganddrop Page Close Time,15:20:15
