"Modulo 2, Leccion 3",
Parte 1,11:31:57
Pedagogical Page Open Time,11:31:57
Pedagogical Page Close Time,11:32:09
Completeblankspace Page Open Time,11:32:09
Incorrect Answer Selected: 2,11:32:14
Correct Answer Selected: 12,11:32:19
Completeblankspace Page Close Time,11:32:20
Parte 2,11:32:20
Pedagogical Page Open Time,11:32:20
Pedagogical Page Close Time,11:32:36
Completeblankspace Page Open Time,11:32:36
Correct Answer Selected: 4,11:32:41
Completeblankspace Page Close Time,11:32:42
Parte 3,11:32:42
Pedagogical Page Open Time,11:32:42
Pedagogical Page Close Time,11:32:52
Completeblankspace Page Open Time,11:32:52
Incorrect Answer Selected: 3,11:32:55
Incorrect Answer Selected: 3,11:32:58
Incorrect Answer Selected: 3,11:32:58
Incorrect Answer Selected: 3,11:32:58
Incorrect Answer Selected: 3,11:32:58
Correct Answer Selected: aaa,11:33:00
Completeblankspace Page Close Time,11:33:01
Parte 4,11:33:01
Pedagogical Page Open Time,11:33:01
Pedagogical Page Close Time,11:33:04

"Modulo 2, Leccion 3",
Parte 1,11:33:47
Pedagogical Page Open Time,11:33:47
Pedagogical Page Close Time,11:33:53
Completeblankspace Page Open Time,11:33:53
Incorrect Answer Selected: 2,11:33:55
Incorrect Answer Selected: 2,11:33:56
Incorrect Answer Selected: 2,11:33:56
Incorrect Answer Selected: 2,11:33:56
Correct Answer Selected: 12,11:34:00
Completeblankspace Page Close Time,11:34:01
Parte 2,11:34:01
Pedagogical Page Open Time,11:34:01
Pedagogical Page Close Time,11:34:12
Completeblankspace Page Open Time,11:34:12
Correct Answer Selected: 4,11:34:15
Completeblankspace Page Close Time,11:34:16
Parte 3,11:34:16
Pedagogical Page Open Time,11:34:16
Pedagogical Page Close Time,11:34:21
Completeblankspace Page Open Time,11:34:21
Incorrect Answer Selected: a3,11:34:24
Incorrect Answer Selected: 3,11:34:26
Incorrect Answer Selected: 0,11:34:29
Completeblankspace Page Close Time,11:34:32
Correct Answer Selected: aaa,11:34:32
Parte 4,11:34:33
Pedagogical Page Open Time,11:34:33
Pedagogical Page Close Time,11:34:35

"Modulo 2, Leccion 3",
Parte 1,11:35:58
Pedagogical Page Open Time,11:35:58
Pedagogical Page Close Time,11:36:02
Completeblankspace Page Open Time,11:36:02
Blank Space Selected,11:36:02
Completeblankspace Page Close Time,11:36:05
Parte 2,11:36:05
Pedagogical Page Open Time,11:36:05
Pedagogical Page Close Time,11:36:05
Completeblankspace Page Open Time,11:36:05
Correct Answer Selected: 12,11:36:05
Completeblankspace Page Close Time,11:36:08
Parte 3,11:36:08
Pedagogical Page Open Time,11:36:08
Pedagogical Page Close Time,11:36:08
Completeblankspace Page Open Time,11:36:08
Correct Answer Selected: 4,11:36:08
Completeblankspace Page Close Time,11:36:10
Parte 4,11:36:10
Pedagogical Page Open Time,11:36:10
Pedagogical Page Close Time,11:36:10
Correct Answer Selected: aaa,11:36:10

