event,time
Json 1 Pedagogical Page Open Time,17:31:59
Json 1 Pedagogical Page Close Time,17:32:23
Json 1 Pedagogical2 Page Open Time,17:32:23
Json 1 Pedagogical2 Page Close Time,17:32:25
Json 2 Completeblankspace Page Open Time,17:32:25
Json 2 Completeblankspace Page Close Time,17:32:31
Json 2 Pedagogical Page Open Time,17:32:31
Json 2 Pedagogical Page Close Time,17:32:32
Json 3 Draganddrop Page Open Time,17:32:32
Json 3 Draganddrop Page Close Time,17:32:35
Json 3 Pedagogical Page Open Time,17:32:35
Json 3 Pedagogical Page Close Time,17:32:35
Json 4 Multiplechoice Page Open Time,17:32:35
Json 4 Multiplechoice Page Close Time,17:32:38
Json 4 Pedagogical Page Open Time,17:32:38
Json 4 Pedagogical Page Close Time,17:32:38
Json 5 Draganddrop Page Open Time,17:32:38
Json 5 Draganddrop Page Close Time,17:32:42
Json 5 Pedagogical Page Open Time,17:32:42
Json 5 Pedagogical Page Close Time,17:32:42
Json 6 Pedagogical Page Open Time,17:32:42
Json 6 Pedagogical Page Close Time,17:32:43
Json 6 Pedagogical2 Page Open Time,17:32:43
Json 6 Pedagogical2 Page Close Time,17:32:43

Json 1 Pedagogical Page Open Time,17:37:49
Json 1 Pedagogical Page Close Time,17:37:50
Json 1 Pedagogical2 Page Open Time,17:37:50
Json 1 Pedagogical2 Page Close Time,17:37:51
Json 2 Completeblankspace Page Open Time,17:37:51
Json 2 Completeblankspace Page Close Time,17:37:53
Json 2 Pedagogical Page Open Time,17:37:53
Json 2 Pedagogical Page Close Time,17:37:53
Json 3 Draganddrop Page Open Time,17:37:53
Json 3 Draganddrop Page Close Time,17:37:55
Json 3 Pedagogical Page Open Time,17:37:55
Json 3 Pedagogical Page Close Time,17:37:55
Json 4 Multiplechoice Page Open Time,17:37:55
Json 4 Multiplechoice Page Close Time,17:37:57
Json 4 Pedagogical Page Open Time,17:37:57
Json 4 Pedagogical Page Close Time,17:37:57
Json 5 Draganddrop Page Open Time,17:37:57
Json 5 Draganddrop Page Close Time,17:38:00
Json 5 Pedagogical Page Open Time,17:38:00
Json 5 Pedagogical Page Close Time,17:38:00
Json 6 Pedagogical Page Open Time,17:38:00
Json 6 Pedagogical Page Close Time,17:38:00
Json 6 Pedagogical2 Page Open Time,17:38:00
Json 6 Pedagogical2 Page Close Time,17:38:00

Json 1 Pedagogical Page Open Time,21:34:01
Json 1 Pedagogical Page Close Time,21:39:33
Json 1 Pedagogical2 Page Open Time,21:39:33
Json 1 Pedagogical2 Page Close Time,21:39:35
Json 2 Completeblankspace Page Open Time,21:39:35
Json 2 Completeblankspace Page Close Time,21:39:40
Json 2 Pedagogical Page Open Time,21:39:40
Json 2 Pedagogical Page Close Time,21:39:41
Json 3 Draganddrop Page Open Time,21:39:41
Json 3 Draganddrop Page Close Time,21:39:48
Json 3 Pedagogical Page Open Time,21:39:48
Json 3 Pedagogical Page Close Time,21:39:49
Json 4 Multiplechoice Page Open Time,21:39:49
Json 4 Multiplechoice Page Close Time,21:39:58
Json 4 Pedagogical Page Open Time,21:39:58
Json 4 Pedagogical Page Close Time,21:39:59
Json 5 Draganddrop Page Open Time,21:39:59
Json 5 Draganddrop Page Close Time,21:40:03
Json 5 Pedagogical Page Open Time,21:40:03
Json 5 Pedagogical Page Close Time,21:40:04
Json 6 Pedagogical Page Open Time,21:40:04
Json 6 Pedagogical Page Close Time,21:40:05
Json 6 Pedagogical2 Page Open Time,21:40:05
Json 6 Pedagogical2 Page Close Time,21:40:05

Json 1 Pedagogical Page Open Time,22:05:04
Json 1 Pedagogical Page Close Time,22:05:10
Json 1 Pedagogical2 Page Open Time,22:05:10
Json 1 Pedagogical2 Page Close Time,22:05:10
Json 2 Completeblankspace Page Open Time,22:05:10
Json 2 Completeblankspace Page Close Time,22:05:12
Json 2 Pedagogical Page Open Time,22:05:12
Json 2 Pedagogical Page Close Time,22:05:13
Json 3 Draganddrop Page Open Time,22:05:13
Json 3 Draganddrop Page Close Time,22:05:15
Json 3 Pedagogical Page Open Time,22:05:15
Json 3 Pedagogical Page Close Time,22:05:16
Json 4 Multiplechoice Page Open Time,22:05:16
Json 4 Multiplechoice Page Close Time,22:05:17
Json 4 Pedagogical Page Open Time,22:05:17
Json 4 Pedagogical Page Close Time,22:05:17
Json 5 Draganddrop Page Open Time,22:05:17
Json 5 Draganddrop Page Close Time,22:05:20
Json 5 Pedagogical Page Open Time,22:05:20
Json 5 Pedagogical Page Close Time,22:05:20
Json 6 Pedagogical Page Open Time,22:05:20
Json 6 Pedagogical Page Close Time,22:05:21
Json 6 Pedagogical2 Page Open Time,22:05:21
Json 6 Pedagogical2 Page Close Time,22:05:21
Json 7 Practica Page Open Time,22:05:21
Json 7 Practica Page Close Time,22:05:28

