NER_Text,Count,NER_Label
Python,183,MISC
Nice,86,ORG
PythonX,14,MISC
Learn Python,9,MISC
Pro,7,MISC
Google,7,ORG
English,7,MISC
YouTube,6,MISC
Osm,5,ORG
Noice,5,ORG
Python X,4,MISC
iPad,3,MISC
python X,3,MISC
Nyc,3,LOC
Java,3,MISC
Programming Hub,3,MISC
Amaizing,3,ORG
PYTHON,3,MISC
God,2,PER
PYTHON X,2,MISC
Africa,2,LOC
Nigeria,2,LOC
Gud,2,PER
CBSE,2,ORG
C,2,MISC
Python Language,2,MISC
Blockchain,2,MISC
LinkedIn,2,ORG
Udemy,2,ORG
Duolingo,2,MISC
NICE,2,ORG
LEARNING PYTHON,2,MISC
Pydroid 3,1,MISC
PyCharm,1,MISC
Python 3,1,MISC
Python-THE,1,MISC
"Python,interface",1,MISC
Python Learning,1,MISC
Python X App,1,MISC
Python x,1,MISC
"ABQ,NM",1,LOC
Parthenon,1,MISC
Poggers,1,PER
Osam,1,PER
Niceeee,1,ORG
Nigerian,1,MISC
Nise,1,ORG
Nitin,1,PER
Nodejs,1,MISC
Normal English,1,MISC
Operation on Number,1,MISC
PCEP,1,MISC
Playstore,1,ORG
PRO,1,MISC
PSA,1,ORG
PYTHON Made Simple,1,MISC
Payton,1,MISC
Phython,1,MISC
Phyton,1,MISC
Play Store,1,MISC
Python-X,1,MISC
PythonX Compiler,1,MISC
Python3,1,MISC
duolingo.,1,ORG
Vool,1,ORG
W3,1,MISC
Wao,1,PER
Wikipedia,1,MISC
Windows PC,1,MISC
XCON GENO ON YT,1,MISC
Xyz,1,ORG
Yours Truly,1,PER
arabic,1,MISC
galaxy note,1,MISC
PythonCodeStructuredDataSystemsConfigurations,1,MISC
google,1,ORG
inglés,1,MISC
ios,1,MISC
iphone.my,1,MISC
on,1,MISC
python 3,1,MISC
pythonX,1,MISC
pythonx,1,PER
t.stonexxx,1,ORG
Vest Application,1,MISC
Verizon,1,ORG
VB6,1,MISC
"Urdu,philliphines,japanese,and",1,MISC
PythonLanguageProgrammingCodeBasics,1,MISC
PythonUnderstanding,1,MISC
Pythons,1,MISC
Relly,1,PER
Roblox,1,MISC
Rs,1,MISC
Rudra,1,PER
SNAKE PYTHON,1,LOC
Samsung Galaxy Note 20 Ultra,1,MISC
Serbian Latin,1,MISC
Serpent,1,PER
Spanish,1,MISC
Stojanovi,1,PER
Sunkist,1,ORG
Tab S7,1,MISC
The shiznit,1,ORG
UK,1,LOC
US,1,MISC
Udacity,1,ORG
Nicee,1,ORG
Mr. X PYTHON,1,PER
Nic,1,ORG
Dot,1,ORG
CMD,1,MISC
CODINGX,1,ORG
Cola,1,ORG
ComSci,1,ORG
Comcasts,1,ORG
Comments,1,MISC
DSA,1,MISC
Davest,1,ORG
Dev,1,PER
Duo Lingo,1,MISC
Galaxy,1,MISC
EU,1,ORG
East,1,LOC
EasyJet,1,ORG
Em,1,PER
Esay,1,PER
Ethical Hacking,1,MISC
FTC,1,ORG
For Loop,1,MISC
Forec,1,ORG
Brecht,1,LOC
Bravo Learning App,1,MISC
Bitcoin,1,MISC
Bible,1,MISC
Aidsless,1,MISC
Alex,1,PER
Amazimg,1,ORG
Amezing,1,MISC
Amizing,1,ORG
Android,1,MISC
Aquaman,1,PER
Aursom,1,PER
Ausumn,1,ORG
Awsm,1,ORG
BEARY,1,PER
BIGGINAR,1,PER
BILLY,1,PER
Baddd,1,ORG
Bangladesh,1,LOC
Barcardi,1,ORG
Beezkneez,1,PER
Benjamin Pienknagura,1,PER
Bes,1,ORG
GIT,1,MISC
Galaxy s21,1,MISC
New York City,1,LOC
Management Information Systems,1,MISC
Learn Python Programming,1,MISC
Learn Python.,1,MISC
LearningPython,1,MISC
LinedIn,1,ORG
Linux,1,MISC
Logical Operators,1,MISC
MCQ,1,MISC
MCQ'S,1,MISC
Majedaar,1,ORG
Maza,1,ORG
Google Development Launchpad,1,ORG
Microsoft,1,ORG
Mimo,1,PER
Monty python,1,MISC
Mosh,1,PER
ADHD,1,MISC
Muhideen Seidu,1,ORG
MySQL,1,MISC
Neice,1,MISC
Nepal,1,LOC
Key-Values Pairs,1,MISC
Jst Osm,1,PER
Javascript,1,MISC
JavaScript,1,MISC
Google Play,1,MISC
Goos,1,MISC
Gplay,1,ORG
Grammarly,1,MISC
Guido Van Rossum,1,PER
Guido van Rossum,1,PER
HAR HAR MAHADEV,1,PER
HSG,1,ORG
HTML,1,MISC
HackerX,1,MISC
Hello World,1,MISC
Hello World Dude,1,MISC
Hindi,1,MISC
I.T.,1,ORG
Indian,1,MISC
It,1,MISC
JAVA,1,MISC
JS,1,MISC
Jason Notaro,1,PER
wozenterprise,1,ORG
