NER_Text,Count,NER_Label
Nice,662,ORG
Programming Hub,190,ORG
Java,175,MISC
Python,143,MISC
English,124,MISC
C,110,MISC
Google,96,ORG
Android,95,MISC
JavaScript,55,MISC
HTML,55,MISC
Gud,48,PER
God,46,PER
Osm,44,ORG
C ++,39,MISC
Pro,32,MISC
Nyc,30,LOC
SoloLearn,28,MISC
YouTube,26,MISC
PHP,26,MISC
CSS,24,MISC
Hub,24,MISC
Lua,21,MISC
Facebook,19,ORG
Google play,17,ORG
India,17,LOC
google,16,ORG
Sololearn,16,MISC
Linux,16,MISC
Mimo,15,MISC
Hindi,15,MISC
R,15,MISC
Ca,14,LOC
JAVA,14,MISC
Play Store,13,ORG
SQL,13,MISC
C #,12,MISC
nyc,11,LOC
Ruby,11,MISC
PH,11,MISC
Kotlin,11,MISC
english,11,MISC
Google Play,11,ORG
Html,11,MISC
Duolingo,10,ORG
JS,10,MISC
Windows,10,MISC
LUA,9,MISC
sololearn,9,MISC
Programming hub,9,ORG
Perl,9,MISC
Tnx,9,LOC
Rs,9,MISC
Indian,9,ORG
Noice,9,ORG
Programing Hub,9,ORG
Dart,9,MISC
Javascript,9,MISC
india,8,LOC
Python 3,8,MISC
Awsm,8,ORG
Pascal,8,MISC
Arduino,8,MISC
LinkedIn,8,ORG
PROGRAMMING HUB,7,MISC
Go,7,MISC
Gmail,7,ORG
Indonesian,7,MISC
Unity,7,MISC
Goog,7,PER
PayPal,7,ORG
Programming Hero,6,MISC
Playstore,6,MISC
Swift,6,MISC
Blockchain,6,MISC
iOS,6,MISC
Rust,6,MISC
Haskell,6,PER
Bangla,6,MISC
NICE,6,ORG
Django,6,MISC
black Friday,6,MISC
Iran,6,LOC
Arabic,5,MISC
GOOGLE,5,ORG
Gooood,5,ORG
NYC,5,LOC
Indonesia,5,LOC
USD,5,MISC
Hello World,5,MISC
Dev,5,PER
Instagram,5,ORG
Bangladesh,5,LOC
Grasshopper,5,MISC
IOS,5,MISC
MySQL,5,MISC
PRO,5,MISC
.,5,MISC
Nic,5,ORG
MATLAB,4,MISC
Phub,4,ORG
Internet,4,MISC
Owsome,4,ORG
Coursera,4,MISC
PYTHON,4,MISC
P.Hub,4,ORG
PowerPoint,4,MISC
hub,4,MISC
indian,4,MISC
Ibrahim,4,PER
ICSE,4,ORG
Ui,4,ORG
Programming Hub Team,4,ORG
Nigeria,4,LOC
Nepal,4,LOC
Udemy,4,ORG
V.good,4,PER
Unreal,4,MISC
Nicee,4,ORG
AI,4,MISC
Sofar,4,LOC
Samsung,4,ORG
Delphi,4,MISC
Julia,3,MISC
Ios,3,MISC
Drupal,3,MISC
ProgrammingHub,3,MISC
Naira,3,LOC
Kota Kinabalu,3,LOC
Hello world,3,MISC
ND,3,ORG
Unreal Engine,3,MISC
INR,3,MISC
Kaviya,3,PER
BSIT,3,ORG
CSS3,3,MISC
Bengali,3,MISC
Ethical Hacking,3,MISC
Phyton,3,MISC
TTS,3,MISC
Nicr,3,ORG
Esay,3,PER
ABC,3,MISC
CCNA,3,MISC
ML,3,MISC
Uzbek,3,MISC
Persian,3,MISC
واو,3,ORG
Nexino Labs,3,ORG
CSE,3,ORG
Pantai Jerudong Specialist Centre,3,LOC
System.out.print,3,MISC
iPhone,3,MISC
Scala,3,MISC
OpenCV,3,MISC
AngularJS,3,MISC
Css,3,MISC
Ossum,3,ORG
Cyber Security,3,MISC
Wikipedia,3,MISC
PC,3,MISC
Amzing,3,LOC
Dcoder,3,MISC
Microsoft,3,ORG
Awesom,3,PER
java,3,LOC
VB 6.0,3,MISC
PowerShell,3,MISC
programming hub,3,MISC
ios,3,MISC
indonesian,3,MISC
Codecademy,3,MISC
Flutter,3,MISC
Turki,2,LOC
COBOL,2,PER
Python3,2,MISC
Twitter,2,ORG
React,2,MISC
QBASIC,2,MISC
Visual Basic,2,MISC
Wery,2,LOC
Program Hub,2,ORG
Programming Hub App,2,MISC
Linq,2,ORG
Lisp,2,MISC
Elixir,2,MISC
Jai hind,2,PER
US,2,LOC
Visa,2,ORG
James McFerrin,2,PER
Türkçe,2,MISC
Erlang,2,MISC
Java 8,2,MISC
Pluralsight,2,ORG
Lifetime Pro,2,MISC
John,2,PER
CS,2,MISC
Christmas,2,MISC
Unreal Engine 4,2,MISC
Chromebook,2,MISC
DevOps,2,MISC
French,2,MISC
"Java,C",2,MISC
VB,2,MISC
RM104,2,MISC
Team Programming Hub,2,ORG
WoW,2,MISC
GML,2,MISC
Covid-19,2,MISC
VBA,2,MISC
Lifetime,2,MISC
Windows 7,2,MISC
Udacity,2,ORG
VG,2,ORG
Ethiopia,2,LOC
Devs,2,PER
Python2,2,MISC
Datacamp,2,ORG
East,2,LOC
Joomla,2,MISC
C.,2,MISC
Iloveit,2,PER
Angular,2,MISC
