NER_Text,Count,NER_Label
Mimo,1656,PER
Nice,771,ORG
Python,412,MISC
HTML,387,MISC
Duolingo,383,MISC
mimo,174,MISC
JavaScript,153,MISC
Java,139,MISC
MIMO,119,MISC
CSS,112,MISC
duolingo,95,MISC
YouTube,90,ORG
Google,82,ORG
Android,76,MISC
English,64,MISC
SQL,61,MISC
C,55,MISC
Javascript,50,MISC
God,47,PER
SoloLearn,45,MISC
JS,41,MISC
Gud,40,PER
Sololearn,37,MISC
Mimi,36,MISC
Lua,36,MISC
Noice,35,ORG
Osm,32,MISC
Arabic,31,MISC
Html,31,MISC
C ++,24,MISC
Grasshopper,23,MISC
DuoLingo,22,MISC
Nyc,21,LOC
Udemy,20,ORG
India,19,LOC
Kotlin,18,MISC
Facebook,18,ORG
Ca,18,ORG
Spanish,16,MISC
Play Store,15,MISC
Google Play,15,ORG
nyc,14,LOC
english,13,MISC
iOS,12,MISC
PHP,12,MISC
Mimo Pro,12,MISC
Awsm,12,ORG
Mino,12,MISC
Web,12,MISC
C #,11,MISC
Mimohello GmbH,11,ORG
Pro,11,MISC
sololearn,11,MISC
Nicee,10,ORG
google,10,ORG
React,10,MISC
Internet,10,MISC
HTML5,9,MISC
PYTHON,9,MISC
Programming Hero,9,MISC
Russian,9,MISC
m1m0,8,MISC
MCQ,8,MISC
Bangladesh,8,LOC
MiMo,8,PER
NICE,8,ORG
Apple,8,MISC
Instagram,8,MISC
Indonesian,8,MISC
Doulingo,8,PER
LUA,7,MISC
Scratch,7,MISC
IOS,7,MISC
M1M0,7,MISC
Iran,7,LOC
Swift,7,MISC
Pog,7,PER
arabic,7,MISC
ABC,6,MISC
Codecademy,6,MISC
ADHD,6,MISC
Khan Academy,6,ORG
Mimo Team,6,ORG
Youtube,6,MISC
PayPal,6,ORG
GOD,6,PER
Roblox,6,MISC
Gmail,5,ORG
Lucky Patcher,5,MISC
M1mo,5,ORG
Js,5,MISC
Learn to Code,5,MISC
FreeCodeCamp,5,MISC
Java Script,5,MISC
Portuguese,5,MISC
Chinese,5,MISC
German,5,MISC
USD,5,MISC
Ruby,5,MISC
Windows,5,MISC
Bootstrap,5,MISC
google play,5,ORG
Css,5,MISC
Goof,5,PER
Nigeria,5,LOC
Hello world,5,MISC
Mimo.,5,PER
Momo,5,MISC
Amezing,5,ORG
Netflix,5,MISC
EA,4,ORG
indonesian,4,MISC
Gooood,4,ORG
Persian,4,MISC
HTML CSS,4,MISC
Pakistan,4,LOC
Hindi,4,MISC
Android 11,4,MISC
JAVA,4,MISC
french,4,MISC
Code Academy,4,ORG
Programming Hub,4,MISC
Enki,4,MISC
CAD,4,MISC
Phyton,4,MISC
DUOLINGO,4,MISC
Mimohello Gmbh,4,ORG
Italian,4,MISC
Playstore,4,MISC
Coursera,4,ORG
spanish,4,MISC
Tysm,4,PER
Solo Learn,4,MISC
Osam,4,PER
udemy,4,ORG
NOICE,4,MISC
Duo,4,ORG
Mimo App,4,MISC
Hearts,4,MISC
momo,4,PER
mino,4,MISC
Romania,4,LOC
Team Mimo,4,ORG
FB,4,MISC
BlueStacks,3,MISC
Duo Lingo,3,MISC
Bluestacks,3,MISC
Google Chrome,3,MISC
Udacity,3,ORG
JavaScripts,3,MISC
Mimo Premium,3,MISC
العربية,3,MISC
Ossum,3,MISC
Nic,3,ORG
Delphi,3,MISC
freecodecamp,3,MISC
Dart,3,PER
Tnx,3,LOC
Sri Lanka,3,LOC
America,3,LOC
india,3,LOC
ca,3,LOC
Lynda,3,MISC
Allah,3,LOC
London,3,LOC
w3schools,3,MISC
HTMl,3,MISC
Turkish,3,MISC
Ausome,3,PER
USA,3,LOC
Godd,3,PER
Ez,3,ORG
US,3,LOC
Awasome,3,ORG
Nive,3,ORG
CS,3,MISC
Mario,3,PER
M1m0,3,MISC
Rust,3,MISC
inglés,3,MISC
PBJ,3,ORG
Khan academy,3,ORG
Google play,3,MISC
mimo pro,3,MISC
Mass,3,LOC
Hello World,3,MISC
Wikipedia,3,MISC
m1mo,3,ORG
ingles,3,MISC
.,3,MISC
Epic,3,MISC
NYC,3,LOC
French,3,MISC
Osum,3,MISC
VS,3,MISC
Fair,2,ORG
Mozilla Firefox,2,MISC
Lerner,2,PER
DEVS,2,ORG
Jesus,2,PER
White Hat Jr,2,MISC
عربية,2,MISC
Einstein,2,PER
Czech,2,MISC
Lingodeer,2,MISC
LinkedIn,2,ORG
Linux,2,MISC
UK,2,LOC
Poli,2,ORG
Khan,2,PER
Werry,2,ORG
Visual Studio Code,2,MISC
Kewl,2,ORG
Vienna,2,LOC
PowerShell,2,MISC
Coooool,2,ORG
Nise,2,ORG
Cool,2,PER
Elon Musk,2,PER
Freecodecamp,2,MISC
Kenya,2,LOC
Rs,2,MISC
Covid,2,MISC
W3School,2,MISC
Faltu,2,ORG
My,2,PER
Lear,2,MISC
Pydroid 3,2,MISC
Jason,2,PER
Python 3,2,MISC
Lang,2,MISC
Python Basics,2,MISC
GOOGLE,2,ORG
Dualingo,2,MISC
Vey,2,PER
GCSE,2,ORG
Finnish,2,MISC
MySpace,2,ORG
M1MO,2,MISC
انجليزي,2,MISC
Heart,2,ORG
Python.,2,MISC
Dev,2,PER
Py,2,MISC
EPIC,2,ORG
Uwu,2,ORG
Programming Hero App,2,MISC
GML,2,MISC
Rosetta Stone,2,MISC
RM,2,MISC
Nicr,2,ORG
Programming hero,2,MISC
Mst,2,LOC
Ux,2,MISC
Exelant,2,ORG
Joxx,2,MISC
DataCamp,2,ORG
Ui,2,MISC
Ace,2,MISC
🇮🇳,2,LOC
Learn Coding / Programming : Mimo,2,MISC
английском,2,MISC
Arunava,2,PER
Al,2,MISC
iPad,2,MISC
inglês,2,MISC
indonesia,2,LOC
indian,2,MISC
"Mimo,I",2,PER
Bill Gates,2,PER
Google Play Store,2,ORG
Marathi,2,MISC
Solo,2,MISC
HTML Basics,2,MISC
Mantap,2,PER
iranian,2,MISC
Odin Project,2,ORG
grasshopper,2,MISC
Indian,2,MISC
Brazilian,2,MISC
russian,2,MISC
Malaysia,2,LOC
Bro,2,PER
Indonesia,2,LOC
german,2,MISC
Imma,2,PER
Bengali,2,MISC
Amzing,2,ORG
Ossam,2,ORG
Asian,2,MISC
Mimo Coding App,2,MISC
nimo,2,MISC
Mimo : Learn to code,2,MISC
Mimo +,2,MISC
Gucci,2,ORG
Awosem,2,ORG
Aws,2,ORG
polish,2,MISC
INDIA,2,LOC
Google pay,2,ORG
INR,2,MISC
I.T,2,ORG
Microsoft,2,ORG
AngularJS,2,MISC
microsoft,2,ORG
Grest,2,ORG
Greek,2,MISC
HDML,2,MISC
I,2,MISC
Maja,2,PER
Android App,2,MISC
Faboulous,2,ORG
"HTML,CSS",2,MISC
easyJet,2,ORG
MImo,2,MISC
coursera,2,ORG
CSS3,2,MISC
Amazon,2,ORG
Swype,2,MISC
Play,2,MISC
Chrome,2,MISC
MIT,2,ORG
Amazin,2,LOC
Mimosa,2,ORG
SwiftKey,2,MISC
china,2,LOC
Nuce,2,MISC
MIMO.,2,ORG
topprcodr,2,MISC
Mimohello,2,PER
fortnite,2,MISC
Phython,2,MISC
Pewdiepie,2,ORG
Perl,2,MISC
Code,2,MISC
facebook,2,ORG
Rs.1000,1,MISC
SIMON COWELL,1,PER
Score Hero,1,MISC
SCOTT CAWTHOWN,1,PER
Sayonara,1,ORG
Sdh,1,ORG
Southasian,1,MISC
Rs.it,1,MISC
Santa Claus,1,PER
Sira,1,MISC
Sealy,1,MISC
SololLearn,1,MISC
SL,1,MISC
Seski,1,ORG
Scratch Cat,1,MISC
Sofar,1,MISC
SICK,1,ORG
Shappire,1,PER
Romanian,1,MISC
Snapdragon,1,ORG
Roman,1,PER
Siperb,1,ORG
SHERRYTHEMASTER,1,ORG
Script,1,MISC
Robloxians,1,MISC
Rockies,1,MISC
SOLOLEARN,1,ORG
Shandaar,1,PER
"Rolla,Mo.",1,LOC
Roger Rickyisms,1,PER
SPANISH,1,MISC
Sonu kumar,1,PER
Samsung Tab S7,1,MISC
SC,1,ORG
SQL Basics,1,MISC
SQL Savante,1,MISC
SQUIL,1,MISC
SSDI,1,MISC
SSuper,1,ORG
South Africa,1,LOC
Ryan.B,1,PER
Ryan.S,1,PER
S. K. Nayak,1,PER
Saale,1,PER
S23 Ultra,1,MISC
S7,1,MISC
SAMSUNG J7 EDGE,1,MISC
Skippy,1,MISC
Sololearn and Programming Hub,1,ORG
Roblox Studio,1,MISC
Smartly,1,MISC
South African,1,MISC
Russians,1,MISC
"Russian,Indonesian,Arabic,German,etc",1,MISC
Samsung Dex,1,MISC
Samsung S23 Ultra,1,MISC
Samsung J7Max G615,1,MISC
Samsung J2,1,MISC
Sirve,1,ORG
Samsung Galaxy A21,1,MISC
Small Basic,1,MISC
Rs800,1,MISC
South Park,1,ORG
Russ,1,MISC
Sam PS,1,PER
Salağa,1,PER
SAP,1,ORG
Sagar Khanwhat,1,PER
Sololearm,1,ORG
Sabse,1,ORG
Rupesh,1,MISC
Skillcrush,1,MISC
#,1,MISC
Roblox Lua,1,MISC
Ossm,1,MISC
Owesame,1,MISC
Ourantine,1,LOC
Oswm,1,MISC
Ossum App,1,ORG
Ossssom,1,ORG
Osssom,1,PER
Ossom,1,MISC
Ossmmm,1,ORG
Osn,1,ORG
Roblox Game,1,ORG
Osmm,1,ORG
Osm Nice,1,PER
Oshom,1,ORG
Osem,1,ORG
Oscar,1,MISC
Osama,1,PER
OsM,1,MISC
Opopopp,1,PER
Owesome,1,ORG
Owls,1,MISC
Owsam,1,ORG
Ozm,1,ORG
Paython,1,MISC
Paying Pal,1,MISC
Pascal,1,MISC
