reviewId,NER_Text,Start_Pos,Eng_Pos,NER_Label,Prob,End_Pos
1,English,72,,MISC,0.9999954700469971,79.0
1,European,164,,MISC,0.9999960660934448,172.0
2,Python,63,,MISC,0.9999854564666748,69.0
2,PythonX,96,,MISC,0.9998528957366943,103.0
2,Python,217,,MISC,0.9999840259552002,223.0
6,Python,41,,MISC,0.9999693632125854,47.0
6,Mimo,91,,MISC,0.999701201915741,95.0
6,Python,156,,MISC,0.9999786615371704,162.0
6,Mimo,176,,MISC,0.9997133612632751,180.0
6,Mimo,192,,MISC,0.9997482895851135,196.0
9,Python,81,,MISC,0.9999887943267822,87.0
12,Apple iPhone 11,29,,MISC,0.9989974697430929,44.0
15,U Demy,32,,ORG,0.9999651312828064,38.0
15,Python X,225,,MISC,0.9999644160270691,233.0
15,Python X,391,,MISC,0.9999678134918213,399.0
15,Python X,500,,MISC,0.9999723434448242,508.0
16,Python,100,,MISC,0.9999864101409912,106.0
17,PythonX,82,,MISC,0.9996548891067505,89.0
17,PyX,309,,MISC,0.9999154806137085,312.0
17,PyX,544,,MISC,0.9999394416809082,547.0
17,Python,662,,MISC,0.9999799728393555,668.0
17,Python,714,,MISC,0.9999817609786987,720.0
17,PythonX,1613,,MISC,0.9998319149017334,1620.0
17,Josh Johnson,2227,,PER,0.9999967217445374,2239.0
18,Python,68,,MISC,0.9999752044677734,74.0
18,X,94,,MISC,0.9989114999771118,95.0
18,Haskell,149,,MISC,0.9981259703636169,156.0
18,Julia,158,,MISC,0.9916425943374634,163.0
18,Ruby,165,,MISC,0.9990654587745667,169.0
18,Java,171,,MISC,0.9985567927360535,175.0
18,JavaScript,177,,MISC,0.9823933839797974,187.0
18,Kotlin,189,,MISC,0.9998394250869751,195.0
18,Go,197,,MISC,0.9996707439422607,199.0
18,Rust,201,,MISC,0.9995792508125305,205.0
18,Dart / Flutter,207,,MISC,0.996430516242981,219.0
18,Python 3,235,,MISC,0.9998732805252075,243.0
