reviewId,NER_Text,Start_Pos,End_Pos,NER_Label,Prob
57,datacamp,56,64,ORG,0.9165818095207214
81,datacamp,8,16,ORG,0.8303893208503723
129,phyton,35,41,MISC,0.7194939851760864
147,udemy,137,142,ORG,0.844610333442688
147,github studio,229,242,MISC,0.7508087456226349
190,spark sql,391,400,MISC,0.9996263682842255
190,sql server,441,451,MISC,0.9894676804542542
243,datacamp,21,29,MISC,0.6603330373764038
280,datacamp,0,8,MISC,0.5726469159126282
317,datacamp,0,8,MISC,0.862367570400238
471,python data science toolkit,83,110,MISC,0.9999175369739532
512,datacamp,30,38,MISC,0.7957165241241455
543,datacamp,0,8,MISC,0.7956818342208862
598,rollingonthefloorlaughing,137,162,MISC,0.48792415857315063
637,datacamp,64,72,ORG,0.9968279004096985
654,diez,3,7,PER,0.7439064979553223
707,python r,83,91,MISC,0.9840724468231201
731,datacamp,16,24,ORG,0.9527144432067871
