reviewId,NER_Text,Start_Pos,End_Pos,NER_Label,Prob
11,machine learning,141,157,MISC,0.8869648575782776
32,duolingo,48,56,ORG,0.9742338061332703
72,javascript,288,298,MISC,0.6531669497489929
82,grinningfacewithbigeyes,11,34,MISC,0.9982628226280212
113,sololearn,56,65,ORG,0.9162061810493469
114,sololearn,80,89,ORG,0.9872578978538513
114,sololearn,252,261,ORG,0.9582462906837463
119,chartincreasing,39,54,MISC,0.9415534734725952
126,duolingo,175,183,MISC,0.49082690477371216
139,sololearn,60,69,MISC,0.9696490168571472
162,phyton,36,42,MISC,0.8078721761703491
180,te amo,0,6,MISC,0.9192724823951721
189,python core,28,39,MISC,0.9995097517967224
189,pyhton core,336,347,MISC,0.9996580183506012
209,duolingo,273,281,ORG,0.9961972236633301
218,sololearn,71,80,ORG,0.8892263770103455
218,unity 3d gamer maker,161,181,MISC,0.9919580370187759
244,sololearn,130,139,MISC,0.8150919675827026
275,smilingfacewithsmilingeyes,50,76,MISC,0.692116379737854
298,manfacepalmingmediumskintone,148,176,MISC,0.6072704195976257
355,mechanicalarm,20,33,MISC,0.7803027629852295
397,code playground,63,78,MISC,0.8917115926742554
445,call of duty,83,95,MISC,0.9998970031738281
462,grinningfacewithbigeyes,49,72,MISC,0.9964720010757446
465,venezuela,193,202,LOC,0.9546049237251282
493,sololearn,24,33,MISC,0.8237466812133789
493,sololearn,107,116,MISC,0.8564558029174805
506,sololearn,186,195,MISC,0.5154020190238953
521,sololearn,0,9,MISC,0.6633507609367371
556,sololearn,50,59,MISC,0.5517789125442505
562,redheart  explodinghead,60,83,MISC,0.997680127620697
569,script,64,70,MISC,0.553841233253479
577,hello world,19,30,MISC,0.9992700219154358
589,neos fiesta choice awars,64,88,MISC,0.9863521158695221
613,phyton,203,209,MISC,0.6562178730964661
639,soloearn,109,117,MISC,0.6476044058799744
640,checkmarkbutton,282,297,ORG,0.9677287936210632
684,sololearn,167,176,ORG,0.8459821939468384
695,sololearn,100,109,MISC,0.8886615633964539
703,los kiero 3,0,11,MISC,0.9550394217173258
711,msg toing,38,47,MISC,0.9985370934009552
711,sololearn,122,131,MISC,0.8024041056632996
774,beamingfacewithsmilingeyes,28,54,MISC,0.7823410630226135
799,sololearn,15,24,MISC,0.9892117977142334
801,smilingfacewithsunglasses,41,66,MISC,0.8967687487602234
827,1010,0,4,MISC,0.980284571647644
844,sololearn,93,102,ORG,0.9837048649787903
845,api drag y drop,144,159,MISC,0.9822057485580444
894,duolingo,70,78,MISC,0.5289070010185242
1047,play,83,87,MISC,0.4277750849723816
1144,speaknoevilmonkey,191,208,MISC,0.9687615633010864
1144,seenoevilmonkey,210,225,MISC,0.8376172184944153
1161,sololearn,45,54,MISC,0.8872010111808777
1277,play yo win,71,82,MISC,0.9950844645500183
1311,smilingfacewithhearteyes,61,85,MISC,0.9996545314788818
1331,pascal,120,126,LOC,0.5839252471923828
1336,play store,69,79,MISC,0.9959999322891235
1372,ea,62,64,ORG,0.9698882102966309
1482,redheart,94,102,ORG,0.8391047120094299
1553,la amo  starstruck,0,18,MISC,0.9999072551727295
1619,sololearn,127,136,MISC,0.7903090119361877
1654,htmletc,72,79,MISC,0.9053458571434021
1684,raisinghandslightskintone  rocket,146,179,MISC,0.9998870491981506
1711,java script,34,45,MISC,0.9963842928409576
1714,argentina,188,197,LOC,0.8753123879432678
1797,raisinghandsmediumskintone,169,195,MISC,0.6002947688102722
1797,raisinghandsmediumskintone,225,251,MISC,0.6022440791130066
1810,sololearn pro,17,30,MISC,0.6810551881790161
1810,sololearn,152,161,MISC,0.8261809349060059
1811,argentina,64,73,LOC,0.834032416343689
1813,sololearn,111,120,MISC,0.94736647605896
1822,grinningfacewithbigeyes,15,38,MISC,0.998893678188324
1828,fire  fire  fire,59,75,MISC,0.9990102052688599
1856,css c,28,33,MISC,0.6578051149845123
1856,game development with js,248,272,MISC,0.9998136460781097
1856,web development fundamentals,275,303,MISC,0.9999311765034994
1900,learn pro,159,168,MISC,0.9992837011814117
2083,learning,212,220,MISC,0.5281832218170166
2138,sololearn,128,137,MISC,0.9367040395736694
2202,python for benginers,284,304,MISC,0.9998796780904134
2204,unity,240,245,MISC,0.5631978511810303
2276,bdhtmlcssphp,46,58,MISC,0.9942903518676758
2276,bdjavahtml,61,71,MISC,0.9799760580062866
2276,bdjava para compu,74,91,MISC,0.9215332865715027
2302,god es corte duolingo,0,21,MISC,0.8232648968696594
2308,aderly céspedes,147,162,PER,0.999860554933548
2308,aderly,235,241,PER,0.971345841884613
2338,cuba,107,111,LOC,0.9959267377853394
2360,edit,41,45,MISC,0.571982204914093
2385,globeshowingasiaaustralia,77,102,MISC,0.867461085319519
2413,sass,32,36,MISC,0.7843231558799744
2413,vue,39,42,MISC,0.732351541519165
2418,epicardo,0,8,PER,0.7067591547966003
2464,grinningfacewithbigeyes,41,64,MISC,0.9992175102233887
2475,react  redux,73,85,MISC,0.9999011158943176
2475,web developer,109,122,MISC,0.9933089315891266
2497,nodejs,114,120,MISC,0.6802971363067627
2521,sololearn,4,13,MISC,0.9080732464790344
2521,sololearn,109,118,MISC,0.7028165459632874
2526,sololearn,52,61,MISC,0.488868772983551
2554,python 310,28,38,MISC,0.9785125553607941
2566,messirve,10,18,PER,0.9996728897094727
2585,sololearn,44,53,MISC,0.8720729947090149
2605,sololearn,92,101,PER,0.42669790983200073
2691,beamingfacewithsmilingeyes,26,52,MISC,0.9879466891288757
2691,beamingfacewithsmilingeyes,54,80,MISC,0.9393744468688965
2691,beamingfacewithsmilingeyes,82,108,MISC,0.8668634295463562
2691,beamingfacewithsmilingeyes,110,136,MISC,0.95924311876297
2726,java scrip r,61,73,MISC,0.9078331589698792
2773,pley,181,185,MISC,0.5346564650535583
2815,html creator,192,204,MISC,0.9998940229415894
2842,sololearn,15,24,ORG,0.5351142287254333
2950,grinningfacewithbigeyes,52,75,MISC,0.9745811820030212
2960,dart lua,185,193,MISC,0.9622755646705627
2984,administración de sistemas informáticos en red,104,150,MISC,0.9027216533819834
3029,visual studio code,86,104,MISC,0.9996948639551798
3210,allegro de c,181,193,MISC,0.9954942067464193
3235,printta chulo,0,13,MISC,0.9999182820320129
3253,youtube intertronik youtube curso básico c,75,117,MISC,0.9764442245165507
3262,sololearn,9,18,MISC,0.7842856645584106
3295,sololearn,191,200,MISC,0.842833399772644
3408,mexico,351,357,LOC,0.9082364439964294
3413,star  star  star  star  star,60,88,MISC,0.9977869987487793
3458,grinningfacewithbigeyes,41,64,MISC,0.9994971752166748
3542,vsc,74,77,MISC,0.5084702372550964
3677,python estructura de datos,44,70,MISC,0.9857586771249771
3715,sololearn,5,14,MISC,0.7926844954490662
3763,python for begginer,24,43,MISC,0.8838196992874146
3796,bootstrap 4,20,31,MISC,0.993460476398468
3807,sololearn,38,47,MISC,0.8978143334388733
3826,cxxdroid,169,177,MISC,0.7523149251937866
3879,app,16,19,MISC,0.9537880420684814
3879,100 reconendada,20,35,MISC,0.9910996556282043
3921,play store,295,305,MISC,0.9587428569793701
3954,freecodecamp,99,111,MISC,0.6820986866950989
3954,sololearn,177,186,MISC,0.8218728303909302
3954,sololearn  twohearts  pd,395,419,MISC,0.9998092651367188
3965,sololearn,4,13,PER,0.9981223940849304
3966,code playground,16,31,MISC,0.9999232888221741
3967,sololearn,164,173,MISC,0.8949651718139648
4071,calle melos,149,160,LOC,0.9626868367195129
4153,grinningfacewithbigeyes,15,38,MISC,0.567102313041687
4166,sololearn,221,230,MISC,0.920164942741394
4192,game development with java script,137,170,MISC,0.9998386621475219
4258,sololearn,0,9,MISC,0.6507815718650818
4261,sololearn,124,133,ORG,0.9955883026123047
4321,smilingfacewithsunglasses,1,26,MISC,0.999183714389801
4350,sololearn,14,23,MISC,0.9797359704971313
4365,phyton,47,53,MISC,0.8924649357795715
4420,smilingfacewithsmilingeyes,83,109,MISC,0.7551270127296448
4458,grinningfacewithbigeyes,57,80,MISC,0.6755787134170532
4467,solo learn,25,35,MISC,0.9986109733581543
4467,sololearn,218,227,MISC,0.8452330827713013
4500,grinningfacewithbigeyes,20,43,MISC,0.9982154369354248
4504,sololearn,39,48,MISC,0.8632806539535522
4533,clappinghands,10,23,MISC,0.8590877652168274
4565,la amo,0,6,MISC,0.9997572302818298
4586,clappinghands,167,180,MISC,0.9342736005783081
4634,buenardo,0,8,PER,0.5947396159172058
4688,starstruck,21,31,MISC,0.9940284490585327
4693,sololearn,57,66,MISC,0.9083118438720703
4754,google chrome,82,95,MISC,0.9478471279144287
4765,kotlin ruby swift,207,224,MISC,0.9999069770177206
4770,lollipop,275,283,MISC,0.5931172370910645
4772,thumbsuplightskintone,24,45,MISC,0.8787955641746521
4787,adderly,10,17,ORG,0.9987939596176147
4798,script,53,59,MISC,0.8996627926826477
4828,smilingfacewithsmilingeyes,32,58,MISC,0.9989191293716431
4851,hello world,90,101,MISC,0.9980716109275818
4909,winkingfacewithtongue,62,83,MISC,0.6747757196426392
4977,anwriter free,154,167,MISC,0.9998220503330231
4990,hola soy dalto,51,65,MISC,0.9998545050621033
5026,python,0,6,PER,0.9873138070106506
5049,u,81,82,ORG,0.8388824462890625
5049,sololear,159,167,MISC,0.6444408297538757
5068,clappinghandslightskintone,89,115,MISC,0.6475025415420532
5111,sololearn,26,35,ORG,0.9865537285804749
5139,modulo tkinter,156,170,MISC,0.8380353152751923
5139,self,176,180,MISC,0.8019021153450012
5146,smilingfacewithsmilingeyes,37,63,MISC,0.9996330738067627
5173,phyton,83,89,MISC,0.8004747629165649
5183,juliaensambladorrustbioinformátics,169,203,MISC,0.6648606061935425
5183,code coach,249,259,MISC,0.6721769869327545
5230,adderly céspedes,31,47,PER,0.6822694838047028
5295,sololearn pro,218,231,MISC,0.988442987203598
5346,sololearn,10,19,MISC,0.7620140910148621
5346,sololearn,148,157,MISC,0.9240498542785645
5359,grinningfacewithsmilingeyes,26,53,MISC,0.9996092915534973
5380,sololearn,114,123,MISC,0.6658992767333984
5417,grinningfacewithbigeyes,28,51,MISC,0.9971047043800354
5442,okhand  redheart,42,58,MISC,0.9976690113544464
5442,typescript,110,120,MISC,0.5024989247322083
5467,platzi,6,12,PER,0.8449335098266602
5467,duolingo,13,21,PER,0.9741647839546204
5467,sololearn,24,33,PER,0.9996453523635864
5471,facewithsteamfromnose,42,63,MISC,0.9750401973724365
5550,de,275,277,MISC,0.7676100730895996
5576,okhand,18,24,ORG,0.6868159770965576
5588,sololearn,298,307,MISC,0.6532759070396423
5632,globewithmeridians,177,195,MISC,0.8836317658424377
5654,smilingfacewithsmilingeyes,29,55,MISC,0.9870282411575317
5751,sololearn,0,9,MISC,0.769919216632843
5821,visual studio,165,178,MISC,0.9980031847953796
5828,buenardo,0,8,PER,0.5947396159172058
5851,venezuela,92,101,LOC,0.6819968223571777
5905,kali linux,103,113,MISC,0.997113049030304
5918,lamaners,50,58,PER,0.9080750942230225
5927,facewithrollingeyes,49,68,MISC,0.4810546636581421
5967,méxico,65,71,LOC,0.9645006060600281
5969,python core,70,81,MISC,0.9998875856399536
5969,dropsmenriseduolingoetc,260,283,MISC,0.9912115931510925
6002,pensiveface,90,101,MISC,0.9304516911506653
6025,google play service,35,54,MISC,0.9998719692230225
6029,grinningfacewithbigeyes,41,64,MISC,0.999566376209259
6034,sololearn,364,373,MISC,0.8205395340919495
