,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,language
1,52ab82c3-cfcf-4490-abc6-3b998fce3d29,Ader Jasmir Zeas Rocha,https://play-lh.googleusercontent.com/a-/ACB-R5Qss6qKuBRcgVcjr3VCzdL2lOIhe9WzO-gnc11-hQ,me párese buena app,4,0,1.14.0,2023-03-21 19:53:03,,,1.14.0,es
2,0d586ab9-db7f-4b69-8998-fa08c20d0bf9,gloria mediavilla jaime,https://play-lh.googleusercontent.com/a/AGNmyxYZmK47-svcJAN-qyXtzmEulGE6YpW_nGt2Y6FR=mo,Con paciencia todo se consigue.,5,0,1.14.0,2023-03-20 19:46:26,,,1.14.0,es
5,9b53998e-f473-472f-bc7a-c943fc32f859,Paoly Amelia Soto,https://play-lh.googleusercontent.com/a-/ACB-R5TrRvzHEQy83aTpIf0jeiFFxyukRFdjaOuDoPcd,"He aprendido rápido y de manera intuitiva, me encanta la versión Pro plus ya que puedo obtener certificados de los cursos que completo",5,0,1.14.0,2023-02-17 19:58:03,,,1.14.0,es
7,55bd909d-84fc-49ee-a220-59f4b52e01b6,Alina Vázquez,https://play-lh.googleusercontent.com/a-/ACB-R5ReIbPNBmbbzhLHNesgaArKdiy2D7PkHsddENRidw,Me lanzó a una prueba sin darme lecciones. Creo que habría quedado mejor al estilo Duolingo,4,0,1.14.0,2023-02-05 18:14:18,,,1.14.0,es
8,b65ce8df-4db7-4437-babc-beba1f42511b,Alex Nicolas Arce,https://play-lh.googleusercontent.com/a/AGNmyxYexuxqWfnz_TAXZ7iUfKUc67JwCh2pV1DIkmPv=mo,"Estaría buena una versión en español, más que nada porque si no te defiendes con inglés o algunas cosas son medios difíciles de entender para gente hispano hablante, lo demás excelente.",4,0,1.14.0,2023-01-26 13:54:52,,,1.14.0,es
13,86e9c7b5-1ce3-4253-be92-4f6aa027c7e9,Maykel López Oliva,https://play-lh.googleusercontent.com/a/AGNmyxaKzLgH4lDS_iXQJBz9ivFmUHA_YKMryjhFAbRM=mo,"hasta el momento una buena APK, vale q el inglés es un idioma universal pero ayudaría a muchos si estuviera en varios idiomas",4,0,1.14.0,2022-12-23 17:20:30,,,1.14.0,es
14,77493128-41d0-41ae-8bde-908a60d5041f,Carlos Roberto Martínez Hernández,https://play-lh.googleusercontent.com/a-/ACB-R5QfAEOJCGYG1vT6-gAiLsbhpz_JLE8RVo6JaV0U4A,Me gusta mucho la aplicación de escritorio y la portable para practicar conceptos de forma diaria,5,0,1.14.0,2022-12-23 02:47:16,,,1.14.0,es
15,4bf345ea-5456-4cdc-8903-4bd4b854ab06,Cristopher CL,https://play-lh.googleusercontent.com/a/AGNmyxYf0jZWICNIcYhaEC1m90O6UPomikBnPjkI-j1m=mo,"Hola, acabo de descargar la aplicación pero no se puede abrir se cierra automáticamente, ¿a qué se debe esto?",3,0,1.14.0,2022-12-06 02:43:49,,,1.14.0,es
17,d51690ef-89d3-4d89-9b29-e7f23899361b,Abraham Avila,https://play-lh.googleusercontent.com/a-/ACB-R5TyUXqkgvLQ3qdnROcQ5Zcg56zHLjyv4gSoERNRmA,"El contenido complementa perfecto al de la página, pero los ejercicios tienen muchos errores al interactuar con elllos.",2,0,1.14.0,2022-11-30 13:18:59,,,1.14.0,es
23,c3cffd13-1749-4658-8ba4-53478e00f038,Lionel Soto,https://play-lh.googleusercontent.com/a/AGNmyxYNeztGJaK1wF8N17a78oZ4jYOOb4TXI7VQiQZ-=mo,ta bueno ta,5,0,1.14.0,2022-10-06 16:44:10,,,1.14.0,es
24,92dbbd77-8acc-46f4-94f3-d7273a485f5b,Nicolás,https://play-lh.googleusercontent.com/a-/ACB-R5QryQ1DDy5GNrsS2QWZxDy9Hx5neGyt3BluEk5n,Una muy buena herramienta para practicar programación y desarrollo web,5,0,1.14.0,2022-10-05 14:32:16,,,1.14.0,es
26,89b65df3-e662-45ce-a0fa-74708aeffbfe,Gabriel Londero,https://play-lh.googleusercontent.com/a-/ACB-R5TY2SHdVdM6Oa4oifxrop14jR39NooXDmu0u-7jYw,Excelente. A modo de pregunta. Se podría agregar el idioma español,5,0,1.14.0,2022-08-25 10:26:59,,,1.14.0,es
27,ee4810b2-bf05-48a9-a1c5-fa7255ccc964,César Ramirez,https://play-lh.googleusercontent.com/a/AGNmyxaHUnj8EYMpKMamdSEUCzrw8nSWLMGvaXB2n36V=mo,Me está gustando,3,0,1.14.0,2022-08-17 00:17:58,,,1.14.0,es
28,73b5303e-d0ae-4cf9-a068-735f123e4b95,ElSempai,https://play-lh.googleusercontent.com/a-/ACB-R5SOWAxdcwCHOskPwWUy3ehaLjVLwPlpIStkD7tyAg,ta chido,5,0,1.14.0,2022-07-19 22:00:34,,,1.14.0,es
29,3b530600-fd97-41d9-a8bb-0967e46d08c7,Andrés Aldama Peña,https://play-lh.googleusercontent.com/a/AGNmyxaWORZdkagEn07kFrHSNFJXibxBdqNA61yuZO-fRC4=mo,"Genial, me ha servido mucho para repasar lo olvidado",5,0,1.14.0,2022-06-28 08:58:10,,,1.14.0,es
30,bd1cea43-8bc1-4e91-a1ca-6c7876795c29,Alberto Hernández Morales,https://play-lh.googleusercontent.com/a/AGNmyxb_uP-NeZPWzEZDH5ABqhVKcJeqqhBSh4rWdlmC=mo,Muy práctica para recordar sintaxis y aprender más rápido el lenguaje.,4,0,1.14.0,2022-06-21 15:16:38,,,1.14.0,es
31,9f5d6fcd-d86f-46c7-9fd6-819e79584555,Luis Alberto Diaz Garcia,https://play-lh.googleusercontent.com/a-/ACB-R5RFKyF2SPGuPDhIutexoFtR7SVcA_E30S51BqIoKA,"Parece buena, empece con grasshooper, gracias",3,0,1.14.0,2022-06-17 00:14:52,,,1.14.0,es
34,01b720e2-9809-4144-8956-827d5dafb6a9,Leonardo Abreu,https://play-lh.googleusercontent.com/a-/ACB-R5RWO6bcS0pvnkdE_B6F7RbM1KkL_5LCoYF-OB2g3Aw,Es una excelente herramienta para hacer un repaso de los conceptos aprendidos. La recomiendo 👌,5,0,1.14.0,2022-05-28 14:59:35,,,1.14.0,es
35,a979def8-7e0a-4fb4-9bdf-709bb8919681,Jose Carlos Peraza,https://play-lh.googleusercontent.com/a/AGNmyxYUGmb2Zy6_Bs7ZIC7Gh-WytmQXN6bkJTAnKER-=mo,"Deberían poner una opción para cambiar el idioma. Me gusta mucho su aplicación, pero yo hablo español. Aunque también me a servido para practicar mi inglés. Pero, si les agradecería que la pusieran en otros idiomas.",4,1,1.14.0,2022-05-28 05:30:03,,,1.14.0,es
37,caa957be-eb03-4f55-809c-11341f89863b,Kevinn Perez Quesada,https://play-lh.googleusercontent.com/a-/ACB-R5RHqEm03uVWrWJ0EtsV3yCvoW2DJ3RCTKyF0dSZ6w,"Es mas que todo una herramienta de acompañamiento del curso web en la PC, útil para repasar en el baño =P",3,0,1.14.0,2022-05-25 08:43:09,,,1.14.0,es
40,e9ca2e92-fe17-41d6-966a-9881dab74c3a,Alex Ironheart,https://play-lh.googleusercontent.com/a-/ACB-R5RlQadFJTVKH4YixGXI7xqVpVxPB7kS4hVhEmVc2A,"No me queda clara la secuencia de ejercicios (para elegir el tema, por ejemplo) y los ejercicios de seleccionar fragmentos para responder no funcionan bien.",2,3,1.14.0,2022-04-06 03:45:12,,,1.14.0,es
49,61a35a01-ce85-4a9c-9fa0-8abd4ffca161,Dario Conde,https://play-lh.googleusercontent.com/a-/ACB-R5SPFIpNg41JxjID2s4uwbD1DRjd54ol03lRulzZ2gA,"No deja crear una nueva cuenta ni loguearse con Google o Facebook. Al seleccionar cualquier de las anteriores, entra en un loop y no avanza. Por favor corregir este bug. Gracias.",1,3,,2022-02-09 04:00:11,,,,es
50,c450a4d9-2c87-4d5f-bd30-306e993941ba,Abaiert,https://play-lh.googleusercontent.com/a-/ACB-R5QPj17au8avh1lot3Hhr5UpPmIpNoE6jBkFsUaVBQ,No me deja conectar con mi cuenta gmail,1,0,1.14.0,2022-02-07 01:08:56,,,1.14.0,es
