,feature,positiveCount,negativeCount,score
0,días consecutivos,870,-144,0.7159763313609467
0,sistema de puntos,255,-42,0.7171717171717171
0,barra de progreso,4,-9,-0.38461538461538464
0,competencia de hábitos/golpe,200,-63,0.5209125475285171
0,descubrimiento social,74,-79,-0.032679738562091505
0,desafíos,334,-111,0.501123595505618
0,tablero de clasificación/competencia,39,-9,0.625
0,potenciadores,409,-25,0.8847926267281107
0,economía virtual,138,-33,0.6140350877192983
0,descansos de tortura,11,-4,0.4666666666666667
0,tumba visual,96,-9,0.8285714285714286
0,choca esos cinco,9,0,1.0
0,última milla,178,-10,0.8936170212765957
0,desfile de anticipación,7,0,1.0
0,avatar,436,-53,0.7832310838445807
0,estados de victoria,89,-21,0.6181818181818182
0,votación,174,-44,0.5963302752293578
0,coronación,0,0,0
