,feature,positiveCount,negativeCount,score
0,daily streaks,3,-2,0.2
0,points system,0,0,0
0,progress bar,1,0,1.0
0,strike habit/competition,3,0,1.0
0,social discovery,1,-1,0.0
0,challenges,42,-15,0.47368421052631576
0,leaderboard/competition,4,-1,0.6
0,boosters,53,-10,0.6825396825396826
0,virtual economy,0,0,0
0,torture breaks,11,-12,-0.043478260869565216
0,visual grave,0,0,0
0,high five,0,0,0
0,last mile drive,0,0,0
0,anticipation parade,0,0,0
0,avatar,0,0,0
0,win states,0,0,0
0,voting,2,-4,-0.3333333333333333
0,crowning,1,0,1.0
0,status quo sloth,40,-20,0.3333333333333333
