,feature,positiveCount,negativeCount,score
0,daily streaks,20,-3,0.7391304347826086
0,points system,3,-3,0.0
0,progress bar,0,0,0
0,strike habit/competition,3,0,1.0
0,social discovery,1,-1,0.0
0,challenges,7,-1,0.75
0,leaderboard/competition,0,0,0
0,boosters,7,-1,0.75
0,virtual economy,1,-1,0.0
0,torture breaks,0,0,0
0,visual grave,2,0,1.0
0,high five,0,0,0
0,last mile drive,4,0,1.0
0,anticipation parade,0,0,0
0,avatar,8,0,1.0
0,win states,1,0,1.0
0,voting,4,0,1.0
0,crowning,0,0,0
0,status quo sloth,8,0,1.0
