feature,positiveCount,negativeCount,aggregatedAverage,positiveProportion,negativeProportion
días consecutivos,870,144,0.715976331360947,0.8579881656804734,0.14201183431952658
sistema de puntos,255,42,0.717171717171717,0.8585858585858586,0.14141414141414144
barra de progreso,4,9,-0.384615384615385,0.3076923076923077,0.6923076923076923
competencia de hábitos/golpe,200,63,0.520912547528517,0.7604562737642585,0.2395437262357415
descubrimiento social,74,79,-0.0326797385620915,0.48366013071895425,0.5163398692810457
desafíos,334,111,0.501123595505618,0.750561797752809,0.24943820224719104
tablero de clasificación/competencia,39,9,0.625,0.8125,0.1875
potenciadores,409,25,0.884792626728111,0.9423963133640553,0.05760368663594473
economía virtual,138,33,0.614035087719298,0.8070175438596491,0.19298245614035092
descansos de tortura,11,4,0.466666666666667,0.7333333333333333,0.2666666666666667
tumba visual,96,9,0.828571428571429,0.9142857142857143,0.08571428571428574
choca esos cinco,9,0,1.0,1.0,0.0
última milla,178,10,0.893617021276596,0.9468085106382979,0.05319148936170215
desfile de anticipación,7,0,1.0,1.0,0.0
avatar,436,53,0.783231083844581,0.8916155419222904,0.10838445807770958
estados de victoria,89,21,0.618181818181818,0.8090909090909091,0.19090909090909092
votación,174,44,0.596330275229358,0.7981651376146789,0.2018348623853211
coronación,0,0,0.0,,
