Unnamed: 0,date,developerResponse,content,rating,isEdited,userName,title,sentiment,matched_python,reviewId,userImage,review,thumbsUpCount,reviewCreatedVersion,replyContent,repliedAt,standardizedReview,mentionedFeature,mentionedSynonyms
60,2023-03-12 04:01:50,,,5,,Nitro,,POSITIVE,python,27f2f2cf-99d7-4181-8226-b469646136b4,https://play-lh.googleusercontent.com/a-/ACB-R5Rz2UzNRKGBv49oqT-Ra7BCz31WZO72rpsZ7m8rkw,this is amazing app for any programming language specially for python. u must download it,0.0,1.4.69,,,amazing app programming language specially python u must download,boosters,special
166,2023-02-16 04:38:31,,,4,,Jonathan Chanda,,NEGATIVE,python,c0eba936-346d-4504-b75b-0427163ac4b6,https://play-lh.googleusercontent.com/a-/ACB-R5RJJW22gBrDfzX9SzpRQYXj2kKZbnWv1LYUEcXJjw,I am having challenges with getting a certificate I have finished the web development course but couldn't get a certificate even python programming course am always unable to get the certificate,2.0,1.4.69,"Dear Jonathon, we are extremely sorry for the inconvenience you faced. But we are not clear about the issue, to fix the issue and to give you the best experience with our app we need to know them at first. Can you please share the issues with us at support@programming-hero.com? We love you a lot, we want you to have a smooth learning journey! ♥",2023-02-22 07:46:43,challenges getting certificate finished web development course couldnt get certificate even python programming course always unable get certificate,challenges,challeng
315,2023-01-15 13:42:39,,,5,,Ayush Kesta,,POSITIVE,python,c8411db6-7f5f-45ba-807a-f3c9161270bc,https://play-lh.googleusercontent.com/a-/ACB-R5SOrPgCyy3fRBzW4ep4vHIA7zGKb41Sc8o8F-cZhg,programming hero your. real hero because you help me to learn python whitehat jr give 144 classes rs 1lakh but you free difrence about you and white hat jr and etc coding learning paid app is he give personal teacher and you don't. but in free of cost this is best app I found,0.0,1.4.68,,,programming hero real hero help learn python whitehat jr give 144 classes rs 1lakh free difrence white hat jr etc coding learning paid app give personal teacher dont free cost best app found,status quo sloth,person
333,2023-01-11 02:33:22,,,1,,F.R,,NEGATIVE,python,12126572-c5b0-48dc-a6db-fe31754a7496,https://play-lh.googleusercontent.com/a/AGNmyxYus5akIZQ6mIEtuML-zpD6ipek8B9KOAfmTCPY=mo,"Disappointed with the service, thinking paid for a premium would help but still it still the same. 1. There is no response from the with the live support. 2. The explanation in the lesson is not detailed. 3. Inable to run command. Error messaged shown "" python not found. To install python, go to terminal and run this command. pkg install python"". When written at the terminal, messages shown command not found.",1.0,1.4.68,,,disappointed service thinking paid premium would help still still 1 response live support 2 explanation lesson detailed 3 inable run command error messaged shown python found install python go terminal run command pkg install python written terminal messages shown command found,torture breaks,live
352,2023-01-06 16:05:31,,,5,,Abraham Lawal,,NEGATIVE,python,dc2c61b9-a29e-40fc-bc8e-e249b546886e,https://play-lh.googleusercontent.com/a/AGNmyxbqdLXs-pfSDo-ik2qzSxjsqzoj9_LpuCGfTf2B=mo,"The app is wonderful but update is slow. The lectures are great, especially for python.",0.0,,,,app wonderful update slow lectures great especially python,boosters,special
404,2022-12-25 16:09:03,,,5,,Philbet Odigie,,NEGATIVE,python,df5174a9-6e7e-4825-b42c-4bcf008b7e02,https://play-lh.googleusercontent.com/a/AGNmyxZJDrLOuKDuiBOGZmVp84gQHwsoi1CiMhrswf3j=mo,"Well I enjoy using the app especially the offline mode, but I have a problem I can't code unless I install python on the app, I've tried but it didn't. Could you guys make a version with an already installed python on it",0.0,,"Dear Philbet, thanks for suggesting us with a great idea! But here is the problem you may face, if we make a version with pre installed python, then the size of the app will be much bigger than it is right now. Which may create an issue to many users, that's why we had to keep it like that. Hope you understand! But we loved your idea as we love you",2023-01-05 10:44:25,well enjoy using app especially offline mode problem cant code unless install python app ive tried didnt could guys make version already installed python,boosters,special
776,2022-10-08 22:38:22,,,5,,Hafiz ullah,,POSITIVE,python,05ef1636-ef58-467d-84d4-8e87f7ea9728,https://play-lh.googleusercontent.com/a-/ACB-R5TjstYGfMA5LIwsmpFXjZJI-lZJ14FdNm7Do0pPmA,It is the best App to learn programming languages. specially to learn python.,0.0,1.4.68,,,best app learn programming languages specially learn python,boosters,special
1297,2022-07-17 16:22:23,,,4,,C Omon,,POSITIVE,python,a5ef152e-356f-48cf-a415-4dc5eae643ff,https://play-lh.googleusercontent.com/a-/ACB-R5RTReu_mICRsyWNkIsPlRX9_8qADn0-kDI3q1j-1Q,"This app is amazing!!. The text is converted to speech, making it very easy to use and beginner friendly. The app also offers many programming languages like C, C++ etc. The only problem i faced while using it, is that some galaxies especially in python are not complete ie next steps are not unlocked. Otherwise Its a good app",3.0,1.4.66,"Dear user, Grandma is very much worried as your learning is hampered. She promises you that this issue is going to be fixed very soon. For now, a temporary solution is uninstalling and reinstalling the app and trying again. But this is irritating, we know that, that's why the permanent solution is on the way. Love you! 💖
",2022-07-18 13:49:30,app amazing text converted speech making easy use beginner friendly app also offers many programming languages like c c etc problem faced using galaxies especially python complete ie next steps unlocked otherwise good app,boosters,special
1352,2022-07-09 06:01:11,,,5,,kamal pasha,,POSITIVE,python,c28baa73-9ca3-45e7-893d-56d2bd6e9f1f,https://play-lh.googleusercontent.com/a-/ACB-R5SNuUXDV-pZQU5BeSMAYWtGQX5f-B3kHFMy6ASuDA,Awesome app. It’s very good for the person who wants to learn python. It explains everything clearly. I like the app.,0.0,1.4.66,,,awesome app good person wants learn python explains everything clearly like app,status quo sloth,person
3188,2021-10-28 07:29:12,,,1,,Crazy Learner,,NEGATIVE,python,a2d8356c-957f-42b2-8a56-9088c171acd5,https://play-lh.googleusercontent.com/a-/ACB-R5SA5GiBB2nVi57VXPtToZQS4kuvaMhbdHJbghK1,Iam learning python in this app.now iam in challenge 1.but i don't complete the task.why?,0.0,1.4.59,"Dear user, Grandma is worried that you faced an issue with our app. But she is not clear about the issue. Can you help her with giving a little bit more details on support@programming-hero.com. We will try to fix your issue as soon as possible. Will be waiting for you! Because we love you and don't want you to be stuck with issue! 💖",2021-10-28 08:58:05,iam learning python appnow iam challenge 1but dont complete taskwhy,challenges,challeng
4763,2021-06-07 10:50:32,,,5,,Sajjad Wasel,,POSITIVE,python,e977640a-8906-45f3-888c-0327589ee516,https://play-lh.googleusercontent.com/a-/ACB-R5RRw-l86EDSn3b6yQdqVYLEZSQKEhoWeFblbdeq7Q,awesome simple app for learning programing and especially for python language learners,0.0,1.4.53,,,awesome simple app learning programing especially python language learners,boosters,special
5168,2021-05-03 10:49:15,,,5,,rupli Kusalkar,,NEGATIVE,python,42f9f03e-5f7d-4006-9a1c-2b5f2af07bef,https://play-lh.googleusercontent.com/a/AGNmyxbaEP67G7E1SIA60gGhRC2cgHOXY38zfiAFmjOD=mo,"Good app but asks for pro for half content this is realy bad and I am from India and if ur aslo then just bring more Langs like django ,node js , And may be robotics with python and c what else Arduino plz bring atleast Arduino or raspberry Pi both with java,c,and python this is request plz try and I am respecting u cause I am 13 male ans plz don't ask for pro in Arduino and raspberry Pi or will kill myself..😁🙏😁🙏😁😁😁😁",0.0,,,,good app asks pro half content realy bad india ur aslo bring langs like django node js may robotics python c else arduino plz bring atleast arduino raspberry pi javacand python request plz try respecting u cause 13 male ans plz dont ask pro arduino raspberry pi kill,voting,content r
6476,2021-01-08 19:16:10,,,4,,Chidozie Nnabuife,,POSITIVE,python,cd46f84f-f150-4623-bce6-2ead304475c6,https://play-lh.googleusercontent.com/a-/ACB-R5RTYJAqNzjL_aR3GIWX97oIagCJNpkOGVNak8nqlA,"Three lovely things about this app. 1. It has a nice user interface 2. It's Python IDE is the best so far on Android. 3. The lessons are so comprehensive 4. The code coaches and challenges are also outstanding. My suggestion. Please work more on the python IDE. Add a float button for ""undo"" instead of having it stay inside settings. Also add an auto save feature in the IDE too.",6.0,,"Thanks a billion for your suggestion, Chidozie! 😊
Glad you loved our app.

Please keep supporting us.

This month, you'll look hotter in your brand new profile page.

You can produce a baby robot in one night with your ""Python In One Night"" video course. 

Next is the C course. Stay tuned.

Love from Team Programming Hero! ❤",2021-01-12 04:58:27,three lovely things app 1 nice user interface 2 python ide best far android 3 lessons comprehensive 4 code coaches challenges also outstanding suggestion please work python ide add float button undo instead stay inside settings also add auto save feature ide,challenges,challeng
8119,2020-09-17 11:11:49,,,5,,Ahmed Tareq,,POSITIVE,python,2731f25e-6384-45f4-b530-571956019fad,https://play-lh.googleusercontent.com/a/AGNmyxbkNmU-uUQE3XAsLBr5j0Ocu8gQtu6cE7hLvbqJ=mo,The app visually looks good and also doesn’t show any disruptive ad. I started my journey with this educational app and become a fan. I strongly recommend this app for those who want to learn python but lazy like me. Especially kids might like it more. The updated version is more fun and it made the app better than similar apps.,16.0,1.4.35,"Thanks a ton, Ahmed! 😊

We're really glad you liked our app.


Please keep exploring Programming Hero and keep supporting us…


This month, we brought a brand new app development course. Now we're working on to bring advanced Web Development course contents. So, please stay tuned…


Love from Team Programming Hero! ❤",2020-09-22 05:05:16,app visually looks good also doesnt show disruptive ad started journey educational app become fan strongly recommend app want learn python lazy like especially kids might like updated version fun made app better similar apps,boosters,special
9880,2020-06-18 08:45:05,,,5,,md Ruhul Amin,,POSITIVE,python,15662f1b-f101-49e9-87f2-a18a62b309b8,https://play-lh.googleusercontent.com/a-/ACB-R5S88aIH6mLtun9woWvVQjWJpcX-UOhk-oynd-sz,This is a awesome application for learning python. Actually I'm a bangladeshi. I want to learn programming then suddenly I listened this application and I downloaded this application. Now I'm practice programming specially python programming. If this application update anytime I will download and practice more and more. Thank you Jhankar Mahabub bai.,0.0,,"Thanks a trillion, Rahul! 😊
We're really glad you liked our app.

Please keep exploring Programming Hero and keep supporting us…

This month, we brought a brand new Dark mode. Now we're working on to bring advanced Web Development course contents. So, please stay tuned…

Love from Team Programming Hero! ❤",2020-06-19 06:19:32,awesome application learning python actually im bangladeshi want learn programming suddenly listened application downloaded application im practice programming specially python programming application update anytime download practice thank jhankar mahabub bai,boosters,special
11419,2020-04-14 03:14:25,,,5,,A Google user,,POSITIVE,python,3d918401-b3af-4d3f-8527-4d28ee0bd0a6,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Really osm app to learn python. Problems were discussed by taking real life examples. And highly devoted to newbie's🤘🤘😎,0.0,,"Thanks a lot! 😊 We're really glad you liked our app. Please keep exploring Programming Hero and keep supporting us... This month, we're bringing a brand new dark mode and some more Web Development course contents. So, please stay tuned… Love from team Programming Hero! ❤️",2020-04-16 02:26:28,really osm app learn python problems discussed taking real life examples highly devoted newbies,voting,vote
15088,2019-06-21 03:10:28,,,5,,A Google user,,NEGATIVE,python,0e9cc240-82f0-471e-870a-156c0a85ec38,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"The latest updates looks great but it deleted most of my progress. edit: I notised that the challenges and steps that were reset had been updated with new content. I can understand how it reset then and in a way it adds to the experience, being forced to redo previous steps turns out to be good for newbies.😊 edit2: You're doing a great job with the app. I have been using repl.it online python compiler along side your app. This might be the best way for me to learn coding. Again good job guys",8.0,1.4.5,"We love repl as well.

In the build your game, we will recommend it

Please note, we will release Build your own game in July. Then we will add code playground, more fun games, courses like web development, java, C, etc.

Stay tuned & encourage us by telling 2 of your friends about this app

Happy Programming

💖💖💖 Love from team Programming Hero",2019-06-21 07:19:20,latest updates looks great deleted progress edit notised challenges steps reset updated new content understand reset way adds experience forced redo previous steps turns good newbies edit2 youre great job app using replit online python compiler along side app might best way learn coding good job guys,challenges,challeng
15749,2019-04-14 03:17:17,,,5,,A Google user,,POSITIVE,python,b56e71fc-a513-41ef-8efe-8bdb96860cef,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Wonderful App, downloaded it from Antik Vai's description. For Biginers it's a blessing i think. but from me personally, I want a c version of this game as well as python. plan is i will learn python for fun and c for my college course. really looking forward for new updates and different languages. Thanks again for making this wonderful app witn this wonderful concept.",3.0,1.3.6,"Thank you, Unpredictable Gaming, for trying out Programming Hero.

Please note that we are working on to add  algorithms, OOP, and more fun games. And then we will add other Programming languages like java, C, etc.

Stay tuned.

Happy Programming.

💖💖💖 Love from team Programming Hero.",2019-04-14 08:47:20,wonderful app downloaded antik vais description biginers blessing think personally want c version game well python plan learn python fun c college course really looking forward new updates different languages thanks making wonderful app witn wonderful concept,status quo sloth,person
16211,2019-02-06 10:20:37,,,5,,A Google user,,POSITIVE,python,b017afec-cffc-4de9-af1c-7c342d4c6488,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Very excellent At first, I didn't think much of this app and just decided to go ahead and try it. After trying it, it's really a wonderful app especially for people who find it hard to just learn. It also shows the result of what we are doing. Thank you! This app really helped me to do better in python and memorize better.",0.0,1.2.13,"Thanks a lot! 😊 We're really glad you liked our app. Please keep exploring Programming Hero and keep supporting us... This month, we started adding the Web Development (HTML, CSS & JavaScript) course. Next month, we'll add more fun Python coding projects, so please stay tuned... Love from team Programming Hero! ❤",2020-03-08 13:51:59,excellent first didnt think much app decided go ahead try trying really wonderful app especially people find hard learn also shows result thank app really helped better python memorize better,boosters,special
