Unnamed: 0,date,content,rating,isEdited,userName,title,developerResponse,sentiment,matched_python,reviewId,userImage,review,thumbsUpCount,reviewCreatedVersion,replyContent,repliedAt,standardizedReview,mentionedFeature,mentionedSynonyms
486,2023-03-07 18:47:16,,4,,Dogg A. Rithm,,,POSITIVE,python,fd6c31c7-672e-4d22-9e17-e17060621fbb,https://play-lh.googleusercontent.com/a/AGNmyxawtc4AeQGyVvM-wbeEq3OL0N2XoGEL5Jm9SCFC=mo,"Better than any of the other programming learning apps on Google play, much more access to much fuller content with much better pricing. The beginning python lessons are great, they don't breeze over topics as much as the later ones, which seem to give diminishing returns, the harder the topic. The lessons on function defs, (especially args and kwargs), λs, OOP, dictionaries, recursion, all need more exercises and more varied examples.",0.0,4.40.0,"Hello!Thanks for your feedback!We couldn’t help but notice that you have given Sololearn a four-star rating but left positive comments. If you want to send us additional feedback, please reach out to us at info@sololearn.com.We'd be very grateful if you would then update your review to reflect your experience.",2023-03-06 07:33:42,better programming learning apps google play much access much fuller content much better pricing beginning python lessons great dont breeze topics much later ones seem give diminishing returns harder topic lessons function defs especially args kwargs ls oop dictionaries recursion need exercises varied examples,boosters,special
724,2023-02-26 04:56:13,,5,,Shridharan Pr,,,POSITIVE,python,77fe3ad8-e96d-4c80-808c-8ee43cfc7096,https://play-lh.googleusercontent.com/a-/ACB-R5RMX6WfENwhfcE3V-gV5ydUxmmN1RDhF-9hYqtI,"It is the best app for learning coding if you are week in coding and you want to learn coding you can use this app it has many languages like python, C++,java,etc. Now I am learning python its cool to install this app you can build games for console etc. if you want to learn with fun please install this app I truely recommend you this is the best 🤙app you have many features in this app like you have leaderboard you have tests and you can earn ex and go up in the leaderboard you have leagues Tq.",0.0,4.39.0,,,best app learning coding week coding want learn coding use app many languages like python cjavaetc learning python cool install app build games console etc want learn fun please install app truely recommend best app many features app like leaderboard tests earn ex go leaderboard leagues tq,"leaderboard/competition, status quo sloth","leaderboard, leaderboard"
1155,2023-02-09 19:39:24,,4,,Sthembela Thwala,,,POSITIVE,python,02979850-3181-44dc-b607-2c4e58801e97,https://play-lh.googleusercontent.com/a/AGNmyxb1g2LEjRMD1RgHzkRcVSmTRlhr2AEktXAsQrDX=mo,This app is the best im currently learning python at home and i have completed 4 of 9 chapters .. the problem im experiencing is when im doing challenges .. after completing the challenge you are forced to wait for the oppoent to finish answering their questions which wastes a lot of time. Can you please allow both People to answer questions at the same time im sure that will reduce the time we spend after completing the challenges and be able to get our results . Thank you !!!,0.0,4.38.3,"Hi,
Thanks for your feedback.Your suggestions have been forwarded to the appropriate team for consideration.
We work tirelessly to improve our content, platform, and services by listening to and responding to members of our community.We learn from every piece of feedback we get and we love to hear ways to make Sololearn a better academy for coders.",2023-02-13 04:05:28,app best im currently learning python home completed 4 9 chapters problem im experiencing im challenges completing challenge forced wait oppoent finish answering questions wastes lot time please allow people answer questions time im sure reduce time spend completing challenges able get results thank,challenges,challeng
2748,2022-11-30 02:18:36,,5,,PLain CLothes SPaceman,,,POSITIVE,python,f566f415-1668-4f71-9658-7b9a7429cbd8,https://play-lh.googleusercontent.com/a-/ACB-R5T2_UbhWcGxHKukXHlkG---WwB_xtuv0wbZJvHL,"An excellent app. Positively challenging and very rewarding. Have paid for yearly subscription and will pay for another to keep the momentum going. Have got my python for data science certificate after stopping and starting the course over several months and then pushing myself to stay up all last night to damn well get to the finish line, which I damn well did! I am now going to try and get some sleep before the sun rises. More courses to build upon my progress beckon. Will update..",38.0,4.33.1,,,excellent app positively challenging rewarding paid yearly subscription pay another keep momentum going got python data science certificate stopping starting course several months pushing stay last night damn well get finish line damn well going try get sleep sun rises courses build upon progress beckon update,challenges,challeng
3383,2022-10-31 09:57:08,,5,,Alex Seachrist,,,POSITIVE,python,21bfeedc-da0e-4ebd-a28f-fecff83649b6,https://play-lh.googleusercontent.com/a/AGNmyxa07Xv8agN6H4QGJO0InelWAYFvt0GNoCf2cNY6=mo,"This app is great for getting a start and for small challenges to help you stay on top of things but youll need to find additional sources to learn more, atleast with python.",4.0,4.31.0,,,app great getting start small challenges help stay top things youll need find additional sources learn atleast python,challenges,challeng
3613,2022-10-18 22:10:12,,1,,Ben E,,,NEGATIVE,python,d7d37de6-f94c-4259-98f7-5b4c85a367af,https://play-lh.googleusercontent.com/a/AGNmyxbd4puk7_zbVc0azi7EcRyVpsgWzPcTfpmQc77d=mo,Blocked my account with no explanation after I was several lessons in with no explanation no matter how many times I asked their terrible customer service why. Went with their competitors and have been learning python from them. Basically a freemium app. Pretty worthless.,0.0,,"Hello, Thanks for your feedback. Could you please send more detailed information to us at info@sololearn.com so that we can understand your issue better and try to resolve it? Have a nice day!",2022-10-21 09:22:54,blocked account explanation several lessons explanation matter many times asked terrible customer service went competitors learning python basically freemium app pretty worthless,status quo sloth,"custom, account"
4455,2022-09-17 09:01:12,,4,,Natalia Melinda,,,POSITIVE,python,503ef1c1-f2ee-4a2e-b539-aa77a32bcc84,https://play-lh.googleusercontent.com/a-/ACB-R5TYvO2gf5oEGTaQM14gOKOI7LLW4ob5ECzad06edw,"I downloaded this app out of sheer desperation, since I had to learn c++ for my bachelor thesis and coding intimidates me. But this app delivers what it advertises. Its easier if you have some experience in another language (python, in my case) but if you practice enough at the beginnig, you'd catch up quickly. The only reason why I'm giving 4 stars and not 5, is because I feel like the option of 'for science' is missing. Where are my vectors and matrixes?!",0.0,4.26.0,,,downloaded app sheer desperation since learn c bachelor thesis coding intimidates app delivers advertises easier experience another language python case practice enough beginnig youd catch quickly reason im giving 4 stars 5 feel like option science missing vectors matrixes,torture breaks,live
4818,2022-09-02 06:37:39,,3,,Dogg A. Rithm,,,NEGATIVE,python,64b971eb-4e88-48e4-9312-d28c1133a4b6,https://play-lh.googleusercontent.com/a/AGNmyxawtc4AeQGyVvM-wbeEq3OL0N2XoGEL5Jm9SCFC=mo,"Bait and switch. If you went into the intermediate or advanced python courses, hoping for the same in depth level, let me kill your hope: paywalls for coding demos and next to no content or context. Take one look at the glossed over dictionary course and see what I mean, don't pay. Bouncing comments tab at the bottom is very annoying, plus the comments even bouce when I read them.",3.0,4.25.2,Hello! Thanks for your feedback! We are sorry for the inconvenience! Please send more detailed information to us at info@sololearn.com so that we can help resolve the issue. Looking forward to hearing from you!,2022-09-05 08:15:19,bait switch went intermediate advanced python courses hoping depth level let kill hope paywalls coding demos next content context take one look glossed dictionary course see mean dont pay bouncing comments tab bottom annoying plus comments even bouce read,torture breaks,paywal
4912,2022-08-30 07:37:18,,4,,The All Memeing Eye,,,POSITIVE,python,cfe43979-e87d-4760-b91c-f41196d8b51e,https://play-lh.googleusercontent.com/a-/ACB-R5R6Lm_VGnv7PyAfjmXwrIgglo94NFvfRS65ye9Vqw,"End of module python challenges are a great addition. Would greatly benefit from being able to practice questions like those used in challenges without need for an opponent, nor the time limit, if one chooses. To balance, maybe don't award any XP for such sessions.",4.0,4.24.3,,,end module python challenges great addition would greatly benefit able practice questions like used challenges without need opponent time limit one chooses balance maybe dont award xp sessions,challenges,challeng
6434,2022-07-17 03:30:22,,4,,Ibrahim Mustapha,,,POSITIVE,python,d8d72a95-29d2-4d9a-8853-d33b5e6cba20,https://play-lh.googleusercontent.com/a-/ACB-R5RnyH63e07HClZDyq54VmdUA81FSWWuD7gSsdMh2g,Learning python with sololearn is quite easy even more than i could even think of. Am given this app 4 star not because i have to wait more than 4 hours after using up the lives but just because i wanna keep the remaining one in my heart Thanks sololearn for make programming easy for a slow witted person like me,0.0,4.23.1,,,learning python sololearn quite easy even could even think given app 4 star wait 4 hours using lives wanna keep remaining one heart thanks sololearn make programming easy slow witted person like,"torture breaks, status quo sloth","live, person"
