Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,date,developerResponse,review,rating,isEdited,userName,title,sentiment,reviewId,userImage,thumbsUpCount,reviewCreatedVersion,replyContent,repliedAt,standardizedReview,mentionedFeature,mentionedSynonyms
5,5,5,2019-11-17 17:13:43,"{'id': 11929117, 'body': 'Dear Friend,\nWe are truly delighted to know that your experience with us has been great. It really helps us keep ourselves motivated to continuously improve our content and serve our learners better. If you need any help, feel free to get in touch with us at Hello@prghub.com and it will be our pleasure to assist you!\n-PA\n', 'modified': '2019-11-19T10:37:35Z'}",There are so many apps and courses that promise to give you all the starter materials/info you need to get started. Most fall short of expectations....but not Programming Hub!! This app is honestly one of the best on the market in terms of affordability and value. They add new courses very regularly and the ability to earn certifications is an added bonus (proving to others you know what you’re talking about). I recommend Programming Hub for anyone who wants to keep learning and growing their skills. Their customer support is also amazing. 10/10. Thank you for making an awesome app for aspiring full stack developers.,5,False,DigitalComms,AMAZING app for aspiring full stack developers!!,POSITIVE,,,,,,,many apps courses promise give starter materialsinfo need get started fall short expectationsbut programming hub app honestly one best market terms affordability value add new courses regularly ability earn certifications added bonus proving others know youre talking recommend programming hub anyone wants keep learning growing skills customer support also amazing 1010 thank making awesome app aspiring full stack developers,status quo sloth,custom
6,6,6,2022-10-06 19:30:54,"{'id': 32493312, 'body': ""Hey, We're glad that we’ve been helpful to you. It is our goal to make your learning experience truly delightful and enjoyable. We also have advanced courses for advanced learners like you. Do recommend us to your friends too! :)If you need any assistance, please reach us at Hello@prghub.com and we'll be very happy to assist you! -NY"", 'modified': '2022-10-10T20:34:08Z'}","I’m rating this app 4 out of 5 because it would be nice to add an advance courses section.

Now! Don’t get me wrong for the promo price it’s a great app specially for the entire courses available and a plus for the certified completion certificate especially for beginners. Also if you love to listen more than reading it’s just great, it’s simple and it explains everything very simple. For example I am a financial advisor(licensed) and I have strong skills on investing and trading on stocks and cryptocurrencies so I have a vast knowledge on the field and I want it to give a shot to one of the courses included on this app and it is about creating your own crypto etc. I already know about this crypto world so I took a shot and I saw that it is very summarized and easy to understand for beginners.",4,False,JMcruzPR,4 stars out of 5,POSITIVE,,,,,,,im rating app 4 5 would nice add advance courses section dont get wrong promo price great app specially entire courses available plus certified completion certificate especially beginners also love listen reading great simple explains everything simple example financial advisorlicensed strong skills investing trading stocks cryptocurrencies vast knowledge field want give shot one courses included app creating crypto etc already know crypto world took shot saw summarized easy understand beginners,boosters,special
8,8,8,2020-06-12 08:09:21,"{'id': 16061229, 'body': ""Hi Friend!\nThank you so much for updating your review for us! This made our motivation to provide the best quality content to our learners stronger. If it ain't too much to ask, we hope that you could update the title of your review as well as others may interpret it differently :) If you need any assistance, please reach us at Hello@prghub.com and we'll be happy to assist you!\n-PA\n"", 'modified': '2020-06-18T06:18:09Z'}","This app and its team is very fraudulent.I paid for the get lifetime access but still shows that I need to pay ... the customer support will respond to your queries till the time you have made the purchase and after they will not even respond to you or fix the issue .. there is no customer support number to call only email ...this is fraud team please please please stay away !!!!!!!!!!!!!!!!!!!!!!!!

Update :

The team responded and fixed the issue even though it took few days of back and forth emails .. appreciate it ! Hope it will work without any further issues and will remain life time access as promised ...hence I’m giving 4 stars for showing the honesty to fix it 🙏",4,False,hgy223,Fraud and please stay away from this app,NEGATIVE,,,,,,,app team fraudulenti paid get lifetime access still shows need pay customer support respond queries till time made purchase even respond fix issue customer support number call email fraud team please please please stay away update team responded fixed issue even though took days back forth emails appreciate hope work without issues remain life time access promised hence im giving 4 stars showing honesty fix,status quo sloth,custom
13,13,13,2019-06-05 13:10:29,"{'id': 9046227, 'body': ""Dear Friend,\nWe apologize for the issues you've experienced. As a learning platform, we have to ensure that we only provide precise information to our learners. Please get in touch with us at Hello@prghub.com so that we can work on a solution together and improve your experience :)\n-PA"", 'modified': '2019-06-06T17:19:56Z'}",A good app with a lot of material. I have found a good amount of small typos and logic errors for example: in the IT basics course there is a diagram with arrows labeled “input” “output” “process” when really “process” should be in the middle and “output” should be last. There was a quiz on this later and I’m concerned that if I hadn’t already known that it would interfere with my learning. I tried to leave feedback suggesting the implementation of an error/typo found button so users can report these errors to get them fixed for future customers to they don’t get confused but when I tried to submit the feedback I got an error and couldn’t submit anything. Overall not a bad app and should help you learn the content,3,False,Dawson Paul,Not bad,POSITIVE,,,,,,,good app lot material found good amount small typos logic errors example basics course diagram arrows labeled input output process really process middle output last quiz later im concerned hadnt already known would interfere learning tried leave feedback suggesting implementation errortypo found button users report errors get fixed future customers dont get confused tried submit feedback got error couldnt submit anything overall bad app help learn content,status quo sloth,custom
14,14,14,2020-07-30 16:37:36,"{'id': 16974331, 'body': ""Hi Friend!\nWe truly appreciate your feedback and support. Feel free to let us know if you're confused with a topic and we'll do our best to help you out and make your learning experience a delightful one. If you need any assistance, please get in touch with us at Hello@prghub.com and we'll be very glad to help you out.\n-PA\n"", 'modified': '2020-07-30T16:37:36Z'}",Frick why the heck do I have to buy Pro or share it on Facebook for some of the features. I’m too young for Facebook you morons. Also I bet you would make a lot more money if you lowered the price permanently of buying the pro Version. And I don’t mean a sale I actually mean permanently. If you hack me you would see that I have Facebook but that’s actually just messenger kids. But this is still a good app. Just lower the prices and get rid of that entire share on Facebook Thing. I bet you would have a lot more good reviews and a lot more customers if you just did that. Otherwise this is a great app.,4,True,LJDRAGONMAN,Great but one really bad problem.,NEGATIVE,,,,,,,frick heck buy pro share facebook features im young facebook morons also bet would make lot money lowered price permanently buying pro version dont mean sale actually mean permanently hack would see facebook thats actually messenger kids still good app lower prices get rid entire share facebook thing bet would lot good reviews lot customers otherwise great app,status quo sloth,custom
16,16,16,2021-04-26 02:18:33,"{'id': 22569655, 'body': 'Hello, Apologies for the inconvenience caused to you. This is certainly not the experience, we wanted you to have. We would request you to please reach out to us at hello@programminghub.io . Rest assured, the issue will be fixed. - AS', 'modified': '2021-05-01T20:55:39Z'}","I like it, and can get through the often incorrect English grammar and word use (e.g., “Let’s Revise” ??  it should be “Let’s Review”).  I can’t find the dark mode switch which is advertised in the FAQ as being at the bottom of the settings pop-out from the Home Screen.  I can’t change my avatar.  I can’t pick my iOS voice of choice.  I can’t see all the matching items in a question...the scrolling doesn’t work, and the videos at the end of a module should be at the start. I purchased the 6th anniversary Lifetime Pro package, and I’m hoping you REGULARLY make updates to the app.  Thank you.",3,False,Stuke,"Hmmm, hoping for some app improvements",NEGATIVE,,,,,,,like get often incorrect english grammar word use eg lets revise lets review cant find dark mode switch advertised faq bottom settings popout home screen cant change avatar cant pick ios voice choice cant see matching items questionthe scrolling doesnt work videos end module start purchased 6th anniversary lifetime pro package im hoping regularly make updates app thank,avatar,avatar
18,18,18,2019-12-04 12:43:43,"{'id': 12214828, 'body': 'Dear Panoptic,\nApologies for the delayed response.\nWe would like to thank you for taking your valuable time and giving your genuine feedback. You will be glad to know that we are constantly working on improvements.\nThe content is available offline, you have to download it once and it will stay offline till you have the app installed.\n\nFor In-App purchases, we do have limitations based on platforms hence while making the purchase on mobile platforms the pro version is active only on the platform on which the Purchase was made. However we ask our users to contact us via email to activate the Pro version on other platforms, which is done for free.\n\nThere are number of offers going on within the app, and we extend the offers on user demand. The countdown might have some issues on the implementation end, we will check and fix it ASAP, thank you for pointing it out.\n\nAs for your progress, we would  love to know more details about it to help us understand the issue and work on a solution as soon as possible. \n\nWe appreciate your Time and Efforts to help us make the app better, you can always reach us out at Hello@PrgHub.com for any queries, we will be happy to help :)', 'modified': '2019-12-04T19:19:14Z'}","This app is, an app trying to teach you programming, is riddled with errors. Both in the logic it is trying to teach you and the app it self. 

The app seldom saves your progress. So if you want to do the same lessons over and over again, sure get it. But to me this is annoying and a waste of time I don’t have. 

Second don’t buy into their possible UDAAP violating count down on your special deal price for membership. It appears to count down making you think you need to hurry and purchase but give it an hour and go back in and surprise! It’s reset. Oh also if you want web access too you need to purchase your membership on the web. Buy it through the phone and you won’t have it. They don’t tell you that. 

Everything about this app screams scam to me. There are plenty of sites teaching this stuff for either free or cheap and plenty of books in the library. I figured it may be nice to have something on my phone to jog my memory on my commute to work but boy was I wrong. I’ll just bring my kindle as well.",1,False,panoptic,This isn’t an amazing app. Don’t trust the reviews,NEGATIVE,,,,,,,app app trying teach programming riddled errors logic trying teach app self app seldom saves progress want lessons sure get annoying waste time dont second dont buy possible udaap violating count special deal price membership appears count making think need hurry purchase give hour go back surprise reset oh also want web access need purchase membership web buy phone wont dont tell everything app screams scam plenty sites teaching stuff either free cheap plenty books library figured may nice something phone jog memory commute work boy wrong ill bring kindle well,boosters,special
22,22,22,2021-10-11 06:15:02,"{'id': 26284854, 'body': 'Hello, Apologies for any inconvenience caused to you. We would request you to please reach out to us at hello@programminghub.io . Rest assured, we will try our best to convert it to a more positive experience for you.- AS', 'modified': '2021-11-15T20:49:33Z'}","I asked for a refund because I thought I couldn’t log back in after making an account. I initially thought I made an account because I signed up with Apple. Turns out I could merge accounts, but that wasn’t clear. I now would like to keep the $35 special vs paying $600 because unlike many other apps this breaks down information by going into details. I’d appreciate if customer service would reach out to me to make sure I only pay $35 for pro.",3,False,Ronda!Ronda!Ronda!?,Should make their customer service easier to reach,NEGATIVE,,,,,,,asked refund thought couldnt log back making account initially thought made account signed apple turns could merge accounts wasnt clear would like keep 35 special vs paying 600 unlike many apps breaks information going details id appreciate customer service would reach make sure pay 35 pro,"boosters, status quo sloth","special, account, custom"
24,24,24,2022-06-01 15:18:41,"{'id': 30194849, 'body': ""Dear Friend, We're glad that we’ve been helpful to you. It is our goal to make your learning experience truly delightful and enjoyable. Do recommend us to your friends too! :)If you need any assistance, please reach us at hello@prghub.com and we'll be very happy to assist you! -PS"", 'modified': '2022-06-06T15:40:47Z'}",I started this and I love how they easily explain things for me to understand. I had an issue with the subscription service and when I reached out to the customer service they were prompt and helped to fix the issue quickly. I highly recommend this Application for all those that wanna learn. This team is amazing!,5,False,Te03civiclx,Amazing Application and Customer Support,POSITIVE,,,,,,,started love easily explain things understand issue subscription service reached customer service prompt helped fix issue quickly highly recommend application wanna learn team amazing,status quo sloth,custom
38,38,38,2021-09-14 11:12:58,"{'id': 25189522, 'body': 'Hello, Apologies for the inconvenience caused to you. This is certainly not the experience, we wanted you to have. Thank you for your feedback. Rest assured, this will be rectified.- AS', 'modified': '2021-09-19T11:42:52Z'}","Very buggy app. I tried multiple times to create an account by connecting my Facebook, gmail, and even apple account and it would not let me. I tried signing up for an account too with my gmail and still would not let me create an account so, just as quickly as I downloaded the app, I deleted it right away. This app sounded cool but until those bugs are fixed that are preventing people from signing up to save their progress, don’t waste your time downloading this app.",1,False,PrettyAudri,Buggy App. Don’t bother to Download.,NEGATIVE,,,,,,,buggy app tried multiple times create account connecting facebook gmail even apple account would let tried signing account gmail still would let create account quickly downloaded app deleted right away app sounded cool bugs fixed preventing people signing save progress dont waste time downloading app,status quo sloth,account
41,41,41,2020-05-14 17:21:40,"{'id': 16059826, 'body': ""Dear Friend, we're glad that you're enjoying our courses. You'll be happy to know that we have made some of our courses available for free for a limited time. Kindly do check it out, we're certain that you'll l love it! If you need help with anything, please don't hesitate to reach us at Hello@prghub.com and we'll be more than happy to assist you! :) \n-PA"", 'modified': '2020-06-18T05:20:12Z'}","Im really enjoy of these app for learning programming.I live in iran and i havent any banking card for pay you because my father was dead in 15 years ago and my mom is so old for work and i work so hard for our family and i cant pay for learning but i love to learn english language and programming ,so if i have a chance please tell me.",5,False,Adriam.Mesrine,Thank you,POSITIVE,,,,,,,im really enjoy app learning programmingi live iran havent banking card pay father dead 15 years ago mom old work work hard family cant pay learning love learn english language programming chance please tell,torture breaks,live
42,42,42,2019-10-18 16:48:29,"{'id': 11371057, 'body': ""Hi Friend!\nMany thanks for your awesome review! We're glad to know that our method of teaching has made it easy for you to learn programming. Do recommend us to your friends too! If you need help with anything, please don't hesitate to contact us at hello@prghub.com and we'll be very happy to help you out.\n-PA\n"", 'modified': '2019-10-21T10:33:00Z'}","I’m not big in writing reviews, but man when I tell you programming hub has made it easier for me to increase my knowledge in programming, I’m not kidding and the price is just right especially since you get access to everything for being a pro. Love how they make it easy to engage in the material, thanks programming hub",5,False,justALover,Best programming courses for less!,POSITIVE,,,,,,,im big writing reviews man tell programming hub made easier increase knowledge programming im kidding price right especially since get access everything pro love make easy engage material thanks programming hub,boosters,special
86,86,86,2019-12-19 06:09:38,"{'id': 12525537, 'body': 'Hi Friend!\nThank you so much for your support. We will definitely take note of your feedback so that we can improve our service further. If you need any assistance, please contact us at Hello@prghub.com and we’ll be more than happy to help you :)\n-PA\n', 'modified': '2019-12-22T09:29:55Z'}",I’m using it for free and I’m considering paying for the Pro. My only con is I’ve been trying to edit my name and avatar and it does not allow me even though I add the proper password. Besides that the content is amazing very hands on and detailed and fun way to learn coding!,5,False,Minjane420,Love this App,POSITIVE,,,,,,,im using free im considering paying pro con ive trying edit name avatar allow even though add proper password besides content amazing hands detailed fun way learn coding,avatar,avatar
99,99,99,2021-03-26 19:49:52,"{'id': 21956949, 'body': 'Hello, \n\nApologies for the inconvenience caused to you. This is certainly not the experience, we wanted you to have. We would request you to please reach out to us at hello@programminghub.io . Rest assured, the issue will be fixed. - AS', 'modified': '2021-03-30T20:15:12Z'}","I have purchased the lifetime subscription, and I would really like the ability to change my avatar. For some odd reason the app will not allow me to change my avatar, despite this issue I am pleased with the app",3,False,iosquest,Makes learning to program a nice experience,POSITIVE,,,,,,,purchased lifetime subscription would really like ability change avatar odd reason app allow change avatar despite issue pleased app,avatar,avatar
115,115,115,2021-01-05 17:11:05,"{'id': 20304411, 'body': 'Hello, \n\nApologies for the inconvenience caused to you. This is certainly not the experience, we wanted you to have. We would request you to please reach out to us at hello@programminghub.io . Rest assured, the issue will be fixed. - AS', 'modified': '2021-01-11T06:32:26Z'}",I really want an account to save my progress but when I made an account I couldn’t even click the log in button because when I scrolled down to click it the screen would bounce right back making me unable to click it. No matter how many times I tried.,2,False,KrazyKookie23,Can’t even click the log in button,NEGATIVE,,,,,,,really want account save progress made account couldnt even click log button scrolled click screen would bounce right back making unable click matter many times tried,status quo sloth,account
126,126,126,2021-06-02 23:27:56,"{'id': 23221938, 'body': 'Hello, Our sincere Apologies for the inconvenience caused to you. This is certainly not the experience, we wanted you to have. We would request you to please reach out to us at hello@programminghub.io . Rest assured, the issue will be fixed. - AS', 'modified': '2021-06-06T20:32:54Z'}","I downloaded the app to brush up on my coding skills but upon downloading I noticed that I’m unable to sign into my account on iOS. This app utterly worthless if you can’t log into your personal account because you’d be barred from getting any certificates when on a guest account. 
Don’t waste your money on this app until this issue is fixed.",1,False,SeanPrice13,Worthless,NEGATIVE,,,,,,,downloaded app brush coding skills upon downloading noticed im unable sign account ios app utterly worthless cant log personal account youd barred getting certificates guest account dont waste money app issue fixed,status quo sloth,"account, person"
134,134,134,2020-12-01 12:27:40,"{'id': 19525899, 'body': 'Hi, \r\n\r\nWe were grieved by the experience you had. We have worked hard to make \reverything right. Please update with a more positive rating. It would be gratifying to us. We request you to please reach out to us at hello@prghub.com. Rest assured, your issue will be resolved. Thank you. - AS', 'modified': '2020-12-03T19:55:41Z'}",This app helps break everything down better than any other that I have tried. I would give 5 stars but when purchased it previously and made an account I attempted to go back recently and use my pro version but it won’t recognize I have already paid. I have my receipt and showed the account I purchased with but haven’t received anything.,1,False,TsaikaJen,Really amazing,NEGATIVE,,,,,,,app helps break everything better tried would give 5 stars purchased previously made account attempted go back recently use pro version wont recognize already paid receipt showed account purchased havent received anything,status quo sloth,account
166,166,166,2021-02-23 17:50:12,"{'id': 21289888, 'body': ""Hello, \n\nWe're thrilled to receive such a great rating. Thank you. We are gleeful to know, that you are having a mesmerizing experience with us. We're always at your service, when you need us at hello@prghub.com.- AS"", 'modified': '2021-02-25T12:19:02Z'}","I am currently attending University of Phoenix and this app is a big help in understanding and the how’s of variables, strings, etc... Thank you for making a free easy to understand lingo to programming language, especially C#.",5,False,Dusted Gaming,Simplified,POSITIVE,,,,,,,currently attending university phoenix app big help understanding hows variables strings etc thank making free easy understand lingo programming language especially c,boosters,special
184,184,184,2022-09-29 22:00:59,"{'id': 32493292, 'body': ""Hi Rinny, We'd love to offer everything for free but we need to sustain our team of experts to continuously improve and provide you with the best learning experience. It's not about the social media promotion but a license which is needed to access the pro version.\nPlease get in touch with us at Hello@prghub.com so we can provide you with a solution that will make you smile :) -NY"", 'modified': '2022-10-10T20:32:00Z'}",The app locks the third lesson set behind a paywall or social media promotion. I won’t promote a product on social media and I haven’t seen enough to know if it’s worth pro version. I am planning on uninstalling the app.,2,False,Rinny Kagamine,Unless you plan on paying for the app don’t bother,NEGATIVE,,,,,,,app locks third lesson set behind paywall social media promotion wont promote product social media havent seen enough know worth pro version planning uninstalling app,torture breaks,paywal
264,264,264,2022-03-04 19:07:34,"{'id': 29149255, 'body': ""Hey,\r\nWe're glad that we’ve been helpful to you. It is our goal to make your learning experience truly delightful and enjoyable. Do recommend us to your friends too! :)If you need any assistance, please reach us at Hello@prghub.com and we'll be very happy to assist you!\r\n-PS\r\n\r\n"", 'modified': '2022-04-13T12:50:46Z'}",I give it 5 stars... it can be helpful especially for beginners....,5,False,Drinking beauty,Perfect,POSITIVE,,,,,,,give 5 stars helpful especially beginners,boosters,special
288,288,288,2022-12-29 22:31:07,"{'id': 35298062, 'body': 'Dear Friend\nEach course is designed from its basics so that even beginners can learn easily and we are striving to update our content for experienced learners like you. Can you please provide us with the details of where we could make your experience beter at Hello@prghub.com?\n-KY', 'modified': '2023-03-09T18:23:01Z'}",It is beginner friendly…. I’d like more challenging questions.,5,False,neeks2,Love this!,NEGATIVE,,,,,,,beginner friendly id like challenging questions,challenges,challeng
350,350,350,2019-05-21 12:41:37,"{'id': 8816197, 'body': ""Hi Friend!\nThank you for your wonderful feedback! Our goal is to make your learning experience with us enjoyable and straightforward. Please recommend us to your friends too! :) If you need any assistance, please reach us at Hello@prghub.com and we'll be very happy to assist you!\n-PA"", 'modified': '2019-05-23T09:50:16Z'}",This is great for people who find the “For Dummies” books to be challenging.,5,False,darktownmax,Comprehensive,POSITIVE,,,,,,,great people find dummies books challenging,challenges,challeng
382,382,382,2022-03-24 21:41:15,"{'id': 29149235, 'body': 'Hey \r\nSincere apologies for the inconvenience caused, we understand how frustrating it will be.  Please reach us at hello@prghub.com, so that we could help you better.\r\n -PS\r\n', 'modified': '2022-04-13T12:49:12Z'}",I just bought access to the full app. It advertised as only charging me $35 but $60 was taken out of my account.,1,False,Jamie-Ellen,Wrongfully charged,NEGATIVE,,,,,,,bought access full app advertised charging 35 60 taken account,status quo sloth,account
457,457,457,2018-02-14 00:14:13,"{'id': 4580147, 'body': 'Dear Friend, We sincerely apologise for the delayed response. We are glad to inform you that we Have Launched a New Version for our Application with Lots of New Content, Courses, Features and Bug Fixes. We would kindly request you to Update to the Latest Version to enjoy the Latest Content, Courses & Features. If you face any issues regarding the same, do not hesitate to reach us out at hello@prghub.com. We will surely help you out. Happy Learning!', 'modified': '2018-08-08T14:04:39Z'}","Want the reference app I originally downloaded and not a training app. 

App will not register account to train anyway. Both Facebook and email registration is broken.",1,False,orthological,Update == Trash,NEGATIVE,,,,,,,want reference app originally downloaded training app app register account train anyway facebook email registration broken,status quo sloth,account
459,459,459,2019-04-09 01:05:27,"{'id': 8152985, 'body': ""Hi Friend!\nThank you for your wonderful feedback! Our goal is to make your learning experience with us enjoyable and straightforward. Please recommend us to your friends too! :) If you need any assistance, please reach us at Hello@prghub.com and we'll be very happy to assist you!\n-PA"", 'modified': '2019-04-10T13:06:13Z'}",Great stuff especially for newbies,5,False,owl orange,Great stuff,POSITIVE,,,,,,,great stuff especially newbies,boosters,special
