Unnamed: 0,date,developerResponse,content,rating,isEdited,userName,title,sentiment,matched_python,reviewId,userImage,review,thumbsUpCount,reviewCreatedVersion,replyContent,repliedAt
3,2021-12-25 01:04:29,"{'id': 27712217, 'body': 'Hey there,\nThanks for taking out the time to share with us your review. We appreciate your thoughts. It really helps us to keep going and deliver the best app for learning Python :)', 'modified': '2022-01-28T04:47:32Z'}","Without buying the app, it shows very low amount of ads and still want you to learn with the very friendly graphical user interface, the texts are very easy to read, not too much text and makes you interested instead of boring you to read I don’t know, a chapter book about python? I definitely know that paying for it is going to just be better but I don’t have money yet, so I will start Bitcoin mining lol",5,False,theprofessionaldumbass,Very idoit people friendly lol,NEGATIVE,python,,,,,,,
11,2022-02-05 22:03:21,"{'id': 27889492, 'body': 'Hey there, Thank you so much for your review. This review made our day! We are glad you found our Python app content easy to understand.', 'modified': '2022-02-07T09:20:14Z'}","Super grateful I found this app- they offer a pro version for 9.99 but so far I’ve learned so much it doesn’t seem like I’ll need to upgrade, they offer so much material without the pro version- this is comin from a python beginner",5,False,TERRIBLE-TERRIBLE-COMPANY,Amazing app for learning python,POSITIVE,python,,,,,,,
15,2020-02-14 18:39:56,"{'id': 14687741, 'body': ""Hi there, \n\nSorry for the inconvenience caused.\r\nThis happens when the ad server cannot find the ad to load. Please try to load the ad again later. You can also wait till the compiler usage resets which happens every day at 0000 GMT.\r\n\nHaving said that, we've taken note of this situation and will be looking to solve this. Thank you for your patience."", 'modified': '2020-04-15T16:21:38Z'}",I usually use this app when I need to practice or learn more concepts about python (when I’m away from home) but the flaw with it is that the number of times I can use the console is limit and it becomes more difficult to fully understand concept I just learnt. But the app is great! 10/10,4,False,deathwave2233,It’s a great app BUT......,POSITIVE,python,,,,,,,
16,2019-09-14 18:48:12,"{'id': 10738250, 'body': 'Hey there,\r\n\r\nThank you for your wonderful words and support. We are happy to hear your response to our app. These are what motivates us to do better.\n', 'modified': '2019-09-18T05:25:38Z'}","This is hands down the best python tutorial out there, whether for beginner or experienced programmer who is looking to get into python. A quick throughout tutorial that covers all the python fundamental you will need to know!",5,False,TritonUCSD,Hands down best python tutorial,POSITIVE,python,,,,,,,
23,2022-02-26 03:33:15,"{'id': 28888304, 'body': 'Hi there,\nWe are pleased to know that your experience with us was a good one! Thanks for taking a moment to recommend our Learn Python app to others. Your kind words are greatly appreciated and do let us know if you face any problems. ', 'modified': '2022-03-31T06:20:09Z'}","I’m kind of new to python, and i knew how some functions work, but with this app, i learned way more! Totally recommend.",5,False,wtfghtygrttg,Very good app,POSITIVE,python,,,,,,,
25,2023-01-28 05:30:21,"{'id': 34626649, 'body': 'Hey there,\r\nThank you for your wonderful words and support. We are glad to know our app was useful for learning Python. These are what inspire us to do better.\r\n', 'modified': '2023-02-02T04:14:21Z'}",I like this as a fast and accessible way to learn python. I recommend,5,False,We Heart It ID: ItzBeautie,Easy way to learn,POSITIVE,python,,,,,,,
26,2021-09-27 21:13:00,"{'id': 25735689, 'body': 'Hey Jackie,\r\n\r\nThank you for your wonderful words and support. We are glad to know our app was helpful for learning Python. These are what inspire us to do better.\r', 'modified': '2021-10-18T06:56:04Z'}",Great way to learn for free! Coming from knowing C this app does a really good job of brushing up on basic coding concepts and explaining the more python related elements.,5,False,Jackie Paper1515,Excellent learning tool!,POSITIVE,python,,,,,,,
31,2022-03-11 15:23:49,"{'id': 28890599, 'body': 'Hey there, Thank you so much for your review and kind words. We are so happy to hear you enjoyed learning Python with our app. ', 'modified': '2022-03-31T08:04:41Z'}",This one app teaches python better than my college professor and I wish I was joking. Thank you for this help! 😊,5,False,aaaaaiamded,Review,POSITIVE,python,,,,,,,
38,2022-05-23 15:49:17,"{'id': 29950065, 'body': 'Hey there,\r\nThank you for your wonderful words and support. We are glad to know our app was helpful for learning Python. These are what inspire us to do better.\r', 'modified': '2022-05-25T04:14:54Z'}","I am so happy to be here in this app, it has helped me learn python way easier.",5,False,OrpGoneCrazy,Thanks,POSITIVE,python,,,,,,,
48,2020-07-12 17:21:15,"{'id': 16637739, 'body': 'Hi there,\n\nThank you for sharing your experience with our app. If you have other feedback or suggestions, please write to us at app@programiz.com. We would love to hear from you!', 'modified': '2020-07-15T07:09:22Z'}",I have a lot going up this week so to get more learn to python,5,False,محمد(:,It is a good app,POSITIVE,python,,,,,,,
