Unnamed: 0,date,developerResponse,content,rating,isEdited,userName,title,sentiment,matched_python,reviewId,userImage,review,thumbsUpCount,reviewCreatedVersion,replyContent,repliedAt
11,2021-10-12 19:41:18,,It’s really good. But some times it doesn’t open new stage after finishing the current stage. I needed to reopen the app. After all this is a great idea to learn python. Bravo 👍,5,False,SR Jewel,Excellent,POSITIVE,python,,,,,,,
33,2021-04-08 17:38:41,,Such a useful learning app I’ve ever seen. It has increased my confidence on learning python with enjoyment.,5,False,Asif1971,Great 😊😊😊!!!,POSITIVE,python,,,,,,,
57,2020-11-29 01:10:34,"{'id': 19558060, 'body': 'Very awesome, SMABD. Best wishes with you. Your feedback/suggestions are always welcome at support@programming-hero.com Please keep exploring Programming Hero and keep supporting us. Thanks. Love from Team Programming Hero. ❤️', 'modified': '2020-12-05T13:21:19Z'}","I am having fun learning python through the app 
Kudos to the inventor",5,False,SMABD,App is awesome,POSITIVE,python,,,,,,,
59,2022-08-28 12:43:03,,Fun interactive way to learn python. Thank you !!,5,False,Mcrespo26,Great!,POSITIVE,python,,,,,,,
64,2020-11-30 15:51:51,"{'id': 19558065, 'body': ""Thanks a ton for your amazing feedback, BibhasS. We really appreciate your support. Please keep exploring Programming Hero and keep supporting us. We're working harder to improve your overall learning experience. Thanks so much. Love from Team Programming Hero. ❤️"", 'modified': '2020-12-05T13:21:49Z'}",I now know the basic of python 😊,5,False,BibhasS,Thanks,POSITIVE,python,,,,,,,
1,2023-03-25 09:49:40,,,3,,Eric Griffith,,NEGATIVE,python,ad7cae8b-ce0b-4609-8f98-8b8ab70e0836,https://play-lh.googleusercontent.com/a/AGNmyxZUCivQBJtLX1uKrQtD9EGMuqVBNuJyIW3ZKtvL=mo,"Great app to help you easily learn python. But it's unstable.... You can't run your program... The terminal doesn't work... I think it needs to be tested regularly, update and upgrade.",0.0,,,
24,2023-03-20 09:27:30,,,4,,Adu Richmond,,NEGATIVE,python,887ff042-dd99-46b0-a0e9-447945a0bac4,https://play-lh.googleusercontent.com/a/AGNmyxbUR0_U2ZtLuvIgxXYWIMZu4nN9h1s_kt-ewim0=mo,"This app is very good and has a friendly interface , easy to understand and also works offline online the other apps which consumes a lot of data I recommend it to every beginner in coding but I gave 4 stars because the terminal for downloading python package is not responding I run it but the interface was blank please fix it for the remaining star",1.0,1.4.69,,
60,2023-03-12 04:01:50,,,5,,Nitro,,POSITIVE,python,27f2f2cf-99d7-4181-8226-b469646136b4,https://play-lh.googleusercontent.com/a-/ACB-R5Rz2UzNRKGBv49oqT-Ra7BCz31WZO72rpsZ7m8rkw,this is amazing app for any programming language specially for python. u must download it,0.0,1.4.69,,
84,2023-03-07 17:20:02,,,1,,the ABNORMAL1,,NEGATIVE,python,e196f901-21d2-43a8-b7db-639abe3e5529,https://play-lh.googleusercontent.com/a/AGNmyxb9zPuy319aHcw_OvcpfrobmS57rORcU7x6R-MA=mo,Can't code anything in it. It says the python package is not installed but when you go to install it . It says it's installed . Basically it's there but you'll not be able to use it.,0.0,1.4.69,"Dear uaer, our developer didn't sleep the last few days to solve python terminal issue. They drank 93 litres of caffeine already. The bugs are naughty and strong this time. We aren't giving up.
Keep exploring Programming Hero and stay tuned for Android with Kotlin course coming in next month.
We'll eat the bug by then.
We love you! ❤",2023-03-09 08:23:41
106,2023-03-03 13:12:45,,,5,,Mansoor Ahmad,,POSITIVE,python,00fbbbd7-5a42-4641-a3c0-37a0481319ad,https://play-lh.googleusercontent.com/a-/ACB-R5RZhr7VstE2oGuMdPbAPXLSntxQ_Dc7V8vScMEgnQ,Very good learning game i wanna learn and master python and this app helping me,0.0,1.4.69,,
113,2023-03-01 09:12:10,,,5,,remya suresh,,POSITIVE,python,cc672017-24db-4493-8ddf-de9c45892197,https://play-lh.googleusercontent.com/a/AGNmyxbqKurVicixqOksCPqXGAtqrLqRKxT_VrAWRQas=mo,Nice app for learning coding. I learned python using this app Thank you very very much 🙏🏻🙏🏻,0.0,1.4.69,,
120,2023-02-27 12:57:20,,,5,,Hassan saeed Choudhry,,POSITIVE,python,364f3778-7ed5-4d34-a53f-ffab622e0148,https://play-lh.googleusercontent.com/a-/ACB-R5SPw4Pf_WcqOxu_Oc1f34kAxDWdo0nsuH1W52o-Og,"I am Shocked to see thr content in this app, mean wao , amazing techniques for fast learning, in the digital world there are thousands of videos and lectures for python, i am not even satisfied from any video etc. but this app is Amazing. thanks to developer and the team .",11.0,1.4.69,,
126,2023-02-25 03:08:15,,,5,,Shakib Ahmed,,POSITIVE,python,87ac3a7c-a5ac-40e0-af5d-5fff24e46eaf,https://play-lh.googleusercontent.com/a-/ACB-R5RD-tGY9H2i9_8NYBWz2X9gFIajkyF5ffOz0pnW,best app for learning python. love❤️bd,0.0,,,
132,2023-02-23 13:54:13,,,5,,Kewell Gichuhi,,POSITIVE,python,33fa2e1d-7282-46de-996f-09a1cc3a4e7c,https://play-lh.googleusercontent.com/a-/ACB-R5SmMrZ0mLdzto213UUdwr3o9aD2UldAfs1tA1EopQ,Its a great up .It has tought me almost everything i know about python,0.0,1.4.69,,
160,2023-02-17 08:21:41,,,2,,C. Antoine Jean,,NEGATIVE,python,dbbb0c56-5152-4343-8700-47ded0473d50,https://play-lh.googleusercontent.com/a/AGNmyxYSdoOjZZhfPYS1knWPERLB2VCjqlWxlSDPNQd6Fg=mo,Too buggy. Keeps saying that I don't have python installed. But I do. I use python with a different similar app,1.0,1.4.69,"Dear Antoine, we are extremely sorry for the inconvenience you faced. However, ​try to update the app to the latest version and use it. The problem is fixed on the new update. Please let us know if you found it fixed or not. Love for you! ❤
",2023-02-22 07:44:54
162,2023-02-16 15:16:29,,,5,,dip das,,POSITIVE,python,2d3448f3-7c40-4705-8546-b895dc0a716c,https://play-lh.googleusercontent.com/a-/ACB-R5TW6qOPyJ4Tlyb0fsHxcZA6DCuZeNnD0dHSodXJmA,একমাত্র অ্যাপ যার মাধ্যমে সব থেকে সহজে বাংলা ভাষায় python শেখা যায়।। তাও আবার খুব সহজ কিছু পদ্ধতিতে,0.0,1.4.69,,
166,2023-02-16 04:38:31,,,4,,Jonathan Chanda,,NEGATIVE,python,c0eba936-346d-4504-b75b-0427163ac4b6,https://play-lh.googleusercontent.com/a-/ACB-R5RJJW22gBrDfzX9SzpRQYXj2kKZbnWv1LYUEcXJjw,I am having challenges with getting a certificate I have finished the web development course but couldn't get a certificate even python programming course am always unable to get the certificate,2.0,1.4.69,"Dear Jonathon, we are extremely sorry for the inconvenience you faced. But we are not clear about the issue, to fix the issue and to give you the best experience with our app we need to know them at first. Can you please share the issues with us at support@programming-hero.com? We love you a lot, we want you to have a smooth learning journey! ♥",2023-02-22 07:46:43
171,2023-02-15 01:17:48,,,5,,Emanuel.S,,POSITIVE,python,b88d0bb4-04e2-4210-bfd3-3bf1ca60d7b0,https://play-lh.googleusercontent.com/a-/ACB-R5T7GPBHBIGuMlXQr4ZH0NRRgAXuUqwyTIOYIxW4PA,"This app provide a funny and amazing way for beginners to learn many concepts about programming, but I hope the developers might fix the terminal , when I try to install some python libraries, I receive errors, some libraries like Tkinter that is a built-in library in python is not installed and give errors like Display error",0.0,1.4.68,,
220,2023-02-02 08:38:05,,,1,,ZAXSNAX “ZACINTOSH”,,NEGATIVE,python,c7354ae5-b8c2-4999-98ea-96701c1100b0,https://play-lh.googleusercontent.com/a-/ACB-R5SPmfHmVvMLi5wYiPMpw6SDGjxrSyzPQ7riJi51fQ,"Worked for one day, when I logged back in it said python not found, and further more won't recognize the command to install python. Seems like this was done on purpose or ironically the coding was so bad this was inevitable. Feels like being ripped off. Very amateur on their part, since their ""PROS"" in coding.",0.0,1.4.68,"Dear user, we are extremely sorry for the inconvenience you faced. Please ​try to update the app to the latest version and use it. The problem is fixed on the new update.
Yesterday Grandma was counting the ratings and crying. I figured why today: we're stuck at 4.8 ratings. 😢
You can make Grandma smile. She's baking cake for you today. Love you! ❤",2023-02-22 07:53:26
222,2023-02-01 23:08:37,,,5,,Jesse Raines,,POSITIVE,python,55af1a3c-4e3a-4b35-9010-70ea03b17bcd,https://play-lh.googleusercontent.com/a-/ACB-R5Tzuo2Rcc5Giejrt3wjMDJ_8zCURN3v2GWSvGZ2cA,So far super simple explanations making basic concepts easy to understand. The gamified platform makes it easy to stay involved and eager to learn. Im working through the python course and it's exceeded expectations already.,0.0,1.4.68,,
264,2023-01-24 19:43:03,,,5,,Crisanto Tuates,,POSITIVE,python,4d983bcc-405e-4cef-8a07-cd8ed9ef3d29,https://play-lh.googleusercontent.com/a/AGNmyxaE636zZUvC5uAqgwFyGeFMU7DGkJOi5c6m3pW-=mo,"very nice but I don't know how to install the ""pkg install python""",0.0,1.4.68,,
268,2023-01-24 04:18:13,,,5,,Aayush Jadhav,,POSITIVE,python,3277551c-c0ab-41e2-a7af-1ef04da3d926,https://play-lh.googleusercontent.com/a-/ACB-R5RpPhIHippq7tAsPBKr2yhFbYYlVxvtkABZds86,"I will say,it's just best app for learning python.",0.0,1.4.68,,
284,2023-01-20 10:19:42,,,5,,Ayyan Ayyan,,POSITIVE,python,f79b861d-a668-4c1f-8624-14320ebfa9dc,https://play-lh.googleusercontent.com/a/AGNmyxYDB7J8V_J5fc-zTrVbDdDfyccOC4jJwjBoOpuX=mo,its a very useful app.I have no experience in start but passage of time I learn python.,0.0,1.4.68,,
287,2023-01-20 09:37:03,,,5,,krish__sharma58,,NEGATIVE,python,f0d5db5c-101e-41b4-b452-a4a1c090fdf7,https://play-lh.googleusercontent.com/a-/ACB-R5QjFXs3OAboCjvNxbYiHJnJ6R3xGWicaXFl3X4AJQ,This app is good but it says run terminal and type pkg install python I've done it but after 2 days it says install python but I already did it and the terminal not working if I type to install I reinstalled the app and it fixed but after 2 days it happened again and I reinstall and after 2 days it's happening again and again pls fix this it is a great app and I want to use it without any issues,0.0,1.4.68,,
303,2023-01-18 08:47:52,,,2,,Afrorj Jahan,,NEGATIVE,python,f847f586-335e-48d8-9635-64f179014100,https://play-lh.googleusercontent.com/a/AGNmyxYcQVTVuXFfWbxQATqyxSNuo399GlgQ2OA18v79=mo,I am not able to download python.Why ?,0.0,1.4.68,"Dear Afroj, Grandma is very much worried to know that you are not able to download python. She wants to solve your issue right now, but she needs some information about the issue, can you please mail at support@programming-herp.com writing your issue in details? We'll try to fix it asap dear. Grandma and we love you a lot! ♥",2023-01-22 06:57:33
315,2023-01-15 13:42:39,,,5,,Ayush Kesta,,POSITIVE,python,c8411db6-7f5f-45ba-807a-f3c9161270bc,https://play-lh.googleusercontent.com/a-/ACB-R5SOrPgCyy3fRBzW4ep4vHIA7zGKb41Sc8o8F-cZhg,programming hero your. real hero because you help me to learn python whitehat jr give 144 classes rs 1lakh but you free difrence about you and white hat jr and etc coding learning paid app is he give personal teacher and you don't. but in free of cost this is best app I found,0.0,1.4.68,,
323,2023-01-13 13:37:27,,,5,,Sandeep Rachotkar,,POSITIVE,python,6e54945d-ab2e-45f0-b4b1-eb24a7eef6a4,https://play-lh.googleusercontent.com/a/AGNmyxaFqD6LUeXQVxNOjz7HBXl9IZE2ursmaUrD7HZU=mo,it's helpful for all python bigeners which have interested in python programming language.its easy to understanding python programming,0.0,1.4.68,,
332,2023-01-11 08:36:40,,,5,,Musa Kaleem,,POSITIVE,python,a8bd3038-ff9f-46cd-9960-7cde1900a1d6,https://play-lh.googleusercontent.com/a/AGNmyxZIUX5ugzyfimSy98w0wwSpbmiWsBItnq9rhrRb=mo,It is an amazing opportunity for me to learn python and other programs,0.0,1.4.68,,
333,2023-01-11 02:33:22,,,1,,F.R,,NEGATIVE,python,12126572-c5b0-48dc-a6db-fe31754a7496,https://play-lh.googleusercontent.com/a/AGNmyxYus5akIZQ6mIEtuML-zpD6ipek8B9KOAfmTCPY=mo,"Disappointed with the service, thinking paid for a premium would help but still it still the same. 1. There is no response from the with the live support. 2. The explanation in the lesson is not detailed. 3. Inable to run command. Error messaged shown "" python not found. To install python, go to terminal and run this command. pkg install python"". When written at the terminal, messages shown command not found.",1.0,1.4.68,,
352,2023-01-06 16:05:31,,,5,,Abraham Lawal,,NEGATIVE,python,dc2c61b9-a29e-40fc-bc8e-e249b546886e,https://play-lh.googleusercontent.com/a/AGNmyxbqdLXs-pfSDo-ik2qzSxjsqzoj9_LpuCGfTf2B=mo,"The app is wonderful but update is slow. The lectures are great, especially for python.",0.0,,,
361,2023-01-04 23:06:47,,,3,,tarunu sri,,NEGATIVE,python,ba16ad06-08b0-43e4-9e09-cd359a0cf300,https://play-lh.googleusercontent.com/a-/ACB-R5TalJNkQVefDm-QEBUAZ7j57xb4nfNx1bGXn9Vs,How to take test in this app ?? installing python is working for 1st time only but not second time. Do u have any other web to practice codes and to take tests ?? If do kindly share it.,0.0,1.4.68,"Dear Tarunu, our developer didn't sleep the last few days to solve python terminal issue. They drank 93 litres of caffeine already. The bugs are naughty and strong this time. We aren't giving up. Keep exploring Programming Hero and stay tuned for Android with Kotlin course coming in next month. We'll eat the bug by then. We love you! ♥♥♥",2023-01-05 09:03:26
365,2023-01-03 08:25:08,,,2,,Davidson Onwumelu,,NEGATIVE,python,4f640415-1bb7-4f5d-a4e4-9718837e0be8,https://play-lh.googleusercontent.com/a/AGNmyxbhCzTA69fZWH6usevGjPMZSycC2RcTBdeoH8yG=mo,"I updated this app and can't run my codes. It is always telling me to type ""$pkg install python"" in the terminal which I do but to no avail. I would appreciate if the developers could look into this. Thank you.",1.0,1.4.68,"Hey, Davidson, our developer didn't sleep the last few days to solve this issue. They drank 93 litres of caffeine already. The bugs are naughty and strong this time. We aren't giving up.

Keep exploring Programming Hero and stay tuned for Android with Kotlin course coming in next month.

We'll eat the bug by then.

We love you, Davidson! ♥
",2023-01-05 08:53:29
