Unnamed: 0,date,content,rating,isEdited,userName,title,developerResponse,sentiment,matched_python,reviewId,userImage,review,thumbsUpCount,reviewCreatedVersion,replyContent,repliedAt,standardizedReview
2,2019-07-02 05:58:30,"I love it so much because it’s one of the best top language apps I installed and it matches my situation as I tell I signed up for computer programming in a couple months and this app I garantee will help in so much. Honestly everyone I know should download this app because it doesn’t just accurately teach you python it also brings you knowledge, I love how there is no pop up ads or a load of them speaking of that. And I would love to thank everyone who worked on data camp and helped me and others. Good job guys on making this wonderful game and thank you for putting you knowledge to make this experience. Lastly this is my first review I have ever written in the AppStore and I really think y’all are special. Print(‘thanks’)",5,False,Ebolenza,Thank you so much for this amazing app,,POSITIVE,python,,,nan,,,,,nan
11,2022-06-04 03:35:37,"I’ve been pretty impressed with this app. After learning the basics I was looking for an app to help me learn intermediate python. I ended up taking the beginners python since it was more comprehensive than what I used to learn python originally. The instructor videos don’t bring it to K12 level, but they certainly don’t talk over your head. They do a great job explaining tricky concepts in a way that makes it straightforward to try on your own. Would definitely recommend DataCamp - I even became a paid member. 🤙🏼😎",5,False,OhhRyan303,Accessible and Comprehensive,,POSITIVE,python,,,nan,,,,,nan
23,2020-09-14 22:15:24,"Videos and interface is very intuitive. They teach you from scratch or from any level you’re already at. A lot of courses to choose from and an active community on slack that you can collaborate with and get help from. Compared to other sites/apps like this, datacamp tends to have more practice than other places and that’s why I picked it. They’ve delivered so far and I just finished the intro to python.",5,False,raj fs,Awesome! Worth it.,,POSITIVE,python,,,nan,,,,,nan
28,2021-07-22 19:53:24,The videos/lessons are pretty similar to the computer version. Although I have noticed that lessons that I am working on are not showing up in the app and there’s no way to search for your lesson. Also when yo use etc a ‘track’ it doesn’t let you change... I clicked on the python track but I am trying to learn multiple languages so it won’t let me switch between the different tracks,3,False,Trollforlife,Good for learning hard to navigate,,NEGATIVE,python,,,nan,,,,,nan
31,2019-09-04 20:27:58,"For some reason I clicked with this app more than others. Was using sololearn for a long time but, I’ve learned a lot more about python basics through DataCamp better than any other coding app so far. The difference was the retention, the way the questions are worded, and how the information is formatted. Better all around than other apps I’ve used to learn python.",5,False,Tyler53121,Vs. other apps,,POSITIVE,python,,,nan,,,,,nan
32,2020-07-21 16:46:22,I am a PhD student in Earth and Environmental Sciences and this app was fundamental to me learning python. The beginner lessons are very well done and accessible to all! I also really appreciate the “streaks” and the daily practices. They “gamify” the daily challenges and it really helps and is fun to keep up a daily streak! Thanks so much for developing a great app. I recommend it to everyone who asks how to get started with python.,5,False,Intrepidtraveler7,The Best Way To Get Started Coding!,,POSITIVE,python,,,nan,,,,,nan
35,2020-07-09 02:07:30,"I have used a couple of other programs to learn Python and while they laid a solid base, DataCamp just jumped into the things that I was the most interested to learn (pandas, numpy, matplotlib, etc.). After going through the beginner and intermediate python and R courses, I would highly recommend this to anyone interested in learning about how to become a data scientist.",5,False,Will.I.Am4112,Great program!,,POSITIVE,python,,,nan,,,,,nan
37,2019-11-27 23:13:28,"Excellent supplemental or foundational tool to learn python for novice and intermediate level student. Really well thought out lectures and questions. Wish they could add more questions to test skills at the end to review overall content based on level to bring all the content together. Regardless, this program is top shelf!!",5,False,Msbbk110,"maximize efficiency, time, cost",,POSITIVE,python,,,nan,,,,,nan
64,2019-10-08 06:04:38,I’ve gone to a lot of apps and videos to try to learn python and this app was the easiest to use and understand for sure. It covers pretty much everything you need for basic coding and it’s free too. It really is the whole package.,5,False,Gerry Hundley,The Whole Package,,POSITIVE,python,,,nan,,,,,nan
123,2022-10-25 16:44:08,"Been trying to learn Data analyst course with R and keeps putting python and sql for ungodly known reasons instead of the current course that I’m taking.
Keyboard is slow and buggy, keeps putting in inputs I’m not selecting or typing at all.",2,False,hooterslover,"Slow keyboard, buggy",,NEGATIVE,python,,,nan,,,,,nan
126,2019-02-21 07:50:29,I’ve had a great time learning python with this app. Fun challenges and tutorials. Mixing this app with the only website is key. Good stuff for anyone wanting to learn data science.,5,False,VisionReached,Awesome app for learning 👏,,POSITIVE,python,,,nan,,,,,nan
135,2021-02-13 20:58:37,It has really helped me learn python for my advanced decision analytics class. Really love the occasional problems thrown in to check on your learning,5,False,ReidD92,Great help,,POSITIVE,python,,,nan,,,,,nan
139,2020-01-06 02:30:15,"I think this is the one of the best apps for people like me who just started using python, It has helped me a lot with it and I’m so grateful! Thanks!",5,False,person_beast96,Great app!,,POSITIVE,python,,,nan,,,,,nan
154,2022-07-06 14:15:32,"One of the first exercises has you calculating ROI, I had no idea what the app wanted me to do. I tried (a - b / b)*100, I tried using an exponent. Can't really be bothered to keep trying. Guess that's what I get for learning python on a phone app.",2,False,JonestownMassacre,Not happy,,NEGATIVE,python,,,nan,,,,,nan
191,2019-03-11 22:04:01,"What an app. Learning python very easily. Learned R pretty fast.

Hope they introduce advance python and R.

Just love the app",5,False,subhodip maulik,"Super fun, super easy to learn",,POSITIVE,python,,,nan,,,,,nan
208,2020-02-05 21:53:49,"Transferring from MATlab to python for school and this app is great, a bit like duolingo for coding.",4,False,Platypus135,Great for beginning to learn python.,,POSITIVE,python,,,nan,,,,,nan
247,2022-05-26 03:15:12,Why does it keep crashing now that I am on intermediate python?,1,False,Cameron Dilney,Crashing,,NEGATIVE,python,,,nan,,,,,nan
281,2017-10-23 23:49:13,Awesome way to get started with python. Highly recommend.,5,False,thomas929292,Great way to learn python,,POSITIVE,python,,,nan,,,,,nan
283,2017-12-31 20:03:11,dc makes learning so easy. i was stuck in my python path but i have progressed alot in only 2 days of intermittent use,5,False,-Fosite-,can you make 10 stars an option.,,POSITIVE,python,,,nan,,,,,nan
289,2018-11-25 00:12:57,At this point the iPad app should be a fully supported device even the ability to compile or run python,2,False,Cicorias1,Landscape support in iPad,,NEGATIVE,python,,,nan,,,,,nan
300,2022-08-16 13:06:28,"I have been trying to learn python programming for a couple of months. I bought books, watched YouTube videos, and watched coders on twitch. I came across DataCamp and tried the free modules to fill in the gaps of my patched together learning. After two days of going through the modules, I hit the pay wall and could not find my credit card fast enough. I learned so much in that time that I paid for the certification. Then I found all the other learning features. I am sold on this.",5,False,Swkprof,Use this service!!!,,POSITIVE,python,,,nan,,,,,nan
332,2019-04-02 12:51:05,"Learning to code is intimidating. 
DataCamp makes it a lot easier.
Although, it’s still challenging when you’re trying to learn a new skill.  I’ve been learning python and the app is great.",5,False,Upgrade.,Great app,,POSITIVE,python,,,nan,,,,,nan
333,2019-03-26 01:36:57,"DataCamp on iPad can help folks learn and practice programming concepts. It does it in a way that lets the user figure stuff out.

This helps me practice concepts I’m learning in my CS classes.

I’ve got R, SQL and Python classes on DataCamp. It helps me practice skills. Also, just reading code and figuring out what it’s doing is helping me in my algorithms class where we are using python.

👍👍",5,False,E86HotWheels,Soft intro to programming,,POSITIVE,python,,,nan,,,,,nan
340,2018-04-08 14:54:16,This app is great when you don’t have a computer in front of you . It’s able to give you the basic concepts you will need to code your python. I love it. When I lunch or break at work I go to this app and work on this app. Repetitive skills will help you remember.  Bravo,5,False,ace29703,Great,,POSITIVE,python,,,nan,,,,,nan
23,2023-03-14 14:05:14,,5,,FOREXGISTS,,,POSITIVE,python,d72f0ef8-fd5d-4b82-8a6c-c52c4b100040,https://play-lh.googleusercontent.com/a/AGNmyxa1NfVMi0SnGUnP0mMYRR9WYKeWF4lr1huaDmO4=mo,"Data Camp is the best online learning center. With your phone you can get to learn python or other programing language, at data camp it's a compulsory thing to understand one topic before moving to another. Data camp makes it all very simple, as it's a learn and practice experience. I would never have understood python if not for Data Camp. Thank you for the innovation of Data camp. I love you guys.",2.0,70.0.0,,,data camp best online learning center phone get learn python programing language data camp compulsory thing understand one topic moving another data camp makes simple learn practice experience would never understood python data camp thank innovation data camp love guys
37,2023-03-09 22:01:06,,5,,Peter Ryan,,,POSITIVE,python,42e5cb23-173b-409e-8023-d1bc411d8cf1,https://play-lh.googleusercontent.com/a/AGNmyxZyoGO9dYh_Uzl229RlgZqUK8C30nXlEU7Y4j87=mo,Great way for me to learn python and sql. It had enough value to me that I renewed for a second year.,0.0,,,,great way learn python sql enough value renewed second year
103,2023-02-17 08:16:35,,5,,Joy Ologun,,,POSITIVE,python,34d7d07b-c550-4ab7-bed0-5b86e945c6e8,https://play-lh.googleusercontent.com/a-/ACB-R5QxVp-0-vu-yTJ9KqFgABD8QmLwy3nbvhLWb4IiPg,Awesome experience. Data Science with python was made easy here. Thank you.,1.0,71.0.0,,,awesome experience data science python made easy thank
184,2023-01-19 01:06:17,,5,,David Gadyt,,,POSITIVE,python,2012bc8e-0e2a-44de-ba1e-dc6cafca4ebc,https://play-lh.googleusercontent.com/a-/ACB-R5STcHhAl6sqNi8OFSDFaG4d0OC1RqrI1W5LjHVDcw,Great app for learning python and Machine learning!,0.0,69.0.0,,,great app learning python machine learning
216,2023-01-11 00:20:53,,4,,Douglas Pittman,,,POSITIVE,python,b916672a-2480-40be-a621-745a9593d61c,https://play-lh.googleusercontent.com/a/AGNmyxbtKdcB2Tk6uPdc_EmuuULXAoweFAaD8CJsJpcO=mo,Excellent way to get better at python,0.0,69.0.0,,,excellent way get better python
250,2023-01-01 07:15:15,,5,,Muhammad Safwan,,,POSITIVE,python,7080f557-15b3-4e8f-b049-081ff968f76f,https://play-lh.googleusercontent.com/a-/ACB-R5TwNpfc9rOOt781boO9DNsVwPEgI0-GdH-67iQI,The best app for learning python,0.0,68.0.1,,,best app learning python
295,2022-12-13 12:19:18,,5,,Ahmed Khalil,,,POSITIVE,python,abad8e12-9d1a-4c9b-afa3-c3000f0303ac,https://play-lh.googleusercontent.com/a-/ACB-R5SPD0Bg6_Y7k6_NE4NNzaHnCYgSFC79CNmLQcm8SQ,Helped me learn python like no other,0.0,67.0.1,,,helped learn python like
413,2022-11-02 06:05:02,,3,,Yinka Adeosun,,,NEGATIVE,python,744ea648-e506-47b8-b7af-ce2e15b0b3ea,https://play-lh.googleusercontent.com/a/AGNmyxaP_XHgg4PY7k-FKqhWUvLWjXkdNgI4oHy4rPUW=mo,The ipython command prompt is broken! Sometimes ordinary print function is not callable. Erase of commands is difficult using back key button.,0.0,64.0.0,"Our Support team would be happy to address your issue and take a look! In order to better address your inquiry, can you submit a Support ticket request here (https://support.datacamp.com/hc/en-us/requests/new) so we can troubleshoot with your DataCamp account?",2022-11-04 13:57:19,ipython command prompt broken sometimes ordinary print function callable erase commands difficult using back key button
475,2022-10-14 09:01:35,,5,,Joseph Garcia,,,NEGATIVE,python,d86cb5bd-ae8c-49e0-bb8e-ebe06a3c0691,https://play-lh.googleusercontent.com/a-/ACB-R5Qh2D64tk3SOobhoYJLIVyU3zT4CeWE0uQLcxMsxA,Im leaning python!,0.0,62.1.0,,,im leaning python
657,2022-08-27 19:50:51,,5,,Urica Kate,,,POSITIVE,python,a04adf34-ab4c-45e5-9184-fc471e346ebe,https://play-lh.googleusercontent.com/a-/ACB-R5SqhnaPT2X3zlxPwxpSz0Og6ZqPCk8BNrktIhyEbw,"I can't believe that I'm about to learn Introduction to python. Tech language felt so scary and heavy to me until I got accepted into datacamp, and so far it's been a very beginner friendly journey. I'm so excited to switch into tech and for some reason I'm very confident that Data Camp will lead me home. Thank you so much guys.",0.0,59.0.0,,,cant believe im learn introduction python tech language felt scary heavy got accepted datacamp far beginner friendly journey im excited switch tech reason im confident data camp lead home thank much guys
658,2022-08-27 07:33:41,,5,,Augustine Inusa,,,POSITIVE,python,68269f2b-adf9-432d-8db2-8c7b6d585957,https://play-lh.googleusercontent.com/a/AGNmyxabvK_RJ-lzWZ8wUeaJ4Cs9aDMeWnyCsJoIrn0o=mo,"Thank you very much Datacamp. Even though I haven't been able to purchase the paid version, I still feel well educated on python. Hugo is a good instructor.",0.0,,,,thank much datacamp even though havent able purchase paid version still feel well educated python hugo good instructor
684,2022-08-22 12:31:20,,5,,nzube iweka,,,POSITIVE,python,c4f139f6-1249-4a51-8bfe-7c4dcad5f357,https://play-lh.googleusercontent.com/a-/ACB-R5TdkeYEwhQNmWRv3tsogBHBQomb09WueiP09Ky2wg,"Very good, I strongly recommend for beginners in python.",0.0,,,,good strongly recommend beginners python
743,2022-08-15 04:10:35,,5,,aisha darvesh,,,POSITIVE,python,1c8a7f01-64ec-496d-bf7b-4e4acd81d69d,https://play-lh.googleusercontent.com/a/AGNmyxa8WBb7UxGSfJ5h-DQeCNWZ0amnJrjNUq8byH2S=mo,Perfect app for learning python,0.0,58.0.0,,,perfect app learning python
746,2022-08-14 22:47:22,,5,,Antonio Gagliardo,,,POSITIVE,python,f68c636b-d5dc-4888-8cbb-730f52ac9ad2,https://play-lh.googleusercontent.com/a-/ACB-R5R9ZTf6T6wB-L50sjQVOJfx5GD-rARhBF-tPuNMWw,"So far uve done only 2 units of sql and 1 from python, and i love that it heavily focuses in practice instead of theory. I also love the option of projects. I still have ti see whats up but so far so good.",0.0,59.0.0,,,far uve done 2 units sql 1 python love heavily focuses practice instead theory also love option projects still ti see whats far good
791,2022-08-01 00:15:19,,5,,Alex Tamo,,,POSITIVE,python,ff0887d1-b5fa-4bd2-91c7-a1cd321a1a64,https://play-lh.googleusercontent.com/a-/ACB-R5TPlRu6UjtDnIRHPeFDVbuNP9R65NYx9i54fXc6dQ,"If you want to understand data analysis with python or R, this is the place to be.",0.0,57.0.0,,,want understand data analysis python r place
896,2022-07-12 06:16:14,,5,,Faheem Booher,,,POSITIVE,python,d7205e4b-d4cd-4373-bb76-e53161d13a2c,https://play-lh.googleusercontent.com/a/AGNmyxbnbY9Plh0kTvzZ2Vi423ggbTJxoZciGpwe5axu=mo,Best app to learn python,0.0,,,,best app learn python
985,2022-06-25 01:22:35,,5,,Shurinum Aaron Peter,,,POSITIVE,python,5359cbeb-fbba-4f7d-9423-3e51dcd9d49b,https://play-lh.googleusercontent.com/a/AGNmyxbCw2TDKheW83-UJ6PIn8BGvl2bhtQjjH3UikaS=mo,"Very easy to learn, easy to operate. I learned alot about python in just a few weeks. Thank you.",0.0,54.1.0,,,easy learn easy operate learned alot python weeks thank
989,2022-06-24 10:36:23,,4,,Chris Corneille,,,POSITIVE,python,6537f6e8-0c23-40df-9c6f-a33961a8c101,https://play-lh.googleusercontent.com/a/AGNmyxYsd5vuV3JhyaUhqlPtYbTWyKJqeOJVaTyEaeHp=mo,"Currently working through the Python Fundamentals Track (20+ modular course). It's more expensive than Udemy, but it's obvious why. Production is very good. The USP for me was the interactive python shell. You're introduced to a concept via a video, then apply it using real data. You can learn at your own speed and complete a daily challenge on what module you're currently studying. Hugo is good at keeping you motivated, funny guy.",0.0,55.0.0,,,currently working python fundamentals track 20 modular course expensive udemy obvious production good usp interactive python shell youre introduced concept via video apply using real data learn speed complete daily challenge module youre currently studying hugo good keeping motivated funny guy
993,2022-06-24 02:52:04,,5,,Oluwaseun Ogunjobi,,,POSITIVE,python,2c0957f0-19d5-4904-a7f0-2a2ac5462830,https://play-lh.googleusercontent.com/a-/ACB-R5RGMnfOTrTD1KqaFjULGFTE0rhH5nzJcRm2NUSC9g,It's a very good app and educative one. I recommend this app for beginners who want to learn python language.,0.0,55.0.0,,,good app educative one recommend app beginners want learn python language
1039,2022-06-16 03:37:16,,5,,joseph kyalo,,,POSITIVE,python,6a76c130-a55f-45de-96ab-36e99cbffbd2,https://play-lh.googleusercontent.com/a/AGNmyxZlZS0N322dC3ad9iCgFJX4lvItE89rvUMXD4t1=mo,Really good app for learning python for data science,0.0,53.0.0,,,really good app learning python data science
1081,2022-06-06 19:46:09,,5,,Heine V.,,,POSITIVE,python,a113c13a-bef0-4feb-b146-78b2fcbd0f72,https://play-lh.googleusercontent.com/a-/ACB-R5Q5DIRh_RfGzDPmgQeyKAKKlKfn98_XLH0WRa-o9wY,"Excellent so far, I just did the python foundation course with no issues from the cell phone",0.0,53.0.0,,,excellent far python foundation course issues cell phone
1104,2022-05-31 08:07:27,,5,,Lagnajit Tripathy,,,NEGATIVE,python,8b9824aa-8db8-4542-a8e1-0908a62b43b5,https://play-lh.googleusercontent.com/a-/ACB-R5TcCLx4Cd2VZq_xpWLx5kk6zP3jAZ9xU0uq-Qs6woE,"How to get Different tracks as it's only showing python, R, SQl in the list I want Data analyst in Power BI in the application. I can see thia track in web version but not in the application.",0.0,53.0.0,,,get different tracks showing python r sql list want data analyst power bi application see thia track web version application
1158,2022-05-20 01:15:42,,5,,Chitrakshi 25,,,POSITIVE,python,0e733e82-29fd-4dbf-bdc1-312870e66561,https://play-lh.googleusercontent.com/a/AGNmyxaOqTxutwH1QZjjfGJERSVZOrmdtHmBLeB4u0zm=mo,It is an amazing app as i wanted to become a data scientist and this app is of great help to me......currently I m learning python from this app.........as soon as i complete a lesson............i eagerly wait for the next lesson to unlock .........i continously check the timer to know how much time is left for next lesson to unlock😬......overall i like this app and is best for learning language.........,0.0,52.0.0,,,amazing app wanted become data scientist app great help mecurrently learning python appas soon complete lessoni eagerly wait next lesson unlock continously check timer know much time left next lesson unlockoverall like app best learning language
1297,2022-04-22 04:46:21,,5,,Babagana Bulama Wasaram,,,POSITIVE,python,04d0726d-02ad-458c-b967-b13e856483be,https://play-lh.googleusercontent.com/a-/ACB-R5RI2Cq6OPKT68-rdMHEME2-_xHSM9wTOE6jSaz4_g,"The best data science, machine learning, python, R and SQT online school I am currently learning in.",0.0,50.0.0,,,best data science machine learning python r sqt online school currently learning
1319,2022-04-20 13:31:55,,5,,Christianah Olugbenga,,,POSITIVE,python,58fe4689-ea5e-484f-a9a1-a4648204a2a2,https://play-lh.googleusercontent.com/a-/ACB-R5TdxCN0s_DpUWq0YBiRIGMIm0hvr3pBJFalmLN_aQ,"Datacamp has made coding easy to learn, anyone can learn python language with datacamp",0.0,50.0.0,,,datacamp made coding easy learn anyone learn python language datacamp
