Unnamed: 0,date,content,rating,isEdited,userName,title,developerResponse,sentiment,matched_python,reviewId,userImage,review,thumbsUpCount,reviewCreatedVersion,replyContent,repliedAt,standardizedReview
11,2021-03-23 03:17:22,"I really want to like this app, as the devs definitely have a sense of humor and I love their mission. But despite having some rudimentary knowledge of several different coding languages, I find myself confused and befuddled by their python lessons. This really can’t be used by beginners. (Not to mention, there are some obvious grammar errors that need to be cleaned up.) As a free app, it’s fine. The frustration is worth it for the knowledge. But as a paid app, it needs to be smoothed out and proofed to be worth the money.",3,False,Ciavyn2,Not for beginners,,NEGATIVE,python,,,nan,,,,,nan
12,2018-12-25 16:57:53,"I wish I could put down a sixth star. This is one of the most amazing coding apps ever. Before I started using encode, I was not interested in coding and thought it to be very tedious. However, after encode I am addicted to python and complete four or five units a day. After python I plan to look the java script and css/html courses encode has. Amazing!! I totally recommend this app!",5,False,NarutoUzamaki787,Into the coding verse,,POSITIVE,python,,,nan,,,,,nan
100,2018-02-13 00:49:31,I am a beginner and this has really helped me understand the basics of coding (python),5,False,Dan Rey 28,BEST APP FOR BEGINNERS,,POSITIVE,python,,,nan,,,,,nan
163,2020-02-23 16:25:10,"Knowin is great and all but some of this I do not get.And my dad told me about python, a coding thing not an app it’s a coding language.And I on level 2 and they still have not said one word about python.And JavaScript is not an app it is another coding language.And all they are teaching me is JavaScript.I am on level 2 right now and I still do not get JavaScript, and in each level there is 4 lessons 1 not 2 not 3 but 4.I hope you will like Knowin this coding app I do bye",5,False,Angel Cruise,All there is is JavaScript,"{'id': 13757198, 'body': ""We hope you're enjoying learning to code! To find out more about Python you can change the language you're learning in the skills tab."", 'modified': '2020-02-28T10:00:51Z'}",NEGATIVE,python,,,nan,,,,,nan
168,2019-07-08 14:36:20,"I was really enjoying encode and how you could play with the interpreter in the previous version and i was learning a lot. I even purchased the pro version! It was helping me to learn the syntax by allowing me to type in the full code myself and play around with it.
With the recent update “refresh” to Knowin,  it doesn’t feel interactive. I don’t feel like I’m using a python interpreter.
I can’t edit the code to try to understand a certain piece of syntax or play around.

It looks nice. But I am absolutely not happy with this update. I’m let down because I was learning so much before.
I’m not going to be using the app until this is fixed (if it gets fixed)
it just feels too much like I’m taking a guided tour through a window now without much interactivity.",2,False,GravyT,Not learning much since recent update to Knowin.,,NEGATIVE,python,,,nan,,,,,nan
9,2023-02-03 03:31:58,,5,,Salman Akhelarab,,,POSITIVE,python,19302811-d033-4b12-ab5b-e012b7fbeab7,https://play-lh.googleusercontent.com/a-/ACB-R5SrLaur_5t9r9GpQjqKAFRAnqyPfv5-m3IlBCkc,Really good app for complete beginners. I recommend python.,0.0,4.7,,,really good app complete beginners recommend python
59,2022-05-05 12:49:46,,5,,Eduard Garcia,,,POSITIVE,python,fc079a08-ac4d-4498-9367-1d67b61093f1,https://play-lh.googleusercontent.com/a-/ACB-R5RdxsYd7ztSA-7SUz9h7sd7vDfkQ1X13EAmZNe_wQ,"python is the easiest to learn, done it in 2- 3 days",0.0,4.7,,,python easiest learn done 2 3 days
106,2021-10-17 14:27:05,,5,,Bhavik Mahalle,,,POSITIVE,python,c529108f-e699-4fed-a398-405a93052b97,https://play-lh.googleusercontent.com/a-/ACB-R5ToJn16WB7JDltRfiQgTgFiroLiTevTX5koyUtrYA,"thank you very much <3, i am back here after few years. this app teached me basics of programming and motivated me to learn more. but somewhy at ending of python course i switched to other app.",5.0,,,,thank much 3 back years app teached basics programming motivated learn somewhy ending python course switched app
124,2021-06-13 01:03:30,,5,,Raghu Ram,,,POSITIVE,python,8dbddffc-4533-4cb0-a3f1-1613a4f23aee,https://play-lh.googleusercontent.com/a-/ACB-R5SIAROB1lYAVUDVuciuXMkUBK16fKSusGTi0WzGgA,"Excellent app to learn python,html and JavaScript absolutely free",0.0,4.6,,,excellent app learn pythonhtml javascript absolutely free
128,2021-05-15 12:53:36,,4,,frank feruzi,,,POSITIVE,python,8ef4d94b-bcae-42a9-9323-1ceb8b7acf4d,https://play-lh.googleusercontent.com/a-/ACB-R5RZYAtDZ756YP4OvJ_dtKfOlghN52gdns73WX_6uA,I enjoy reading python,0.0,,,,enjoy reading python
