,app,feature,positiveCount,negativeCount,score
0,codeacademy,daily streaks,1,-3,-0.5
0,codeacademy,points system,0,0,0
0,codeacademy,progress bar,0,0,0
0,codeacademy,strike habit/competition,0,-1,-1.0
0,codeacademy,social discovery,0,0,0
0,codeacademy,challenges,10,-1,0.8181818181818182
0,codeacademy,leaderboard/competition,0,0,0
0,codeacademy,boosters,19,-5,0.5833333333333334
0,codeacademy,virtual economy,0,0,0
0,codeacademy,torture breaks,5,-6,-0.09090909090909091
0,codeacademy,visual grave,0,0,0
0,codeacademy,high five,0,0,0
0,codeacademy,last mile drive,0,0,0
0,codeacademy,anticipation parade,0,0,0
0,codeacademy,avatar,0,0,0
0,codeacademy,win states,0,0,0
0,codeacademy,voting,3,-5,-0.25
0,codeacademy,crowning,0,0,0
0,codeacademy,status quo sloth,15,-104,-0.7478991596638656
0,datacamp,daily streaks,41,-6,0.7446808510638298
0,datacamp,points system,2,0,1.0
0,datacamp,progress bar,2,0,1.0
0,datacamp,strike habit/competition,2,0,1.0
0,datacamp,social discovery,0,0,0
0,datacamp,challenges,63,-10,0.726027397260274
0,datacamp,leaderboard/competition,1,0,1.0
0,datacamp,boosters,42,-8,0.68
0,datacamp,virtual economy,0,0,0
0,datacamp,torture breaks,26,-8,0.5294117647058824
0,datacamp,visual grave,1,0,1.0
0,datacamp,high five,0,0,0
0,datacamp,last mile drive,0,-1,-1.0
0,datacamp,anticipation parade,0,0,0
0,datacamp,avatar,0,-1,-1.0
0,datacamp,win states,0,0,0
0,datacamp,voting,7,-1,0.75
0,datacamp,crowning,0,0,0
0,datacamp,status quo sloth,29,-53,-0.2926829268292683
0,encode,daily streaks,0,0,0
0,encode,points system,0,0,0
0,encode,progress bar,1,0,1.0
0,encode,strike habit/competition,0,0,0
0,encode,social discovery,0,0,0
0,encode,challenges,23,-10,0.3939393939393939
0,encode,leaderboard/competition,0,0,0
0,encode,boosters,8,-1,0.7777777777777778
0,encode,virtual economy,0,0,0
0,encode,torture breaks,3,-2,0.2
0,encode,visual grave,0,0,0
0,encode,high five,1,0,1.0
0,encode,last mile drive,0,0,0
0,encode,anticipation parade,0,0,0
0,encode,avatar,0,0,0
0,encode,win states,1,0,1.0
0,encode,voting,0,0,0
0,encode,crowning,0,0,0
0,encode,status quo sloth,11,-7,0.2222222222222222
0,learn-python-programiz,daily streaks,0,0,0
0,learn-python-programiz,points system,0,0,0
0,learn-python-programiz,progress bar,0,0,0
0,learn-python-programiz,strike habit/competition,0,0,0
0,learn-python-programiz,social discovery,0,0,0
0,learn-python-programiz,challenges,3,0,1.0
0,learn-python-programiz,leaderboard/competition,0,0,0
0,learn-python-programiz,boosters,13,-3,0.625
0,learn-python-programiz,virtual economy,0,0,0
0,learn-python-programiz,torture breaks,9,-13,-0.18181818181818182
0,learn-python-programiz,visual grave,1,0,1.0
0,learn-python-programiz,high five,0,0,0
0,learn-python-programiz,last mile drive,0,0,0
0,learn-python-programiz,anticipation parade,0,0,0
0,learn-python-programiz,avatar,0,0,0
0,learn-python-programiz,win states,0,0,0
0,learn-python-programiz,voting,1,-3,-0.5
0,learn-python-programiz,crowning,1,0,1.0
0,learn-python-programiz,status quo sloth,15,-18,-0.09090909090909091
0,mimo,daily streaks,33,-14,0.40425531914893614
0,mimo,points system,5,-2,0.42857142857142855
0,mimo,progress bar,7,-7,0.0
0,mimo,strike habit/competition,2,0,1.0
0,mimo,social discovery,1,0,1.0
0,mimo,challenges,228,-103,0.3776435045317221
0,mimo,leaderboard/competition,83,-25,0.5370370370370371
0,mimo,boosters,367,-82,0.6347438752783965
0,mimo,virtual economy,2,0,1.0
0,mimo,torture breaks,161,-336,-0.352112676056338
0,mimo,visual grave,11,-4,0.4666666666666667
0,mimo,high five,4,0,1.0
0,mimo,last mile drive,1,0,1.0
0,mimo,anticipation parade,0,0,0
0,mimo,avatar,1,-2,-0.3333333333333333
0,mimo,win states,1,-1,0.0
0,mimo,voting,10,-18,-0.2857142857142857
0,mimo,crowning,3,-2,0.2
0,mimo,status quo sloth,419,-332,0.11584553928095873
0,programming-hero,daily streaks,1,-3,-0.5
0,programming-hero,points system,0,0,0
0,programming-hero,progress bar,0,0,0
0,programming-hero,strike habit/competition,0,0,0
0,programming-hero,social discovery,0,0,0
0,programming-hero,challenges,43,-29,0.19444444444444445
0,programming-hero,leaderboard/competition,0,0,0
0,programming-hero,boosters,75,-7,0.8292682926829268
0,programming-hero,virtual economy,1,0,1.0
0,programming-hero,torture breaks,16,-12,0.14285714285714285
0,programming-hero,visual grave,1,0,1.0
0,programming-hero,high five,0,0,0
0,programming-hero,last mile drive,0,0,0
0,programming-hero,anticipation parade,0,0,0
0,programming-hero,avatar,1,0,1.0
0,programming-hero,win states,0,0,0
0,programming-hero,voting,6,-2,0.5
0,programming-hero,crowning,0,0,0
0,programming-hero,status quo sloth,53,-23,0.39473684210526316
0,programming-hub,daily streaks,2,-1,0.3333333333333333
0,programming-hub,points system,2,-2,0.0
0,programming-hub,progress bar,1,0,1.0
0,programming-hub,strike habit/competition,0,0,0
0,programming-hub,social discovery,0,0,0
0,programming-hub,challenges,33,-13,0.43478260869565216
0,programming-hub,leaderboard/competition,0,0,0
0,programming-hub,boosters,232,-50,0.6453900709219859
0,programming-hub,virtual economy,0,0,0
0,programming-hub,torture breaks,62,-34,0.2916666666666667
0,programming-hub,visual grave,4,0,1.0
0,programming-hub,high five,3,0,1.0
0,programming-hub,last mile drive,0,0,0
0,programming-hub,anticipation parade,0,0,0
0,programming-hub,avatar,4,-3,0.14285714285714285
0,programming-hub,win states,0,0,0
0,programming-hub,voting,7,-12,-0.2631578947368421
0,programming-hub,crowning,1,0,1.0
0,programming-hub,status quo sloth,221,-215,0.013761467889908258
0,sololearn,daily streaks,39,-7,0.6956521739130435
0,sololearn,points system,20,-4,0.6666666666666666
0,sololearn,progress bar,24,-5,0.6551724137931034
0,sololearn,strike habit/competition,43,-4,0.8297872340425532
0,sololearn,social discovery,56,-11,0.6716417910447762
0,sololearn,challenges,1620,-327,0.6640986132511556
0,sololearn,leaderboard/competition,25,-10,0.42857142857142855
0,sololearn,boosters,719,-66,0.8318471337579618
0,sololearn,virtual economy,1,-1,0.0
0,sololearn,torture breaks,214,-128,0.25146198830409355
0,sololearn,visual grave,7,-7,0.0
0,sololearn,high five,10,0,1.0
0,sololearn,last mile drive,0,0,0
0,sololearn,anticipation parade,4,0,1.0
0,sololearn,avatar,3,-2,0.2
0,sololearn,win states,4,-2,0.3333333333333333
0,sololearn,voting,41,-22,0.30158730158730157
0,sololearn,crowning,16,-3,0.6842105263157895
0,sololearn,status quo sloth,514,-357,0.18025258323765786
