,feature,positiveCount,negativeCount,score
0,daily streaks,117,-34,0.5496688741721855
0,points system,29,-8,0.5675675675675675
0,progress bar,35,-12,0.48936170212765956
0,strike habit/competition,47,-5,0.8076923076923077
0,social discovery,57,-11,0.6764705882352942
0,challenges,2023,-493,0.6081081081081081
0,leaderboard/competition,109,-35,0.5138888888888888
0,boosters,1475,-222,0.7383618149675899
0,virtual economy,4,-1,0.6
0,torture breaks,496,-539,-0.04154589371980676
0,visual grave,25,-11,0.3888888888888889
0,high five,18,0,1.0
0,last mile drive,1,-1,0.0
0,anticipation parade,4,0,1.0
0,avatar,9,-8,0.058823529411764705
0,win states,6,-3,0.3333333333333333
0,voting,75,-63,0.08695652173913043
0,crowning,21,-5,0.6153846153846154
0,status quo sloth,1277,-1109,0.07041072925398156
