app,feature,positiveCount,negativeCount,aggregatedAverage,positiveProportion,negativeProportion
codeacademy,daily streaks,1,3,-0.5,0.25,0.75
codeacademy,points system,0,0,0.0,,
codeacademy,progress bar,0,0,0.0,,
codeacademy,strike habit/competition,0,1,-1.0,0.0,1.0
codeacademy,social discovery,0,0,0.0,,
codeacademy,challenges,10,1,0.818181818181818,0.9090909090909091,0.09090909090909094
codeacademy,leaderboard/competition,0,0,0.0,,
codeacademy,boosters,19,5,0.583333333333333,0.7916666666666666,0.20833333333333337
codeacademy,virtual economy,0,0,0.0,,
codeacademy,torture breaks,5,6,-0.0909090909090909,0.45454545454545453,0.5454545454545454
codeacademy,visual grave,0,0,0.0,,
codeacademy,high five,0,0,0.0,,
codeacademy,last mile drive,0,0,0.0,,
codeacademy,anticipation parade,0,0,0.0,,
codeacademy,avatar,0,0,0.0,,
codeacademy,win states,0,0,0.0,,
codeacademy,voting,3,5,-0.25,0.375,0.625
codeacademy,crowning,0,0,0.0,,
codeacademy,status quo sloth,15,104,-0.747899159663866,0.12605042016806722,0.8739495798319328
datacamp,daily streaks,41,6,0.74468085106383,0.8723404255319149,0.12765957446808507
datacamp,points system,2,0,1.0,1.0,0.0
datacamp,progress bar,2,0,1.0,1.0,0.0
datacamp,strike habit/competition,2,0,1.0,1.0,0.0
datacamp,social discovery,0,0,0.0,,
datacamp,challenges,63,10,0.726027397260274,0.863013698630137,0.136986301369863
datacamp,leaderboard/competition,1,0,1.0,1.0,0.0
datacamp,boosters,42,8,0.68,0.84,0.16000000000000003
datacamp,virtual economy,0,0,0.0,,
datacamp,torture breaks,26,8,0.529411764705882,0.7647058823529411,0.23529411764705888
datacamp,visual grave,1,0,1.0,1.0,0.0
datacamp,high five,0,0,0.0,,
datacamp,last mile drive,0,1,-1.0,0.0,1.0
datacamp,anticipation parade,0,0,0.0,,
datacamp,avatar,0,1,-1.0,0.0,1.0
datacamp,win states,0,0,0.0,,
datacamp,voting,7,1,0.75,0.875,0.125
datacamp,crowning,0,0,0.0,,
datacamp,status quo sloth,29,53,-0.292682926829268,0.35365853658536583,0.6463414634146342
encode,daily streaks,0,0,0.0,,
encode,points system,0,0,0.0,,
encode,progress bar,1,0,1.0,1.0,0.0
encode,strike habit/competition,0,0,0.0,,
encode,social discovery,0,0,0.0,,
encode,challenges,23,10,0.393939393939394,0.696969696969697,0.303030303030303
encode,leaderboard/competition,0,0,0.0,,
encode,boosters,8,1,0.777777777777778,0.8888888888888888,0.11111111111111116
encode,virtual economy,0,0,0.0,,
encode,torture breaks,3,2,0.2,0.6,0.4
encode,visual grave,0,0,0.0,,
encode,high five,1,0,1.0,1.0,0.0
encode,last mile drive,0,0,0.0,,
encode,anticipation parade,0,0,0.0,,
encode,avatar,0,0,0.0,,
encode,win states,1,0,1.0,1.0,0.0
encode,voting,0,0,0.0,,
encode,crowning,0,0,0.0,,
encode,status quo sloth,11,7,0.222222222222222,0.6111111111111112,0.38888888888888884
learn-python-programiz,daily streaks,0,0,0.0,,
learn-python-programiz,points system,0,0,0.0,,
learn-python-programiz,progress bar,0,0,0.0,,
learn-python-programiz,strike habit/competition,0,0,0.0,,
learn-python-programiz,social discovery,0,0,0.0,,
learn-python-programiz,challenges,3,0,1.0,1.0,0.0
learn-python-programiz,leaderboard/competition,0,0,0.0,,
learn-python-programiz,boosters,13,3,0.625,0.8125,0.1875
learn-python-programiz,virtual economy,0,0,0.0,,
learn-python-programiz,torture breaks,9,13,-0.181818181818182,0.4090909090909091,0.5909090909090908
learn-python-programiz,visual grave,1,0,1.0,1.0,0.0
learn-python-programiz,high five,0,0,0.0,,
learn-python-programiz,last mile drive,0,0,0.0,,
learn-python-programiz,anticipation parade,0,0,0.0,,
learn-python-programiz,avatar,0,0,0.0,,
learn-python-programiz,win states,0,0,0.0,,
learn-python-programiz,voting,1,3,-0.5,0.25,0.75
learn-python-programiz,crowning,1,0,1.0,1.0,0.0
learn-python-programiz,status quo sloth,15,18,-0.0909090909090909,0.45454545454545453,0.5454545454545454
mimo,daily streaks,33,14,0.404255319148936,0.7021276595744681,0.2978723404255319
mimo,points system,5,2,0.428571428571429,0.7142857142857143,0.2857142857142857
mimo,progress bar,7,7,0.0,0.5,0.5
mimo,strike habit/competition,2,0,1.0,1.0,0.0
mimo,social discovery,1,0,1.0,1.0,0.0
mimo,challenges,228,103,0.377643504531722,0.6888217522658611,0.31117824773413894
mimo,leaderboard/competition,83,25,0.537037037037037,0.7685185185185185,0.2314814814814815
mimo,boosters,367,82,0.634743875278396,0.8173719376391982,0.18262806236080176
mimo,virtual economy,2,0,1.0,1.0,0.0
mimo,torture breaks,161,336,-0.352112676056338,0.323943661971831,0.676056338028169
mimo,visual grave,11,4,0.466666666666667,0.7333333333333333,0.2666666666666667
mimo,high five,4,0,1.0,1.0,0.0
mimo,last mile drive,1,0,1.0,1.0,0.0
mimo,anticipation parade,0,0,0.0,,
mimo,avatar,1,2,-0.333333333333333,0.3333333333333333,0.6666666666666667
mimo,win states,1,1,0.0,0.5,0.5
mimo,voting,10,18,-0.285714285714286,0.35714285714285715,0.6428571428571428
mimo,crowning,3,2,0.2,0.6,0.4
mimo,status quo sloth,419,332,0.115845539280959,0.5579227696404794,0.4420772303595206
programming-hero,daily streaks,1,3,-0.5,0.25,0.75
programming-hero,points system,0,0,0.0,,
programming-hero,progress bar,0,0,0.0,,
programming-hero,strike habit/competition,0,0,0.0,,
programming-hero,social discovery,0,0,0.0,,
programming-hero,challenges,43,29,0.194444444444444,0.5972222222222222,0.4027777777777778
programming-hero,leaderboard/competition,0,0,0.0,,
programming-hero,boosters,75,7,0.829268292682927,0.9146341463414634,0.08536585365853655
programming-hero,virtual economy,1,0,1.0,1.0,0.0
programming-hero,torture breaks,16,12,0.142857142857143,0.5714285714285714,0.4285714285714286
programming-hero,visual grave,1,0,1.0,1.0,0.0
programming-hero,high five,0,0,0.0,,
programming-hero,last mile drive,0,0,0.0,,
programming-hero,anticipation parade,0,0,0.0,,
programming-hero,avatar,1,0,1.0,1.0,0.0
programming-hero,win states,0,0,0.0,,
programming-hero,voting,6,2,0.5,0.75,0.25
programming-hero,crowning,0,0,0.0,,
programming-hero,status quo sloth,53,23,0.394736842105263,0.6973684210526315,0.3026315789473685
programming-hub,daily streaks,2,1,0.333333333333333,0.6666666666666666,0.33333333333333337
programming-hub,points system,2,2,0.0,0.5,0.5
programming-hub,progress bar,1,0,1.0,1.0,0.0
programming-hub,strike habit/competition,0,0,0.0,,
programming-hub,social discovery,0,0,0.0,,
programming-hub,challenges,33,13,0.434782608695652,0.717391304347826,0.28260869565217395
programming-hub,leaderboard/competition,0,0,0.0,,
programming-hub,boosters,232,50,0.645390070921986,0.8226950354609929,0.17730496453900713
programming-hub,virtual economy,0,0,0.0,,
programming-hub,torture breaks,62,34,0.291666666666667,0.6458333333333334,0.35416666666666663
programming-hub,visual grave,4,0,1.0,1.0,0.0
programming-hub,high five,3,0,1.0,1.0,0.0
programming-hub,last mile drive,0,0,0.0,,
programming-hub,anticipation parade,0,0,0.0,,
programming-hub,avatar,4,3,0.142857142857143,0.5714285714285714,0.4285714285714286
programming-hub,win states,0,0,0.0,,
programming-hub,voting,7,12,-0.263157894736842,0.3684210526315789,0.631578947368421
programming-hub,crowning,1,0,1.0,1.0,0.0
programming-hub,status quo sloth,221,215,0.0137614678899083,0.5068807339449541,0.49311926605504586
sololearn,daily streaks,39,7,0.695652173913043,0.8478260869565217,0.15217391304347827
sololearn,points system,20,4,0.666666666666667,0.8333333333333334,0.16666666666666663
sololearn,progress bar,24,5,0.655172413793103,0.8275862068965517,0.1724137931034483
sololearn,strike habit/competition,43,4,0.829787234042553,0.9148936170212766,0.08510638297872342
sololearn,social discovery,56,11,0.671641791044776,0.835820895522388,0.16417910447761197
sololearn,challenges,1620,327,0.664098613251156,0.8320493066255779,0.16795069337442214
sololearn,leaderboard/competition,25,10,0.428571428571429,0.7142857142857143,0.2857142857142857
sololearn,boosters,719,66,0.831847133757962,0.9159235668789809,0.08407643312101909
sololearn,virtual economy,1,1,0.0,0.5,0.5
sololearn,torture breaks,214,128,0.251461988304094,0.6257309941520468,0.3742690058479532
sololearn,visual grave,7,7,0.0,0.5,0.5
sololearn,high five,10,0,1.0,1.0,0.0
sololearn,last mile drive,0,0,0.0,,
sololearn,anticipation parade,4,0,1.0,1.0,0.0
sololearn,avatar,3,2,0.2,0.6,0.4
sololearn,win states,4,2,0.333333333333333,0.6666666666666666,0.33333333333333337
sololearn,voting,41,22,0.301587301587302,0.6507936507936508,0.3492063492063492
sololearn,crowning,16,3,0.68421052631579,0.8421052631578947,0.1578947368421053
sololearn,status quo sloth,514,357,0.180252583237658,0.5901262916188289,0.4098737083811711
