Unnamed: 0,date,review,rating,isEdited,title,userName,sentiment,standardizedReview,mentionedFeature,mentionedSynonyms
5,2018-12-26 05:19:18,"Just downloaded the app after signing up for the pro account Christmas Day 2018, actually. Love everything you guys are trying to do. However, the app doesn’t work, or not properly at least. Went into web developer section, finished the review cards, finished my first question in the practice section , clicked “next” and it wouldn’t filter to the next question. I backed out and tried again, same problem. Did that several times, to no avail. Now, I’m currently locked in the search window, I clicked the search icon at bottom of screen, and it wouldn’t let me out of that window. I’m guessing there’s a glitch that needs to be fixed. I have an up to date iPhone. Thank you.",5,False,Not working,Wardog2,NEGATIVE,downloaded app signing pro account christmas day 2018 actually love everything guys trying however app doesnt work properly least went web developer section finished review cards finished first question practice section clicked next wouldnt filter next question backed tried problem several times avail im currently locked search window clicked search icon bottom screen wouldnt let window im guessing theres glitch needs fixed date iphone thank,status quo sloth,account
6,2021-08-20 05:33:29,"I'd rather not write reviews here with app dev feedback. The app is good. You need to update the review cards to list the language referenced for review on the card. It seems to jump from html, to command, SQL, to javascript, or css with no context for someone that might not know what they are reviewing. They might log away cd into their brain for html which would be weird and a mess to sort out later for that person. Like the app, any good training offers multiple methods of learning and this is it. Glad i left my previous provider for codeacademy.",5,False,Please add a feedback section to the app.,cliffclof,NEGATIVE,id rather write reviews app dev feedback app good need update review cards list language referenced review card seems jump html command sql javascript css context someone might know reviewing might log away cd brain html would weird mess sort later person like app good training offers multiple methods learning glad left previous provider codeacademy,status quo sloth,person
18,2022-07-14 18:45:00,"I’ve heard good things about the computer version of this which I’ll at least give a shot but this app is utter nonsense. All of the classes throw you right to the wolves giving you flash cards the size of your tiny screen which an explanation that only someone that already knew the material would understand before giving you “practice” tests that barely fit within the bounds of the material they arbitrarily threw in front of you.

I personally tried the Command Prompt, Intro to Java and SQL courses and even as someone who knows a little more than a beginner in SQL, I couldn’t understand a thing it was trying to say.",1,False,Beginners stay away,Dnsowofiabwlapxujbensms,NEGATIVE,ive heard good things computer version ill least give shot app utter nonsense classes throw right wolves giving flash cards size tiny screen explanation someone already knew material would understand giving practice tests barely fit within bounds material arbitrarily threw front personally tried command prompt intro java sql courses even someone knows little beginner sql couldnt understand thing trying say,status quo sloth,person
25,2021-06-18 21:48:09,"In regards to the HTML review and practice:

The content repeats itself, in no particular order- there’s no progression or gradual knowledge building. You can’t see what you’re actually coding, and there seems to be many errors in the questions asked and the given answers to submit… many more issues and annoyances like the seemingly random colors added into texts, but I digress. 

This is definitely not an app for you, if you’re a beginner, trying to learn the basics.",2,False,There are much better apps for learning,MsContrarian,NEGATIVE,regards html review practice content repeats particular order theres progression gradual knowledge building cant see youre actually coding seems many errors questions asked given answers submit many issues annoyances like seemingly random colors added texts digress definitely app youre beginner trying learn basics,voting,content r
26,2019-06-21 14:44:24,"The app itself is a great learning tool to keep your mind sharp on subjects you already know, as far as trying to grasp new information it seems almost like reviewing flash cards. A. You learn something. But B. You see it over & over again. The material is very repetitive, i usually go under HTML & it’s nothing new nor difficult, if you can introduce more difficult problems or better questions. That would make it more challenging & engaging.",3,False,Concept is Good but.... The Material lacks.,Hihahajananakens,NEGATIVE,app great learning tool keep mind sharp subjects already know far trying grasp new information seems almost like reviewing flash cards learn something b see material repetitive usually go html nothing new difficult introduce difficult problems better questions would make challenging engaging,challenges,challeng
35,2020-12-17 14:41:39,"Running iOS 14.3.  App goes into an endless loop when trying to start a course. I’ve deleted it and reinstalled it. I log in with my pro account, select a course, which takes me to the ‘allow notifications’ screen, which I enable, click continue, which flashes to the next screen and then rolls me back to the ‘choose course’ screen putting me in an endless loop. App is totally useless. I hope they fix so I can give a proper review and change my star rating.",1,False,Great website but IOS app is 100% broken and doesn’t work,bitlifter,NEGATIVE,running ios 143 app goes endless loop trying start course ive deleted reinstalled log pro account select course takes allow notifications screen enable click continue flashes next screen rolls back choose course screen putting endless loop app totally useless hope fix give proper review change star rating,status quo sloth,account
41,2018-12-22 13:25:57,"When I first loaded this app, it worked perfectly. Then mysteriously, the practice sessions stopped working, after the first one the app freezes and will not respond to continue unless I reboot my phone When this is resolved, I will gladly update to 5 stars, best practice app for beginners I have found When compared to other forms of education , the pro account is a deal. iOS 12.1.2 on Iphone 6s",3,False,Practice sessions freeze,Nerdacouis,NEGATIVE,first loaded app worked perfectly mysteriously practice sessions stopped working first one app freezes respond continue unless reboot phone resolved gladly update 5 stars best practice app beginners found compared forms education pro account deal ios 1212 iphone 6s,status quo sloth,account
52,2020-09-28 01:55:29,"So, last Friday, I started my subscription at 7:30 PM central time. One week later, this Friday, I canceled my subscription at around 5:30 PM central time. I received an email saying that my trial had been ended and I will not be charged. Two hours later, around 7:30 PM central time, I received a $40 chargeAnd a notification saying I had been.I’m currently trying to work it out with customer support I will update my review if I am successful in getting my money back.",1,False,Charged me before seven days ended on free trial,Jack23456432,NEGATIVE,last friday started subscription 730 pm central time one week later friday canceled subscription around 530 pm central time received email saying trial ended charged two hours later around 730 pm central time received 40 chargeand notification saying beenim currently trying work customer support update review successful getting money back,status quo sloth,custom
54,2022-10-20 19:01:01,"I like the courses on it but it seems as if it has no correlation with the website at all other than using the same account. The web development course, for instance, is in a completely different order than on their website.",2,False,Seems like it’s completely separate than the website,Brightside92,NEGATIVE,like courses seems correlation website using account web development course instance completely different order website,status quo sloth,account
55,2022-12-05 16:25:01,"This is honestly so annoying! I want to access my own account in the app but you can’t because there’s no access to it! I am trying to sign up on the website using the same email I used for the app, but it’s making me a new account! I just want to have the same enrolled courses and progress that I have on the app!!! It’s irritating to have 2 different accounts on the website and app! BE BETTER PLEASE!!!!",1,False,PLEASE ADD ACCOUNT SETTINGS,CriticalSeagull,NEGATIVE,honestly annoying want access account app cant theres access trying sign website using email used app making new account want enrolled courses progress app irritating 2 different accounts website app better please,status quo sloth,account
