Unnamed: 0,date,review,rating,isEdited,userName,title,developerResponse,sentiment,standardizedReview,mentionedFeature,mentionedSynonyms
0,2017-09-29 04:15:45,"I wanted to learn coding during my commute. But so many free to start apps require a constant Internet connection, and my train is often stuck underground without service. I greatly appreciate that you can use Encode even offline. (It being offline also means that it can't load the ads, if you find that annoying.)

The lessons included are indeed simple, and I absolutely think if you're an intermediate study in JavaScript or HTML/CSS you won't get much out of this. But as a beginner cramming these lessons in to/from work, who was only ever able to make good old 90's GeoCities webpages at best, the bite-sized chunks it's broken down into makes computing language much easier for to process.

The extra challenges as reinforcement and the compound lessons putting everything together is worth the $4.99 unlock, but even if you're looking to just start learning for free you could do much worse than Encode.",5,False,jellocube,Perfect for beginners!,,NEGATIVE,wanted learn coding commute many free start apps require constant internet connection train often stuck underground without service greatly appreciate use encode even offline offline also means cant load ads find annoying lessons included indeed simple absolutely think youre intermediate study javascript htmlcss wont get much beginner cramming lessons tofrom work ever able make good old 90s geocities webpages best bitesized chunks broken makes computing language much easier process extra challenges reinforcement compound lessons putting everything together worth 499 unlock even youre looking start learning free could much worse encode,challenges,challeng
2,2019-09-05 02:30:21,"So I learned all my basics for HTML and CSS through Encode (the previous name before Knowin) and I have to say I loved the interactive, hands-on, you-type-it mode that It had. But don’t get me wrong, this app is still very good at teaching the basics for coding in any of its available subjects. But just as someone who still remembers the very interactive mode of Encode, I do miss it. Personally it was better for me to type it out than to press buttons to questions. So if its possible to bring this back into Knowin, that would be awesome. Like I said awesome app that can teach you so much, I would just like to see that type-it-yourself mode back. But overall, it is a very solid app, good job developers!",4,False,JrD1az,"Good for learning, but wished that the Hands-On was there again",,POSITIVE,learned basics html css encode previous name knowin say loved interactive handson youtypeit mode dont get wrong app still good teaching basics coding available subjects someone still remembers interactive mode encode miss personally better type press buttons questions possible bring back knowin would awesome like said awesome app teach much would like see typeityourself mode back overall solid app good job developers,status quo sloth,person
4,2019-07-18 08:52:58,"After this app made the switch from Encode to Knowin, I had my doubts, but the interface itself is beautiful and intuitive, plus the themes (plum, sea, and night) are gorgeous. The ghost of Encode still haunts the app when it opens, and sometimes the swipes lag a little, but that’s to be expected with such a massive overhaul & turnaround for an education app. Not nearly enough to warrant taking off a star, especially when the app itself is supplementing my coding journey so well. Thanks for a great and affordable learning experience!",5,False,N1mk11,💙💕Excellent!,,POSITIVE,app made switch encode knowin doubts interface beautiful intuitive plus themes plum sea night gorgeous ghost encode still haunts app opens sometimes swipes lag little thats expected massive overhaul turnaround education app nearly enough warrant taking star especially app supplementing coding journey well thanks great affordable learning experience,boosters,special
7,2022-04-03 13:13:07,"This app is fun, light and great for those who are trying to reenforce their skills. It is a little personal and I do feel like I am being socially engineered at times. It ask you to input data such as: what was you elementary schools name, what was the name of your childhood best friend. What is your age and name. These are all passwords reset/ authentication questions and should NOT be shared with any app.",5,False,bubblehead1,Great but too personal,,NEGATIVE,app fun light great trying reenforce skills little personal feel like socially engineered times ask input data elementary schools name name childhood best friend age name passwords reset authentication questions shared app,status quo sloth,person
146,2022-06-17 05:52:13,Every app of learning code like mimo has limitations but I like this because you can learn code for free unlike other Apps! When I installed it I see ads but all of that was for encode premium you don’t have lives like mimo that when the lives are ended you can’t learn code anymore until hours,5,False,Ryan esmaeelzadeh2,I never seen an app like that,,POSITIVE,every app learning code like mimo limitations like learn code free unlike apps installed see ads encode premium dont lives like mimo lives ended cant learn code anymore hours,torture breaks,live
148,2022-05-30 14:38:05,"I am a total beginner at coding and downloaded this app, as well as a few others. I want to say before giving my complaints/suggestions that this IS a decent way to memorize how to code. It doesn’t feel so much like learning through practice so much as learning through reading. It’s still informative and teaches you to code and what everything (well, most things) is for and how/why/when/where to use it. 

First off, just a minor suggestion for the devs: this app doesn’t keep score or reward  your progress really, other than ticking off the lessons you’ve completed, which is fine honestly, it’s certainly not a dealbreaker, but I think it does make learning apps like this more enjoyable and fun to use. 

Second, the lessons feel a bit condescending sometimes. The way the answers to the questions are usually just the value of one of the blank spaces of the code and you just tap it and it appears in the space, and a lot of times it’s just one space that needs to be filled in so it just feels like “what’s the point in me tapping the ONLY answer there is, and having it just appear in the blank space?” Feels a little kindergarten to me. And again, it DOES educate you on coding, it’s just more of a READING way of learning, like reading a slightly interactive book basically, where sometimes you need to fill in one of the sentences with the word(s) that belong there…literally. 

Third, and this is again just another personal opinion/suggestion based on preference, but the app just feels very plain and basic I guess is the best way to describe it. There’s just really no “pop!” or personality to it. And I understand it’s an app about learning how to code, and code is often very plain and boring and concise looking, so I understand it not being anything crazy, I just wish there was a little more personality to the app and that it was a bit more interactive than it currently is. As mentioned above, there’s no reward or incentive for doing anything on there, which is fine, the learning of new things about coding is absolutely a reward in itself. However, it would be nice to have a little more feeling of connection and interaction with the app and a little more incentive and personality. 

I don’t mean to sound like a complainer just being captious about the app and picking it apart. I do appreciate the dev(s) taking the time to create this app to help people learn to code, because it is a nice little interactive textbook of coding information at this point, and it is appreciated being provided with that information. I just wish it didn’t feel so condescending and plain. With a few little tweaks I really think this app could be amazing because it does explain things very simply and easy to understand and learn. 

Thank you! If you made it this far and read the whole review, you’re beautiful and I wish you all the best in life and in coding!!! <3€><>

                          ¥~<>*<>~¥",2,False,Sventography,A tad condescending…,,NEGATIVE,total beginner coding downloaded app well others want say giving complaintssuggestions decent way memorize code doesnt feel much like learning practice much learning reading still informative teaches code everything well things howwhywhenwhere use first minor suggestion devs app doesnt keep score reward progress really ticking lessons youve completed fine honestly certainly dealbreaker think make learning apps like enjoyable fun use second lessons feel bit condescending sometimes way answers questions usually value one blank spaces code tap appears space lot times one space needs filled feels like whats point tapping answer appear blank space feels little kindergarten educate coding reading way learning like reading slightly interactive book basically sometimes need fill one sentences words belong thereliterally third another personal opinionsuggestion based preference app feels plain basic guess best way describe theres really pop personality understand app learning code code often plain boring concise looking understand anything crazy wish little personality app bit interactive currently mentioned theres reward incentive anything fine learning new things coding absolutely reward however would nice little feeling connection interaction app little incentive personality dont mean sound like complainer captious app picking apart appreciate devs taking time create app help people learn code nice little interactive textbook coding information point appreciated provided information wish didnt feel condescending plain little tweaks really think app could amazing explain things simply easy understand learn thank made far read whole review youre beautiful wish best life coding 3,status quo sloth,person
150,2021-08-22 18:30:43,This is a really good app if you want to start learning to code. Especially for me since I’m studying to be an electronics technician & I’ll be working on both physical & digital circuits.,5,False,B-boy Va-Van,Jovan Vedrene,,POSITIVE,really good app want start learning code especially since im studying electronics technician ill working physical digital circuits,boosters,special
151,2021-07-24 10:23:59,"I love how this guide to code helps you better understand variables, constants, and so on. It makes learning coding simpler to the average person so that way it helps make a skill set for that person’s resume. Whoever made this app than you so much cause I’ve  been trying to learn at least one code language since i don't have a laptop so thank you again for this absolutely amazing app",5,False,ban_671,Learning the basics,,POSITIVE,love guide code helps better understand variables constants makes learning coding simpler average person way helps make skill set persons resume whoever made app much cause ive trying learn least one code language since dont laptop thank absolutely amazing app,status quo sloth,person
159,2020-08-31 22:17:41,"So.... learning any coding language is super hard, especially when you’re using an app. (I’m too young for Mimo, my Swift Playgrounds photo work course feels more like a dragging lesson than a coding lesson, and Code playground is just a book (coding is learned best hands on).)
It’s very hard to remember what you learned.

So.... Knowin comes along!
An awesome app for learning coding languages and actually remembering them.
I recommend this app for people that are having a hard time learning coding (that aren’t that serious about learning to code).
I may get the pro version if it’s that much better. (This app is hard to beat)",5,False,Existing Person 500,Learn to code and actually REMEMBER WHAT YOU LEARNED later,,POSITIVE,learning coding language super hard especially youre using app im young mimo swift playgrounds photo work course feels like dragging lesson coding lesson code playground book coding learned best hands hard remember learned knowin comes along awesome app learning coding languages actually remembering recommend app people hard time learning coding arent serious learning code may get pro version much better app hard beat,boosters,special
173,2019-06-06 18:00:16,"I tried to complete one of the extra challenges where I had to print a string a number of my choice times. The number I chose was 10^100(10**100 in Python), equivalent to one googol. After I tried to print the three letter word ""Yes""('Yes' in Python) the app crashed. I think that you need to add more support for extremely large quantities. Thanks for reading.",3,False,Aidan Anthony,Crash,,NEGATIVE,tried complete one extra challenges print string number choice times number chose 1010010100 python equivalent one googol tried print three letter word yesyes python app crashed think need add support extremely large quantities thanks reading,challenges,challeng
