Unnamed: 0,date,developerResponse,review,rating,isEdited,userName,title,sentiment,standardizedReview,mentionedFeature,mentionedSynonyms
0,2022-12-19 21:09:15,"{'id': 34845754, 'body': 'Thank you so much for taking the time to write this review, we appreciate it very much!', 'modified': '2023-02-13T19:46:50Z'}","This app is absolutely amazing. The only language I had a basic grasp going in was python, but I started taking the web-development courses(currently 20% to certification) and have been able to fly through at my own pace. Mimo encourages learning through a healthy sense of challenge/competition but keeps it from becoming demanding. It challenges you just enough to keep you interested. Best part is the app is free, enacting a “lives system” like your typical phone game would. The lives(5 to be exact) are pretty much enough to get you through one day assuming you don’t go premium. Once you run out it’s roughly three hours for one heart, essentially encouraging coming back daily to learn. It also has a simple daily streak mechanic that further encourages daily involvement and the previously mentioned competition is a leaderboard that slightly encourages trying harder when learning. This has been the best experience I have ever had in my journey to learn how to program. Between the textbooks and other online courses, this is hands down my favorite experience.",5,False,BreadOne2Three,… And it’s all free,POSITIVE,app absolutely amazing language basic grasp going python started taking webdevelopment coursescurrently 20 certification able fly pace mimo encourages learning healthy sense challengecompetition keeps becoming demanding challenges enough keep interested best part app free enacting lives system like typical phone game would lives5 exact pretty much enough get one day assuming dont go premium run roughly three hours one heart essentially encouraging coming back daily learn also simple daily streak mechanic encourages daily involvement previously mentioned competition leaderboard slightly encourages trying harder learning best experience ever journey learn program textbooks online courses hands favorite experience,"daily streaks, challenges, leaderboard/competition, torture breaks, status quo sloth","daily streak, challeng, leaderboard, live, leaderboard"
1,2022-09-24 15:58:45,"{'id': 35479181, 'body': ""Thank you so much for your delightful review, we really appreciate it! If there's something we can do to deliver a 5-star experience for you, please let us know (feedback@getmimo.com). In the meantime, all the best!"", 'modified': '2023-03-20T10:16:59Z'}","Mimo is exquisite. I’m learning python at a rapid pace, like a rabbit, bounding past a turt and saying “Oh you simple one. Oh you one without wisdom. I have seen the light; I have been enlightened.” All that Mimo gives so freely couldn’t have been conceived in my wildest visions. Mimo... is like  heaven come to earth. It’s sleek design, a satisfying ui and, dare I say, Mimolicios leaderboard has inspired me each and every day to expand my brain capacity.  The Mimo experience; a hill with flowers atop, a place to call home, a place to call school. I have climbed passed my “peers”, with my intellectual prowess, easily shooting to the top of every leaderboard in my sight. I feel like a child, touching the face of God as my eyes are opened. This is what it all means. I feel like the summarians, national  superpowers that saw what the human capacity currently was, and didn’t except it: no, they rebelled against there primitive form and invented the basis for the advances we are able to make today. As I sit here, wrighting this reflection of the greatest peece of the puzzle that is our human experience: I reflect apon my life before Mimo, the melancholy state I was in. I don’t shame those who are experiencing a similar way of living; no, I call them, I offer them a hand  out of the dusty, well trodden rode they are crouched on, and say: “let me offer you something greater, something inspiring and powerful: let me grant you Mimo.”

4/5 cuz of some bugs",4,False,dont_delete,Mimo: a comprehensive study,POSITIVE,mimo exquisite im learning python rapid pace like rabbit bounding past turt saying oh simple one oh one without wisdom seen light enlightened mimo gives freely couldnt conceived wildest visions mimo like heaven come earth sleek design satisfying ui dare say mimolicios leaderboard inspired every day expand brain capacity mimo experience hill flowers atop place call home place call school climbed passed peers intellectual prowess easily shooting top every leaderboard sight feel like child touching face god eyes opened means feel like summarians national superpowers saw human capacity currently didnt except rebelled primitive form invented basis advances able make today sit wrighting reflection greatest peece puzzle human experience reflect apon life mimo melancholy state dont shame experiencing similar way living call offer hand dusty well trodden rode crouched say let offer something greater something inspiring powerful let grant mimo 45 cuz bugs,"leaderboard/competition, status quo sloth","leaderboard, leaderboard"
4,2021-07-25 05:57:10,"{'id': 25443282, 'body': ""We're so glad to hear Mimo is helping you a lot. We've put countless hours into making Mimo and will continue to do so in the future. If you have suggestions on how we can further improve the app for you, we're looking forward to hearing them at feedback@getmimo.com. Have a nice weekend!"", 'modified': '2021-10-01T15:26:58Z'}","So far so good! I’ve been using the Mimo app for about a month now and I feel like I’m learning a lot.  It’s been very simple and straightforward to grasp the lessons. Everything is broken down into small segments, so I can fit them in whenever throughout my day. The little encouragement of leaderboards and daily steak counters really works for my natural competitiveness. It pushes me to always fit in a least one or two lessons a day regardless of how busy I am. Which in turn, has me consistently learning and moving through the material. It’a like the Duolingo for coding, if anyone has used the language learning app. I’m curious to see how much I can learn and how far the lessons go. I haven’t subscribed or upgraded or anything yet, but I haven’t hit any real major limitations so far. I couldn’t tell you how advanced it is or gets because I’m a true novice. So far, it all seems very simple, so probably best for beginners like myself.",5,False,Mustbebridget,Beginner Coding,POSITIVE,far good ive using mimo app month feel like im learning lot simple straightforward grasp lessons everything broken small segments fit whenever throughout day little encouragement leaderboards daily steak counters really works natural competitiveness pushes always fit least one two lessons day regardless busy turn consistently learning moving material ita like duolingo coding anyone used language learning app im curious see much learn far lessons go havent subscribed upgraded anything yet havent hit real major limitations far couldnt tell advanced gets im true novice far seems simple probably best beginners like,"leaderboard/competition, status quo sloth","leaderboard, leaderboard"
5,2022-03-20 02:44:31,"{'id': 35483173, 'body': ""Thanks for your feedback. We're working very hard to bring you the best learning experience for free, and the hearts allow us to do so, while still paying for things like salaries and rent, thanks for understanding. Have a great day!"", 'modified': '2023-03-20T12:47:28Z'}",Now you do not have to pay to use the app however it really is needed it takes two hours for one heart to come back and you can lose retaking a question? It’s annoying as it takes to long to continue your lesson but the lesson doesn’t save either. So just pay for the premium version right well it costs 70 for a year and 10 per month which is just so much I have other apps that ask for 70 for a life time premium account (they don’t even offer this) and seems more reasonable for people who are really interested in learning .however that being said it is great excluding that as you have great lessons describing what to do helping along the way but you are also free to make your own things and release it to other people to play and there are many interesting thing there by the way it also has leaderboards so you can compete to get the most point for a week it’s honestly great but the push to pay and that large price tag just leaves a sour taste for me.(I’d suggest the 70 be life time  or just a life time option or lives regenerate in a 30 minute or 1 hour),4,False,big chungus 00000000,Great program but just a little expensive,NEGATIVE,pay use app however really needed takes two hours one heart come back lose retaking question annoying takes long continue lesson lesson doesnt save either pay premium version right well costs 70 year 10 per month much apps ask 70 life time premium account dont even offer seems reasonable people really interested learning however said great excluding great lessons describing helping along way also free make things release people play many interesting thing way also leaderboards compete get point week honestly great push pay large price tag leaves sour taste meid suggest 70 life time life time option lives regenerate 30 minute 1 hour,"leaderboard/competition, torture breaks, status quo sloth","leaderboard, live, account, leaderboard"
6,2021-08-05 08:20:05,"{'id': 25443263, 'body': ""Thanks so much for your feedback! We might soon run a test with faster heart refill times, so please bear with us. Also, Swift is a great idea! What's a bit difficult about Swift is that it's almost exclusively iOS users who want to learn it, but we're on two additional platforms. But we might get back to Swift once the web development path is finalized. If you have additional feedback or suggestions, please drop us a line at feedback@getmimo.com. Looking forward!"", 'modified': '2021-10-01T15:25:05Z'}","I love this app very much, it has taught me a lot! However, it would be much more beneficial that the hearts would refill itself a bit faster than 4 hours, maybe maximum 1-2 hours. This is especially significant because half of the time I lose hearts due to the directions being obscure. Even then, I learn best after making mistakes, and losing all the hearts fast means my inability to keep learning which discourages me from opening the app at all.

If I were one of the developers of the app, I’d know the hearts is a good tactic for users to buy Mimi pro. On the other hand, I’d know that if I stretched that tactic too far, there would be less traffic on the app, which means less ad revenue in the first place. This is especially true considering the majority of users don’t have a pro subscription.

Another important suggestion: I believe adding the option to learn the language Swift would be a game changer because the teaching style of this app really works! If this language is taught, this app would thus be considered a more well rounded educational platform!",4,False,Satinaki,"Great, however…",NEGATIVE,love app much taught lot however would much beneficial hearts would refill bit faster 4 hours maybe maximum 12 hours especially significant half time lose hearts due directions obscure even learn best making mistakes losing hearts fast means inability keep learning discourages opening app one developers app id know hearts good tactic users buy mimi pro hand id know stretched tactic far would less traffic app means less ad revenue first place especially true considering majority users dont pro subscription another important suggestion believe adding option learn language swift would game changer teaching style app really works language taught app would thus considered well rounded educational platform,boosters,special
10,2020-07-18 16:46:21,,"I had to learn some basic coding because I work at a tech company, even though I’m not an engineer. I found this app after trying to take a coursera course and failing before I could even set it all up on my desktop. This app is ridiculously easy to use, so convenient, and seriously effective. I already knew a good amount of the material just by learning on the job, but it helped fill the gaps in my knowledge and was actually pleasant and fun to use. I’ve never been so impressed with an app, I actually ended up hooking up a payment method to my apple account so I could buy the pro version (goes without saying I’ve never bought a pro version of anything!). Much like Duolingo, this app takes a complex topic and breaks it down in easy to use, super mobile friendly bite sized lessons, perfect for literally anyone. I never leave reviews on apps, but I seriously can’t stress how cool this app is.",5,False,Cati S.,Revolutionary,POSITIVE,learn basic coding work tech company even though im engineer found app trying take coursera course failing could even set desktop app ridiculously easy use convenient seriously effective already knew good amount material learning job helped fill gaps knowledge actually pleasant fun use ive never impressed app actually ended hooking payment method apple account could buy pro version goes without saying ive never bought pro version anything much like duolingo app takes complex topic breaks easy use super mobile friendly bite sized lessons perfect literally anyone never leave reviews apps seriously cant stress cool app,status quo sloth,account
11,2021-11-14 06:18:14,,"Very odd navigation required of app. I’m constantly finding myself thinking I need to hit the “next” but twice because two subsequent buttons live in the exact same spot for each action to continue a lesson (a UX no-no for mobile devices). 

Also, questions are way too easy, or too hard because of wording. Getting a question wrong usually attributed to poor grammar in the question (it’s incredibly important to hire a native English speaker to review all material before publishing it), then action required to submit the correct answer requires back tracking, dispute the visibility of the existing multiple choice widgets appearing to still be tappable. 

It’s ok learning web dev from this app but I don’t think the Duolingo approach necessarily works well. Web dev requires typing out long scripts, where as this app requires adding together canned answers. I feel like by the time i complete all the lessons, I’ll only “know of” the concepts rather than how to actually connect and execute them.",3,False,Loudthing,Obvious clone of Duolingo but lacking intuitiveness,NEGATIVE,odd navigation required app im constantly finding thinking need hit next twice two subsequent buttons live exact spot action continue lesson ux nono mobile devices also questions way easy hard wording getting question wrong usually attributed poor grammar question incredibly important hire native english speaker review material publishing action required submit correct answer requires back tracking dispute visibility existing multiple choice widgets appearing still tappable ok learning web dev app dont think duolingo approach necessarily works well web dev requires typing long scripts app requires adding together canned answers feel like time complete lessons ill know concepts rather actually connect execute,torture breaks,live
12,2020-07-27 15:08:39,"{'id': 16957234, 'body': ""Oh dear, we're so sorry about this obviously irritating issue! If there's no subscription on your account and you still got charged, it might be that you accidentally created two accounts and have the subscription on the account you might not have known existed. Let's get this fixed, once and for all! Please talk to Johanna (her email address is support@getmimo.com, but you sure know already) and she'll dig into this issue. Whatever it is, we can solve it together!"", 'modified': '2020-07-29T13:34:01Z'}","About 2 years ago (2018) I tried it out their discounted trial for 2 weeks, then I decided it wasn’t for me and I canceled my subscription, but a few weeks later I was charged the subscription. I emailed customer service (who took so long to get back to me) about the issue, they seemed willing to help. In the end they confirmed with me that they canceled my subscription and I will be refunded. Great! 
A year later 2019, I got charged on mimo again! I talked to the customer service and told them why this was happening, they told me I was still subscribed, so again, they helped me unsubscribed and get my refund back. Fast forward to this year, 2020, I got charged again! I don’t understand why this is happening after constantly getting confirmed my subscription is now canceled. I checked my account and yes it is not subscribed. Why am I keep getting charged? I am worried that I will have this issue happen every single year for the rest of my life. I really don’t want to be dealing with long customer service waits. I am concerned for their incapability to manage private informations.",1,False,joogk,Be careful if you want to just try it out.,NEGATIVE,2 years ago 2018 tried discounted trial 2 weeks decided wasnt canceled subscription weeks later charged subscription emailed customer service took long get back issue seemed willing help end confirmed canceled subscription refunded great year later 2019 got charged mimo talked customer service told happening told still subscribed helped unsubscribed get refund back fast forward year 2020 got charged dont understand happening constantly getting confirmed subscription canceled checked account yes subscribed keep getting charged worried issue happen every single year rest life really dont want dealing long customer service waits concerned incapability manage private informations,status quo sloth,"custom, account"
13,2021-05-29 02:58:22,"{'id': 23241128, 'body': ""Thanks, we really appreciate it! If there's something we can do to deliver a 5-star experience for you, please let us know (feedback@getmimo.com). In the meantime, all the best!"", 'modified': '2021-06-07T13:10:12Z'}","So I have been using this app for the past week. For the most part, it’s very good and it got me into coding. However, there are a few things that I think needs to be changed.
First of all, the heart system. Seriously, whenever you make a mistake you have to wait 4 hours to keep coding? It seems kind of unfair. Mistakes are supposed to help you learn, not make you really nervous you’ll get a question wrong. I know this is so people will want to buy Mimo pro, but it’s still too much. At least make it so you have to wait less for another heart.
Second of all, the leaderboard has been glitching the past few days. Another reason I use Mimo is because I want to stay first on the leaderboard, but for some reason, it wasn’t updating. I clearly got more sparks in the past few days, but it isn’t showing on the leaderboard. Other people’s scores also haven’t been changing. Is this just something wrong with my device or is it a bug? Please check.",3,False,Dhcsdkjchdjkvdtuh,Good but a few things,NEGATIVE,using app past week part good got coding however things think needs changed first heart system seriously whenever make mistake wait 4 hours keep coding seems kind unfair mistakes supposed help learn make really nervous youll get question wrong know people want buy mimo pro still much least make wait less another heart second leaderboard glitching past days another reason use mimo want stay first leaderboard reason wasnt updating clearly got sparks past days isnt showing leaderboard peoples scores also havent changing something wrong device bug please check,"leaderboard/competition, torture breaks, status quo sloth","leaderboard, heart system, leaderboard"
14,2021-11-19 19:13:40,,"I like the basic layout and concept of the app. The design is also very nice. However, you are told exactly what to do each step of the way, or given choices that are far too obvious. Challenges are crucial for learning, and the app creates virtually no challenges for you. Rather than say ""Achieve result X by putting THIS before THAT"", it would be more challenging and more educational to have an instruction in the form ""Achieve result X by using what you've learned in this unit"" This might be wrong, because I don't know the rules of Pyhon, but I intuit that the app just punished me for doing something logical: I was supposed to write a ""while loop"" in the form ""while variable == True"", which I'm pretty sure is equivalent to ""while variable"", which is what I did. However, I didn't get feedback in the form ""that also works, but do it this way instead for now"", but rather a mere ""that's wrong"". Even the early platforms like codecademy have had this good fuzzyness since the beginning.",3,False,Albertoeda97,Too much handholding,NEGATIVE,like basic layout concept app design also nice however told exactly step way given choices far obvious challenges crucial learning app creates virtually challenges rather say achieve result x putting would challenging educational instruction form achieve result x using youve learned unit might wrong dont know rules pyhon intuit app punished something logical supposed write loop form variable true im pretty sure equivalent variable however didnt get feedback form also works way instead rather mere thats wrong even early platforms like codecademy good fuzzyness since beginning,challenges,challeng
