Unnamed: 0,date,review,rating,isEdited,userName,title,developerResponse,sentiment,standardizedReview,mentionedFeature,mentionedSynonyms
0,2019-03-18 06:00:27,"I’ve been wanting to get into programming a little so i downloaded a few similar apps and ran thru a few of their modules.  Within maybe 10-15 minutes, I would exhaust their free content and would be pressed to upgrade to a pro account to learn any more. I thought about doing it for one of the apps even though the language i was looking for (C#) wasnt available yet.  Then I found this app and my search is over!  It does have a pro version like the rest, but it doesnt appear to hold back content from non pro members.  It also has waaaaay more content to dive into compared to the others.  I love that in addition to the learning/ module side, there is also a challenge mode that turns a tough subject into a game.  Then SoloLearn takes it a step further and lets users share codes they’ve been working on INSIDE THE APP and you can run them on your phone to check out how they work.  This is awesome and is going to keep me hooked for a while!",5,False,The Level: Up,"Tried a few, this is the one!",,POSITIVE,ive wanting get programming little downloaded similar apps ran thru modules within maybe 1015 minutes would exhaust free content would pressed upgrade pro account learn thought one apps even though language looking c wasnt available yet found app search pro version like rest doesnt appear hold back content non pro members also waaaaay content dive compared others love addition learning module side also challenge mode turns tough subject game sololearn takes step lets users share codes theyve working inside app run phone check work awesome going keep hooked,"strike habit/competition, challenges, status quo sloth","challenge mod, challeng, account"
2,2020-10-17 20:50:18,"Okay, so I guess the reading portions of the lessons are free, which is nice, but most people learn by doing. I hadn't even gotten through the third Javascript lesson yet before I got an alert saying that I'd run out of free practice. You could say just to go to my PC where there are more free resources available, but if I was readily able to do that, I wouldn't have bothered to find an app to help me learn. I have an infant who wants to be held at all times (and doesn't seem to like my office chair), and a requirement to learn Javascript for my job, so an app is how I'm attempting to make both work.
Don't get me wrong, I'm a big believer in supporting the developers of apps that serve me well, and this app does look like it *might* be quite helpful to me. It's just hard to properly rate an app's usefulness when some of what I find to be essential parts of it are locked behind a paywall, so I don't know if I can properly evaluate it for purchase. While I know that there's a free trial, I know that I will be auto-charged upon that trial's expiration, and I don't know if I'll want to pay yet. I'd be okay with the free trial if it didn't involve consenting to pay upfront, rather than waiting until the trial's conclusion to ask me about it.",3,False,AgentF0x,This app is NOT free,,NEGATIVE,okay guess reading portions lessons free nice people learn hadnt even gotten third javascript lesson yet got alert saying id run free practice could say go pc free resources available readily able wouldnt bothered find app help learn infant wants held times doesnt seem like office chair requirement learn javascript job app im attempting make work dont get wrong im big believer supporting developers apps serve well app look like might quite helpful hard properly rate apps usefulness find essential parts locked behind paywall dont know properly evaluate purchase know theres free trial know autocharged upon trials expiration dont know ill want pay yet id okay free trial didnt involve consenting pay upfront rather waiting trials conclusion ask,torture breaks,paywal
5,2021-08-20 19:21:28,"I tried 4 other program training before this and just didn’t understand and was too much to take in because they were telling me multiple different ways of doing the same task and what not to do and stuff like that. I find for me it is easier to learn what not to do by experience not by memory. Also this app lets you do challenges against other players and has more examples than any other app or program I have found before this. I would recommend this to any professional or beginner alike to keep learning or refresh your memory. Also they have a wide variety of supported languages, even ones that aren’t used very often, and a LARGE community of friendly users to help with any of the questions you may have. You can also do challenges with other players to test your knowledge of your language.",5,False,Zman32746915,Tried 4 others before this. This application is best.,,POSITIVE,tried 4 program training didnt understand much take telling multiple different ways task stuff like find easier learn experience memory also app lets challenges players examples app program found would recommend professional beginner alike keep learning refresh memory also wide variety supported languages even ones arent used often large community friendly users help questions may also challenges players test knowledge language,challenges,challeng
8,2020-10-24 04:37:41,"SoloLearn is fantastic.  I have taken their online courses in C++, Java, HTML, CSS, PHP, JavaScript, SQL, Python, C, and C#, I am now in the middle of their Data Science with Python course, and I plan to take their Machine Learning  course next.  All the courses I have taken have been really fun and instructive.  Of course you will need a lot of experience beyond the courses before you can really consider yourself to have meaningful coding skills, but the courses will give you a great start, and the community and coding challenges will help you test, practice, and develop the skills taught in the courses.  Last but not least, SoloLearn has a large, active, and devoted community of friendly, helpful, and supportive users.  You will learn a great deal from reading the comments of your fellow students, asking questions, and trying to help answer the questions of others, and you will make new online friends of all ages and backgrounds from all over the world.",5,False,Chill3333,Marvelous app!,,POSITIVE,sololearn fantastic taken online courses c java html css php javascript sql python c c middle data science python course plan take machine learning course next courses taken really fun instructive course need lot experience beyond courses really consider meaningful coding skills courses give great start community coding challenges help test practice develop skills taught courses last least sololearn large active devoted community friendly helpful supportive users learn great deal reading comments fellow students asking questions trying help answer questions others make new online friends ages backgrounds world,"challenges, voting","challeng, vote"
9,2018-10-24 22:45:00,"I am kind of new to coding. I had already learned HTML and CSS from another online source and then I was told about this app. I absolutely love the app and how the lessons are structured. They offer many different programming languages. This app is great for beginners and even those who are experienced. The community is also a great part of this app. Being able to post your codes, take part in challenges, and get to see codes that others have made public! Seeing others codes (especially those who are at a higher level) can give you ideas of things to create on your own and you can study there codes to see how they created different things. It’s a must download app if you want to learn different programming languages and be involved in a community of programmers.",5,False,Tara1988,Great learning app!,,POSITIVE,kind new coding already learned html css another online source told app absolutely love app lessons structured offer many different programming languages app great beginners even experienced community also great part app able post codes take part challenges get see codes others made public seeing others codes especially higher level give ideas things create study codes see created different things must download app want learn different programming languages involved community programmers,"challenges, boosters","challeng, special"
15,2022-05-30 11:17:49,"This is my first review on this account 
And i have to say it is worth to go through a pain to write a comment cuz this app is amazing I don’t know anything about program but this app made me learn so easily and there’s amazing people that have notes and information on every lesson that helps me a lot and i was asking questions that I don’t know some times and the people there is so nice and try to help you even if it was annoying problem’s i have to say you will not regret to download this app…
I forgot something i was looking for a learning from scratch video or book or app and this is the best one I found till now",5,False,spaceismyhome,So good for beginners and pros,,POSITIVE,first review account say worth go pain write comment cuz app amazing dont know anything program app made learn easily theres amazing people notes information every lesson helps lot asking questions dont know times people nice try help even annoying problems say regret download app forgot something looking learning scratch video book app best one found till,status quo sloth,account
19,2018-08-03 17:39:08,"I got this app because I wanted to brush up on some old skills and learn new coding languages, and it’s been well worth my while. I’ve taken courses in university, Pluralsight, MVA, etc., and this app has content on par with the best of them, not a simple 'Hello, world' playground. The lessons are expertly written and the app, itself, makes exploration a breeze.

You can very quickly gain advanced and expert knowledge in one of the available languages, then put your knowledge to the test in innumerable challenges. People in the range of novice to intermediate will gain the most, as expected, but even very experienced coders are likely to learn some things from the courses.",5,False,benJephunneh,Professional and valuable content,,POSITIVE,got app wanted brush old skills learn new coding languages well worth ive taken courses university pluralsight mva etc app content par best simple hello world playground lessons expertly written app makes exploration breeze quickly gain advanced expert knowledge one available languages put knowledge test innumerable challenges people range novice intermediate gain expected even experienced coders likely learn things courses,challenges,challeng
20,2018-07-18 01:54:23,"I'm new to this coding thing, but I have a passion for challenging projects and logic based applications. I am hoping to transition from sales to computer programming and pursue a computer sciences degree in the near future. This app is really easy since I can repeat lessons for better understanding. The comments make me feel like I'm not alone when I don't understand a certain section. It helps to know that other people have the same questions as me. It feels like being in a classroom of other beginners. I like to slow pace and the easy explanations. I feel confident that I can easily grasp several programming languages with just this one app. Thanks guys.",5,False,tony durrty,Excellent App For Beginners,,POSITIVE,im new coding thing passion challenging projects logic based applications hoping transition sales computer programming pursue computer sciences degree near future app really easy since repeat lessons better understanding comments make feel like im alone dont understand certain section helps know people questions feels like classroom beginners like slow pace easy explanations feel confident easily grasp several programming languages one app thanks guys,challenges,challeng
25,2021-01-12 19:42:29,"I’ve been using it for a little while now and finally got the pro subscription more recently and can honestly say I am understanding many concepts so much better with this app. I’m also taking courses through Udemy but this app is a great tool to use along with my course material. I was struggling a bit with some concepts from my course material and this app with the challenges and projects have really helped me better understand the concepts. I do wish they had some more practice challenges to work on, but regardless I am very happy with this app!",5,False,Kmf05f,Love it!,,POSITIVE,ive using little finally got pro subscription recently honestly say understanding many concepts much better app im also taking courses udemy app great tool use along course material struggling bit concepts course material app challenges projects really helped better understand concepts wish practice challenges work regardless happy app,challenges,challeng
33,2021-03-11 05:27:00,"This is one of the best coding app out there really impressed with the beginning classes and samples I finished my html, css, and JavaScript courses and got my certificates got a good grip for web development I noticed that you have added the beginning, and intermediate levels for python I would like to see them with the other courses especially with html, css, and JavaScript for web developers it will gives us more steps forward towards our learning... I would greatly appreciate it if you can do that for the community thank you!!",5,False,vegito7100,Really good,,POSITIVE,one best coding app really impressed beginning classes samples finished html css javascript courses got certificates got good grip web development noticed added beginning intermediate levels python would like see courses especially html css javascript web developers gives us steps forward towards learning would greatly appreciate community thank,boosters,special
