Unnamed: 0,reviewId,userName,userImage,review,rating,thumbsUpCount,reviewCreatedVersion,date,replyContent,repliedAt,sentiment,standardizedReview,mentionedFeature,mentionedSynonyms
3,81179f47-40c2-4dd2-8e5b-1c8be51cd33e,V Leandros,https://play-lh.googleusercontent.com/a/AGNmyxbkCPDwNAcW7i0V-XdBnv11_LS-SeCSXcw2go3-=mo,"It seems it is impossible to login with my pro account which is not a gmail. I suddenly got logged out 24 hrs ago when I was doing this app, walking my dog outside.",1,0,,2023-03-19 12:20:01,,,NEGATIVE,seems impossible login pro account gmail suddenly got logged 24 hrs ago app walking dog outside,status quo sloth,account
22,22e9ffc1-33dd-4103-9760-8ba9a4773f93,Harsh Singh,https://play-lh.googleusercontent.com/a/AGNmyxaWQ7dLaYDXs_3RnYBlTi_bIknjAPAQEXG2ZdMt=mo,codecademy is a free and good platform to learn coding from any level specially as a beginner,5,0,1.14.0,2023-03-05 22:16:47,,,POSITIVE,codecademy free good platform learn coding level specially beginner,boosters,special
66,545a0b53-7183-452e-9ff5-e2a1f1faa3e7,Filippo Casa,https://play-lh.googleusercontent.com/a-/ACB-R5RBlzKlpBZUMjJ5Mb0Qe0ghLWkjX6WEmaCtmfRxBg,"Cannot sign in with a google account. I have an account on Codecademy linked with LinkedIn and google. I tried to sign in using google but I can only see a blank page with no possibility to go back. For now, I cannot use the app.",2,0,1.14.0,2023-02-08 04:03:29,,,NEGATIVE,cannot sign google account account codecademy linked linkedin google tried sign using google see blank page possibility go back cannot use app,status quo sloth,account
99,01a99dfc-3541-4f56-9544-3551b4695791,Carlos Garcia,https://play-lh.googleusercontent.com/a-/ACB-R5Svb_XXxQtwLrk8RMP7tsq0DLBo1zC8oW7tZajK1_M,"How can after 2 years of subscribing the app sucks so much. It makes no sense. Free apps make more sense and have more content. You review stuff you have no idea about, then you take a take on content barely reviewed and move on. Plus it's nowhere near comprehensive as the website. Fix your app. I like to learn on the go and the trash app is not it.",1,3,1.14.0,2023-01-16 16:46:01,,,NEGATIVE,2 years subscribing app sucks much makes sense free apps make sense content review stuff idea take take content barely reviewed move plus nowhere near comprehensive website fix app like learn go trash app,voting,content r
163,883107de-0649-49f7-b3b6-8e1865e48a21,SANJAY H R,https://play-lh.googleusercontent.com/a-/ACB-R5SZawCsLrCbuwLPOzOZl3WP_DB8BX-w_JXxqkLM6A,this is one of the best application for coding learners and especially for beginners just go and crack it..,5,0,1.14.0,2022-12-06 09:16:30,,,POSITIVE,one best application coding learners especially beginners go crack,boosters,special
170,49b0a5af-fa09-41be-8513-2e48cc81c790,Ruben Mendes,https://play-lh.googleusercontent.com/a-/ACB-R5Q2DCdqeNyqLIv18g8mBpaybjN9BMJj90EJQvmiB8Y,"Cannot even sign in to the app as it keeps giving an error of incorrect email our password. Already followed the steps mentioned on the ""What information do I use to login to Codecademy Go?"" by resetting my password but to no avail. I am still unable to sign in. On the previous mentioned help article it stated that you would be supporting login with GitHub account in the near future... The article is dated from 4 years ago.",1,0,1.14.0,2022-12-03 01:08:20,,,NEGATIVE,cannot even sign app keeps giving error incorrect email password already followed steps mentioned information use login codecademy go resetting password avail still unable sign previous mentioned help article stated would supporting login github account near future article dated 4 years ago,status quo sloth,account
250,7998844a-0bd9-41f3-9f30-1bdbc7d0e896,Jennifer M,https://play-lh.googleusercontent.com/a-/ACB-R5SWlsrshn2UbSJ8wWOT2o2tvR8Aj2M94ZPYxtD_dA,"Can only sign up with google or facebook. Oh, and if signing up with google account, which is signed in on same device, still asks for the password instead of sending verification email. The whole point of signing up/in with google was to not have to remember all these flipping passwords!",1,0,1.14.0,2022-10-19 01:31:08,,,NEGATIVE,sign google facebook oh signing google account signed device still asks password instead sending verification email whole point signing upin google remember flipping passwords,status quo sloth,account
267,ecd97b9e-0efb-4768-8b85-0f07b12c6e32,Anoop S,https://play-lh.googleusercontent.com/a-/ACB-R5QD2MVMxoP3cR9IVOMLVwdZajfW1IXWB8Qafcoo,I'm not able to change accounts..,3,0,1.14.0,2022-10-06 09:12:23,,,NEGATIVE,im able change accounts,status quo sloth,account
392,7acc556f-1002-4d16-83de-291b0ccc68c7,solo,https://play-lh.googleusercontent.com/a-/ACB-R5RQCdE3WM3DGzii8feF_ue_TuWa3tOEHUYZTdQJqw,"It's a bit mediocre. It seems like this is meant to be used as an accessory to the main Code Academy experience, where you do the bulk of your studying online and then use the app to review certain tidbits. If you're trying to use the app as a standalone learning tool, you're not going to have a good time. I'm okay with that, personally. An accessory app can still be useful. The issue for me is that I encounter questions fairly often that are very poorly formatted.",2,69,1.14.0,2022-08-03 23:24:25,,,NEGATIVE,bit mediocre seems like meant used accessory main code academy experience bulk studying online use app review certain tidbits youre trying use app standalone learning tool youre going good time im okay personally accessory app still useful issue encounter questions fairly often poorly formatted,status quo sloth,person
415,83be6d8a-fe5c-44be-9578-15fe9446cb7c,Yakisoba Subs,https://play-lh.googleusercontent.com/a/AGNmyxaWXC6qwsPNQvjxeF3KBdbSdvrGR5X5067tnbYa=mo,"Good for entry level, but that's about it. I'm only talking about Java, because that's what I used to try this app. If you're someone who can build a simple customer management program, for example, you're already beyond what this app can teach you. Would be cool to get some more advanced content.",4,0,,2022-07-24 01:21:08,,,NEGATIVE,good entry level thats im talking java thats used try app youre someone build simple customer management program example youre already beyond app teach would cool get advanced content,status quo sloth,custom
