Unnamed: 0,reviewId,userName,userImage,review,rating,thumbsUpCount,reviewCreatedVersion,date,replyContent,repliedAt,sentiment,standardizedReview,mentionedFeature,mentionedSynonyms
111,be9ce5e5-da53-4ef4-ac28-4cfb89310053,Joshua Gutierrez,https://play-lh.googleusercontent.com/a/AGNmyxb9A0E5qcYODOXicHeLvmUKhIRxx_Dy9QIVbHet=mo,I highly recommend this app. Everything is explained very well in English and very simply. I've been recommending it even on a free account because I have no money I've gotten far without any pay walls.,5,0,70.0.0,2023-02-15 11:21:42,,,POSITIVE,highly recommend app everything explained well english simply ive recommending even free account money ive gotten far without pay walls,status quo sloth,account
117,2bcbdab4-666f-4bfd-aa07-51c638e80471,Damon Sams,https://play-lh.googleusercontent.com/a-/ACB-R5T9B7lqWeq9RU_Um9IAC07kwD3A4PSqLSRzXl2FFBw,I really enjoy the daily challenges that keep enforcing what you learned with online classes.,5,0,70.0.0,2023-02-14 18:33:18,,,POSITIVE,really enjoy daily challenges keep enforcing learned online classes,"daily streaks, challenges","daily challeng, challeng, daily challeng"
132,916a8c1f-b33d-4c24-ada9-1f4346c71e2b,Philanthropic King,https://play-lh.googleusercontent.com/a-/ACB-R5T6Z7cH1Em-O0c46Mqw18AHZlVqknMyPWNSbN6nMg,"FRAUD ALERT! They'll sneak into your BANK ACCOUNT and will STEAL YOUR MONEY without your consent! Good luck taking your money back, cause there's no way to call them. I only noticed that after checking my bank statement. They've been charging me $39/MONTH for a long time WITHOUT GIVING ME A HEADS-UP OR SENDING ME A RECEIPT. THE APP DOESN'T SHOW THAT YOU'RE A PRO MEMBER. THERE'S NO WAY FOR YOU TO FIND OUT YOUR SUBSCRIPTION STATUS NOR A WAY TO CANCEL ONE'S SUBSCRIPTION. SHADY! WOULD NOT RECOMMEND",1,3,70.0.0,2023-02-07 23:31:12,"Hi Philanthropic,

Thank you for your feedback! Could you please contact Support Team via our Help Center (https://support.datacamp.com/hc/en-us/requests/new)? We will certainly further look into this to provide the best resolution for you.",2023-02-09 00:27:33,NEGATIVE,fraud alert theyll sneak bank account steal money without consent good luck taking money back cause theres way call noticed checking bank statement theyve charging 39month long time without giving headsup sending receipt app doesnt show youre pro member theres way find subscription status way cancel ones subscription shady would recommend,status quo sloth,account
139,129b8bc7-522f-4505-a46c-870169d52a39,David TAKOUO,https://play-lh.googleusercontent.com/a/AGNmyxbAGBH52UNGBkYG3WsaLfrFyX6D-y99b9-ISH-W=mo,It's the bestest platform about learning Data Science and relative content. I reccomend it for someone who is very serious about his data future !,5,0,70.0.0,2023-02-05 02:50:34,,,POSITIVE,bestest platform learning data science relative content reccomend someone serious data future,voting,content r
204,97025181-5c15-4968-a9f0-6864b5e9c41b,Wendy Karmun,https://play-lh.googleusercontent.com/a/AGNmyxZmFuYkssybNa0oQAUIlH6xoUSwZKOTAoZmMekb=mo,"It's easy in the beginning but it gets challenging, you are able to do a course multiple times until you complete it. It gives advice on what to do when you didn't get it the first time. I love it",5,0,69.0.0,2023-01-13 22:20:23,,,POSITIVE,easy beginning gets challenging able course multiple times complete gives advice didnt get first time love,challenges,challeng
245,c8126948-f8b5-47e7-9a50-7a94dd279d1c,Peter Warren,https://play-lh.googleusercontent.com/a/AGNmyxZj40me2LPCoDhY99-DYsYfOjvxDOdKVuZJ4iuB=mo,"Great platform, well structured career and skill tracks, with chunked down lessons that facilitate learning at your own pace (especially great if you are time poor like me). This platform has really supercharged my learning.",5,0,69.0.0,2023-01-01 14:50:50,,,POSITIVE,great platform well structured career skill tracks chunked lessons facilitate learning pace especially great time poor like platform really supercharged learning,boosters,special
253,b7f626e2-690b-4d0a-b037-52099151e807,Long Tran,https://play-lh.googleusercontent.com/a-/ACB-R5QijTa11ljP_mZiMZoiO3t3dG5ils7smnAyW4GR_0Y,"Awesome app to learn data topics on the go. Clean and smart UI. Informative and easy-to-follow content. Overall, it is a good and more mobile option aside from PC. Help protect the daily streak.",5,1,69.0.0,2022-12-31 22:31:45,,,POSITIVE,awesome app learn data topics go clean smart ui informative easytofollow content overall good mobile option aside pc help protect daily streak,daily streaks,daily streak
274,44ab280d-ce93-4e46-90c8-690d3baf8f93,Nicholas Cook,https://play-lh.googleusercontent.com/a-/ACB-R5TdF9-wyAqdd6y_o5L8I6jzV29Fd-xPKd1C5HwI,"Excellent resource for those serious about learning data science. Builds your knowledge from the foundations and is consistently challenging enough to keep you interested, but not so hard that you're lost. Currently on a 150+ day streak with the premium plan, doing a chapter a day, when normally I'm not great with consistency and have a tendency to procrastinate. Haven't had any major issues with the app that a restart couldn't solve, and progress is now kept between the app and desktop site.",5,17,68.0.1,2022-12-24 15:14:04,,,POSITIVE,excellent resource serious learning data science builds knowledge foundations consistently challenging enough keep interested hard youre lost currently 150 day streak premium plan chapter day normally im great consistency tendency procrastinate havent major issues app restart couldnt solve progress kept app desktop site,challenges,challeng
276,1e8404b5-1055-4f1e-8b8e-efbefb7335e8,Chukwuemeka Nwaoko,https://play-lh.googleusercontent.com/a-/ACB-R5ScjLTBJ043TevGVJtNb3Gyrmng7Tz67QtJtSXWWQ,"The video quality so high, I didn't want to give below 5 star 🌟. You guys are changing lives, please give options for reduced video quality. Thank you.",5,0,68.0.1,2022-12-23 19:01:44,,,NEGATIVE,video quality high didnt want give 5 star guys changing lives please give options reduced video quality thank,torture breaks,live
282,d9e7f614-69a5-45a7-979e-7572071252ec,Muhammad Ahsan Rashid,https://play-lh.googleusercontent.com/a/AGNmyxZMZq241kVjX6kHqwlClv_NgDWYU_DGCU7BLvNK5ho=mo,Best Platform to learn Data Science for Beginners. short & precise tutorials with tons of Practice exercise make DS concept crystal clear. XP feature and Daily Streak keeps me motivated.. My Best Investment.💕✌️,5,0,68.0.1,2022-12-21 06:31:00,,,POSITIVE,best platform learn data science beginners short precise tutorials tons practice exercise make ds concept crystal clear xp feature daily streak keeps motivated best investment,daily streaks,daily streak
285,2bcc56b9-a437-4baa-8dcc-1d9fccd10d1d,Ariel Grossman,https://play-lh.googleusercontent.com/a-/ACB-R5RsY0k1s5wkNVzVh_Re0mkamDf9RnaTo_4T_gnJqg,"An amazing app, just as good as the web interface. As for DataCamp itself, it's one of the best interactive learning environment. Especially great is the workspace, where you can write code without the hussle of setting up an IDE.",5,2,68.0.1,2022-12-20 03:51:30,,,POSITIVE,amazing app good web interface datacamp one best interactive learning environment especially great workspace write code without hussle setting ide,boosters,special
